"Status","Year","Function_of_post","Sex","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Property","Female","Project Delivery","30","30","[c]","[c]"
"In post","2022","Property","Female","Property","3000","2800","35830","33080"
"In post","2022","Property","Female","Security","[c]","[c]","[c]","[c]"
"In post","2022","Property","Female","Unknown","60","60","46170","40420"
"In post","2022","Property","Male","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Property","Male","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Property","Male","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","Property","Male","Finance","40","40","[c]","[c]"
"In post","2022","Property","Male","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Property","Male","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Property","Male","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Property","Male","Operational Delivery","480","470","30460","22110"
"In post","2022","Property","Male","Other","390","380","29140","26900"
"In post","2022","Property","Male","Policy","[c]","[c]","[c]","[c]"
"In post","2022","Property","Male","Project Delivery","40","40","[c]","[c]"
"In post","2022","Property","Male","Property","4360","4240","39380","35900"
"In post","2022","Property","Male","Security","[c]","[c]","[c]","[c]"
"In post","2022","Property","Male","Unknown","60","50","53610","54700"
"In post","2022","Security","Female","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Security","Female","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","Security","Female","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Security","Female","Intelligence Analysis","340","320","37950","35680"
"In post","2022","Security","Female","Knowledge and Information Management","40","40","[c]","[c]"
"In post","2022","Security","Female","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Security","Female","Other","[c]","[c]","[c]","[c]"
"In post","2022","Security","Female","Policy","[c]","[c]","[c]","[c]"
"In post","2022","Security","Female","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Security","Female","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2022","Security","Female","Security","1830","1770","32330","29360"
"In post","2022","Security","Female","Unknown","510","480","32990","32000"
"In post","2022","Security","Male","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Security","Male","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","Security","Male","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Security","Male","Intelligence Analysis","690","680","39360","36460"
"In post","2022","Security","Male","Knowledge and Information Management","30","30","[c]","[c]"
"In post","2022","Security","Male","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Security","Male","Other","[c]","[c]","[c]","[c]"
"In post","2022","Security","Male","Policy","[c]","[c]","[c]","[c]"
"In post","2022","Security","Male","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Security","Male","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2022","Security","Male","Security","6680","6560","31850","28750"
"In post","2022","Security","Male","Unknown","480","470","34860","33300"
"In post","2022","Unknown","Female","Commercial","90","80","37080","35070"
"In post","2022","Unknown","Female","Communications","210","200","44470","41980"
"In post","2022","Unknown","Female","Counter Fraud","120","110","25810","25040"
"In post","2022","Unknown","Female","Digital, Data and Technology","580","560","47950","44470"
"In post","2022","Unknown","Female","Economics","70","70","46850","43950"
"In post","2022","Unknown","Female","Finance","1610","1540","36340","33300"
"In post","2022","Unknown","Female","Human Resources","580","550","40760","37450"
"In post","2022","Unknown","Female","Intelligence Analysis","680","630","29250","27370"
"In post","2022","Unknown","Female","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Female","Knowledge and Information Management","120","110","37280","35200"
"In post","2022","Unknown","Female","Legal","110","100","57350","61440"
"In post","2022","Unknown","Female","Medicine","1330","1160","43540","39030"
"In post","2022","Unknown","Female","Operational Delivery","14270","12780","28420","25630"
"In post","2022","Unknown","Female","Operational Research","40","30","[c]","[c]"
"In post","2022","Unknown","Female","Other","7350","6950","27660","22330"
"In post","2022","Unknown","Female","Planning","30","30","[c]","[c]"
"In post","2022","Unknown","Female","Policy","3440","3280","45440","41950"
"In post","2022","Unknown","Female","Project Delivery","1090","1040","43180","38160"
"In post","2022","Unknown","Female","Property","30","30","[c]","[c]"
"In post","2022","Unknown","Female","Science and Engineering","320","310","40810","37730"
"In post","2022","Unknown","Female","Security","130","120","33980","30820"
"In post","2022","Unknown","Female","Social Research","170","160","44590","43560"
"In post","2022","Unknown","Female","Statistics","120","110","37800","35490"
"In post","2022","Unknown","Female","Unknown","9010","8510","39970","34600"
"In post","2022","Unknown","Female","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Male","Commercial","80","80","37980","37450"
"In post","2022","Unknown","Male","Communications","130","120","45570","41980"
"In post","2022","Unknown","Male","Counter Fraud","70","60","29200","25310"
"In post","2022","Unknown","Male","Digital, Data and Technology","1260","1250","49060","44970"
"In post","2022","Unknown","Male","Economics","140","140","45880","35070"
"In post","2022","Unknown","Male","Finance","1120","1100","40750","36460"
"In post","2022","Unknown","Male","Human Resources","290","290","40310","36160"
"In post","2022","Unknown","Male","Intelligence Analysis","730","700","30220","28320"
"In post","2022","Unknown","Male","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Male","Knowledge and Information Management","100","100","40180","38160"
"In post","2022","Unknown","Male","Legal","50","50","57570","61440"
"In post","2022","Unknown","Male","Medicine","510","470","56400","45840"
"In post","2022","Unknown","Male","Operational Delivery","13060","12470","29400","26160"
"In post","2022","Unknown","Male","Operational Research","60","60","45940","42020"
"In post","2022","Unknown","Male","Other","7590","7500","30850","27720"
"In post","2022","Unknown","Male","Planning","40","40","[c]","[c]"
"In post","2022","Unknown","Male","Policy","2670","2640","48520","44500"
"In post","2022","Unknown","Male","Project Delivery","860","840","45570","41950"
"In post","2022","Unknown","Male","Property","50","50","[c]","[c]"
"In post","2022","Unknown","Male","Science and Engineering","1620","1590","34960","29670"
"In post","2022","Unknown","Male","Security","220","220","29840","25630"
"In post","2022","Unknown","Male","Social Research","70","70","46870","43950"
"In post","2022","Unknown","Male","Statistics","110","110","38890","35490"
"In post","2022","Unknown","Male","Unknown","7290","7160","40740","36130"
"In post","2022","Unknown","Male","Veterinarian","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Analysis","Female","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Analysis","Female","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Analysis","Female","Economics","30","30","[c]","[c]"
"Leaver CS","2021","Analysis","Female","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Analysis","Female","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Analysis","Female","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Analysis","Female","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Analysis","Female","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Analysis","Female","Operational Research","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Analysis","Female","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Analysis","Female","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Analysis","Female","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Analysis","Female","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Analysis","Female","Social Research","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Analysis","Female","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Analysis","Female","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Analysis","Male","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Analysis","Male","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Analysis","Male","Economics","70","70","[c]","[c]"
"Leaver CS","2021","Analysis","Male","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Analysis","Male","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Analysis","Male","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Analysis","Male","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Analysis","Male","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Analysis","Male","Operational Research","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Analysis","Male","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Analysis","Male","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Analysis","Male","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Analysis","Male","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Analysis","Male","Social Research","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Analysis","Male","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Analysis","Male","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","Female","Commercial","60","60","40530","36070"
"Leaver CS","2021","Commercial","Female","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","Female","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","Female","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","Female","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","Female","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","Female","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","Female","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","Female","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","Male","Commercial","70","70","39810","36470"
"Leaver CS","2021","Commercial","Male","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","Male","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","Male","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","Male","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","Male","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","Male","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","Male","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","Male","Unknown","40","40","[c]","[c]"
"Leaver CS","2021","Communications","Female","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Female","Communications","100","90","36910","33850"
"Leaver CS","2021","Communications","Female","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Female","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Female","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Female","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Female","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Male","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Male","Communications","70","70","37750","32700"
"Leaver CS","2021","Communications","Male","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Male","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Male","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Male","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Male","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Unknown","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","Female","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","Female","Unknown","[c]","[c]","[c]","[c]"
