"Status","Year","Disability","Function_of_post","Responsibility_level","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2021","Undeclared","Legal","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Legal","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Legal","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Legal","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","No function","AA/AO","490","400","20650","20100"
"Leaver CS","2021","Undeclared","No function","EO","100","90","[c]","[c]"
"Leaver CS","2021","Undeclared","No function","G6/G7","50","40","[c]","[c]"
"Leaver CS","2021","Undeclared","No function","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","No function","SEO/HEO","130","120","36520","34530"
"Leaver CS","2021","Undeclared","No function","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Project Delivery","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Project Delivery","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Project Delivery","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Project Delivery","SEO/HEO","30","30","[c]","[c]"
"Leaver CS","2021","Undeclared","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Property","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Property","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Property","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Property","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Security","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Security","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Security","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Unknown","AA/AO","270","230","21120","21010"
"Leaver CS","2021","Undeclared","Unknown","EO","210","180","27880","27570"
"Leaver CS","2021","Undeclared","Unknown","G6/G7","60","50","[c]","[c]"
"Leaver CS","2021","Undeclared","Unknown","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Unknown","SEO/HEO","170","160","34890","35060"
"Leaver CS","2021","Undeclared","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Analysis","AA/AO","60","60","20240","19130"
"Leaver CS","2021","Unknown","Analysis","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Analysis","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Analysis","SEO/HEO","40","30","[c]","[c]"
"Leaver CS","2021","Unknown","Commercial","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Commercial","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Commercial","G6/G7","30","30","[c]","[c]"
"Leaver CS","2021","Unknown","Commercial","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Commercial","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Commercial","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Communications","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Communications","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Communications","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Communications","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Communications","SEO/HEO","40","40","[c]","[c]"
"Leaver CS","2021","Unknown","Counter Fraud","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Counter Fraud","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Counter Fraud","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Debt","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Digital, Data & Technology","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Digital, Data & Technology","EO","30","30","[c]","[c]"
"Leaver CS","2021","Unknown","Digital, Data & Technology","G6/G7","50","50","58670","57280"
"Leaver CS","2021","Unknown","Digital, Data & Technology","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Digital, Data & Technology","SEO/HEO","60","60","37710","37890"
"Leaver CS","2021","Unknown","Finance","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Finance","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Finance","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Finance","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Grants Management","AA/AO","50","40","[c]","[c]"
"Leaver CS","2021","Unknown","Grants Management","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Grants Management","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Grants Management","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Human Resources","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Human Resources","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Human Resources","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Human Resources","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Human Resources","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Internal Audit","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Internal Audit","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Internal Audit","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Legal","AA/AO","90","80","21360","20850"
"Leaver CS","2021","Unknown","Legal","EO","30","30","[c]","[c]"
"Leaver CS","2021","Unknown","Legal","G6/G7","60","50","58300","55000"
"Leaver CS","2021","Unknown","Legal","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Legal","SEO/HEO","40","40","[c]","[c]"
"Leaver CS","2021","Unknown","No function","AA/AO","1530","1440","20740","20810"
"Leaver CS","2021","Unknown","No function","EO","350","330","27950","27020"
"Leaver CS","2021","Unknown","No function","G6/G7","170","160","59440","56500"
"Leaver CS","2021","Unknown","No function","SCS","40","40","[c]","[c]"
"Leaver CS","2021","Unknown","No function","SEO/HEO","380","360","36400","35590"
"Leaver CS","2021","Unknown","No function","Unknown","100","80","[c]","[c]"
"Leaver CS","2021","Unknown","Project Delivery","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Project Delivery","EO","60","50","19670","19000"
"Leaver CS","2021","Unknown","Project Delivery","G6/G7","30","30","[c]","[c]"
"Leaver CS","2021","Unknown","Project Delivery","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Project Delivery","SEO/HEO","60","50","36940","36920"
"Leaver CS","2021","Unknown","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Property","AA/AO","80","70","20560","19850"
"Leaver CS","2021","Unknown","Property","EO","50","40","25590","25100"
"Leaver CS","2021","Unknown","Property","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Property","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Property","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Security","AA/AO","110","110","25390","22650"
"Leaver CS","2021","Unknown","Security","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Security","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Security","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Unknown","AA/AO","1330","1120","21260","21010"
"Leaver CS","2021","Unknown","Unknown","EO","910","790","28320","27570"
"Leaver CS","2021","Unknown","Unknown","G6/G7","230","170","62560","61010"
"Leaver CS","2021","Unknown","Unknown","SCS","50","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Unknown","SEO/HEO","620","540","37100","36960"
"Leaver CS","2021","Unknown","Unknown","Unknown","510","490","35200","32400"
"Leaver CS","2022","Declared disabled","Analysis","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Analysis","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Analysis","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Analysis","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Analysis","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Commercial","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Commercial","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Commercial","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Commercial","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Commercial","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Commercial","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Communications","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Communications","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Communications","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Communications","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Communications","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Communications","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Counter Fraud","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Counter Fraud","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Counter Fraud","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Counter Fraud","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Debt","AA/AO","30","20","[c]","[c]"
"Leaver CS","2022","Declared disabled","Debt","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Debt","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Digital, Data & Technology","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Digital, Data & Technology","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Digital, Data & Technology","G6/G7","30","30","[c]","[c]"
"Leaver CS","2022","Declared disabled","Digital, Data & Technology","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Digital, Data & Technology","SEO/HEO","40","40","[c]","[c]"
"Leaver CS","2022","Declared disabled","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Finance","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Finance","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Finance","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Finance","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Finance","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Grants Management","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Grants Management","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Grants Management","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Grants Management","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Human Resources","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Human Resources","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Human Resources","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Human Resources","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Human Resources","SEO/HEO","30","30","[c]","[c]"
"Leaver CS","2022","Declared disabled","Internal Audit","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Internal Audit","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Internal Audit","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Internal Audit","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Internal Audit","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Legal","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Legal","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Legal","G6/G7","30","30","[c]","[c]"
"Leaver CS","2022","Declared disabled","Legal","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Legal","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","No function","AA/AO","1110","960","21210","21260"
"Leaver CS","2022","Declared disabled","No function","EO","850","720","27900","27570"
"Leaver CS","2022","Declared disabled","No function","G6/G7","110","100","58630","56490"
"Leaver CS","2022","Declared disabled","No function","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","No function","SEO/HEO","350","310","36930","35810"
"Leaver CS","2022","Declared disabled","No function","Unknown","240","220","[c]","[c]"
"Leaver CS","2022","Declared disabled","Project Delivery","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Project Delivery","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Project Delivery","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Project Delivery","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Project Delivery","SEO/HEO","60","50","36990","36120"
"Leaver CS","2022","Declared disabled","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Property","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Property","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Property","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Property","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Property","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Security","AA/AO","40","40","[c]","[c]"
"Leaver CS","2022","Declared disabled","Security","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Security","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Security","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Security","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Security","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Unknown","AA/AO","480","380","21460","21260"
"Leaver CS","2022","Declared disabled","Unknown","EO","270","230","27520","27570"
"Leaver CS","2022","Declared disabled","Unknown","G6/G7","70","50","[c]","[c]"
"Leaver CS","2022","Declared disabled","Unknown","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Unknown","SEO/HEO","210","180","38070","37410"
"Leaver CS","2022","Declared disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared non-disabled","Analysis","AA/AO","70","60","[c]","[c]"
"Leaver CS","2022","Declared non-disabled","Analysis","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared non-disabled","Analysis","G6/G7","70","60","60080","57230"
"Leaver CS","2022","Declared non-disabled","Analysis","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared non-disabled","Analysis","SEO/HEO","130","120","35990","36070"
"Leaver CS","2022","Declared non-disabled","Commercial","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared non-disabled","Commercial","EO","30","30","[c]","[c]"
"Leaver CS","2022","Declared non-disabled","Commercial","G6/G7","50","40","[c]","[c]"
"Leaver CS","2022","Declared non-disabled","Commercial","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared non-disabled","Commercial","SEO/HEO","110","100","37540","37000"
"Leaver CS","2022","Declared non-disabled","Commercial","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared non-disabled","Communications","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared non-disabled","Communications","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared non-disabled","Communications","G6/G7","40","40","[c]","[c]"
"Leaver CS","2022","Declared non-disabled","Communications","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared non-disabled","Communications","SEO/HEO","120","120","37670","37540"
"Leaver CS","2022","Declared non-disabled","Communications","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared non-disabled","Counter Fraud","AA/AO","70","50","21910","21260"
"Leaver CS","2022","Declared non-disabled","Counter Fraud","EO","120","80","27830","27570"
"Leaver CS","2022","Declared non-disabled","Counter Fraud","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared non-disabled","Counter Fraud","SEO/HEO","60","50","37110","36230"
"Leaver CS","2022","Declared non-disabled","Debt","AA/AO","140","110","21270","21260"
"Leaver CS","2022","Declared non-disabled","Debt","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared non-disabled","Debt","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared non-disabled","Digital, Data & Technology","AA/AO","60","60","20470","20920"
