"Status","Year","Profession_of_post","Parent_department","Responsibility_level","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Operational Delivery","Department of Health and Social Care","EO","630","570","26400","26880"
"In post","2021","Operational Delivery","Department of Health and Social Care","G6/G7","960","910","57960","54290"
"In post","2021","Operational Delivery","Department of Health and Social Care","SCS","100","90","97160","95000"
"In post","2021","Operational Delivery","Department of Health and Social Care","SEO/HEO","1240","1130","35810","36330"
"In post","2021","Operational Delivery","ESTYN","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","ESTYN","EO","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","ESTYN","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","ESTYN","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Food Standards Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Food Standards Agency","EO","390","370","27230","26750"
"In post","2021","Operational Delivery","Food Standards Agency","G6/G7","30","30","[c]","[c]"
"In post","2021","Operational Delivery","Food Standards Agency","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Food Standards Agency","SEO/HEO","180","180","34800","32830"
"In post","2021","Operational Delivery","Foreign, Commonwealth and Development Office","AA/AO","220","210","24520","24750"
"In post","2021","Operational Delivery","Foreign, Commonwealth and Development Office","EO","180","170","28280","27260"
"In post","2021","Operational Delivery","Foreign, Commonwealth and Development Office","G6/G7","90","90","56820","55610"
"In post","2021","Operational Delivery","Foreign, Commonwealth and Development Office","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Foreign, Commonwealth and Development Office","SEO/HEO","150","140","37380","36490"
"In post","2021","Operational Delivery","HM Land Registry","AA/AO","1760","1670","22480","22350"
"In post","2021","Operational Delivery","HM Land Registry","EO","1850","1600","27240","27130"
"In post","2021","Operational Delivery","HM Land Registry","G6/G7","40","40","[c]","[c]"
"In post","2021","Operational Delivery","HM Land Registry","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","HM Land Registry","SEO/HEO","1340","1170","35960","33840"
"In post","2021","Operational Delivery","HM Revenue and Customs","AA/AO","15150","12790","20900","20140"
"In post","2021","Operational Delivery","HM Revenue and Customs","EO","7150","6480","26160","25560"
"In post","2021","Operational Delivery","HM Revenue and Customs","G6/G7","790","770","55070","52580"
"In post","2021","Operational Delivery","HM Revenue and Customs","SCS","60","50","82470","78000"
"In post","2021","Operational Delivery","HM Revenue and Customs","SEO/HEO","5130","4880","33790","31810"
"In post","2021","Operational Delivery","HM Treasury","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","HM Treasury","EO","110","110","27950","26950"
"In post","2021","Operational Delivery","HM Treasury","G6/G7","30","30","[c]","[c]"
"In post","2021","Operational Delivery","HM Treasury","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","HM Treasury","SEO/HEO","50","50","[c]","[c]"
"In post","2021","Operational Delivery","Home Office","AA/AO","7640","6740","21960","21430"
"In post","2021","Operational Delivery","Home Office","EO","12020","11010","26790","25670"
"In post","2021","Operational Delivery","Home Office","G6/G7","680","670","58470","57460"
"In post","2021","Operational Delivery","Home Office","SCS","70","70","88770","82030"
"In post","2021","Operational Delivery","Home Office","SEO/HEO","4580","4380","35170","35070"
"In post","2021","Operational Delivery","Home Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Ministry of Defence","AA/AO","360","330","20770","20920"
"In post","2021","Operational Delivery","Ministry of Defence","EO","510","480","27490","26740"
"In post","2021","Operational Delivery","Ministry of Defence","G6/G7","190","190","54770","56350"
"In post","2021","Operational Delivery","Ministry of Defence","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Ministry of Defence","SEO/HEO","550","520","35490","33300"
"In post","2021","Operational Delivery","Ministry of Defence","Unknown","200","190","34910","32710"
"In post","2021","Operational Delivery","Ministry of Housing, Communities and Local Government","AA/AO","190","180","22210","22560"
"In post","2021","Operational Delivery","Ministry of Housing, Communities and Local Government","EO","150","140","27470","27530"
"In post","2021","Operational Delivery","Ministry of Housing, Communities and Local Government","G6/G7","140","130","56520","57110"
"In post","2021","Operational Delivery","Ministry of Housing, Communities and Local Government","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Ministry of Housing, Communities and Local Government","SEO/HEO","300","290","35130","33960"
"In post","2021","Operational Delivery","Ministry of Justice","AA/AO","40030","37130","24450","23240"
"In post","2021","Operational Delivery","Ministry of Justice","EO","8610","8180","28480","27380"
"In post","2021","Operational Delivery","Ministry of Justice","G6/G7","930","910","63580","59950"
"In post","2021","Operational Delivery","Ministry of Justice","SCS","140","130","92200","90410"
"In post","2021","Operational Delivery","Ministry of Justice","SEO/HEO","6870","6580","38070","36800"
"In post","2021","Operational Delivery","Ministry of Justice","Unknown","11980","11070","29840","28200"
"In post","2021","Operational Delivery","National Crime Agency","AA/AO","250","230","23950","24220"
"In post","2021","Operational Delivery","National Crime Agency","EO","2290","2240","33640","34140"
"In post","2021","Operational Delivery","National Crime Agency","G6/G7","230","230","65600","64410"
"In post","2021","Operational Delivery","National Crime Agency","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","National Crime Agency","SEO/HEO","1930","1890","44900","43710"
"In post","2021","Operational Delivery","Office for Standards in Education","AA/AO","110","100","21160","21160"
"In post","2021","Operational Delivery","Office for Standards in Education","EO","30","30","[c]","[c]"
"In post","2021","Operational Delivery","Office for Standards in Education","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Office for Standards in Education","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Office for Standards in Education","SEO/HEO","70","70","36180","39460"
"In post","2021","Operational Delivery","Office of Gas and Electricity Markets","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Office of Gas and Electricity Markets","EO","80","80","25210","24650"
"In post","2021","Operational Delivery","Office of Gas and Electricity Markets","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Office of Gas and Electricity Markets","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Office of Gas and Electricity Markets","SEO/HEO","50","50","[c]","[c]"
"In post","2021","Operational Delivery","Office of Qualifications and Examinations Regulation","EO","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Office of Qualifications and Examinations Regulation","G6/G7","30","30","[c]","[c]"
"In post","2021","Operational Delivery","Office of Qualifications and Examinations Regulation","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Office of Qualifications and Examinations Regulation","SEO/HEO","40","40","[c]","[c]"
"In post","2021","Operational Delivery","Office of Rail and Road","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Office of Rail and Road","EO","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Office of Rail and Road","G6/G7","80","70","61810","60950"
"In post","2021","Operational Delivery","Office of Rail and Road","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Office of Rail and Road","SEO/HEO","40","30","[c]","[c]"
"In post","2021","Operational Delivery","Other Cabinet Office Agencies","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Other Cabinet Office Agencies","EO","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Other Cabinet Office Agencies","G6/G7","80","80","54970","54850"
"In post","2021","Operational Delivery","Other Cabinet Office Agencies","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Other Cabinet Office Agencies","SEO/HEO","70","70","33160","34800"
"In post","2021","Operational Delivery","Scotland Office","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Scotland Office","EO","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Scotland Office","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Scotland Office","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Scotland Office","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Scottish Government","AA/AO","2950","2700","22730","22430"
"In post","2021","Operational Delivery","Scottish Government","EO","2970","2790","31330","33650"
"In post","2021","Operational Delivery","Scottish Government","G6/G7","110","110","61710","60220"
"In post","2021","Operational Delivery","Scottish Government","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Scottish Government","SEO/HEO","1170","1090","37630","36780"
"In post","2021","Operational Delivery","Scottish Government","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","The National Archives","AA/AO","60","50","20770","20650"
"In post","2021","Operational Delivery","The National Archives","EO","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","The National Archives","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","The National Archives","SEO/HEO","70","70","33330","34260"
"In post","2021","Operational Delivery","UK Export Finance","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","UK Export Finance","EO","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","UK Export Finance","G6/G7","70","70","67090","65050"
"In post","2021","Operational Delivery","UK Export Finance","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","UK Export Finance","SEO/HEO","130","130","42380","42580"
"In post","2021","Operational Delivery","UK Supreme Court","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","UK Supreme Court","EO","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","UK Supreme Court","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","UK Supreme Court","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","UK Supreme Court","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","United Kingdom Statistics Authority","AA/AO","1410","980","19640","19520"
"In post","2021","Operational Delivery","United Kingdom Statistics Authority","EO","550","510","24020","23050"
"In post","2021","Operational Delivery","United Kingdom Statistics Authority","G6/G7","180","180","52220","49600"
"In post","2021","Operational Delivery","United Kingdom Statistics Authority","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","United Kingdom Statistics Authority","SEO/HEO","840","810","32950","32140"
"In post","2021","Operational Delivery","Wales Office","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Wales Office","EO","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Water Services Regulation Authority","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Water Services Regulation Authority","EO","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Water Services Regulation Authority","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Water Services Regulation Authority","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Water Services Regulation Authority","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Welsh Government","AA/AO","510","460","23370","23830"
"In post","2021","Operational Delivery","Welsh Government","EO","350","330","28710","28850"
"In post","2021","Operational Delivery","Welsh Government","G6/G7","210","210","63440","60830"
"In post","2021","Operational Delivery","Welsh Government","SCS","40","40","[c]","[c]"
"In post","2021","Operational Delivery","Welsh Government","SEO/HEO","530","500","40630","37410"
"In post","2021","Operational Research","Department for Business, Energy and Industrial Strategy","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","Department for Business, Energy and Industrial Strategy","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","Department for Business, Energy and Industrial Strategy","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","Department for Business, Energy and Industrial Strategy","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","Department for Digital, Culture, Media and Sport","EO","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","Department for Digital, Culture, Media and Sport","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","Department for Digital, Culture, Media and Sport","SEO/HEO","[c]","[c]","[c]","[c]"
