"Status","Year","Organisation","Function_of_post","Disability","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Vehicle Certification Agency","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Vehicle Certification Agency","Digital, Data & Technology","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Vehicle Certification Agency","Digital, Data & Technology","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Vehicle Certification Agency","Finance","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Vehicle Certification Agency","Finance","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Vehicle Certification Agency","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Vehicle Certification Agency","Human Resources","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Vehicle Certification Agency","Human Resources","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Vehicle Certification Agency","No function","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Vehicle Certification Agency","No function","Declared non-disabled","150","140","37380","35190"
"In post","2021","Vehicle Certification Agency","No function","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Vehicle Certification Agency","No function","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Vehicle Certification Agency","Property","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Vehicle Certification Agency","Property","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Vehicle Certification Agency","Property","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Vehicle Certification Agency","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Veterinary Medicines Directorate","Digital, Data & Technology","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Veterinary Medicines Directorate","Digital, Data & Technology","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Veterinary Medicines Directorate","Digital, Data & Technology","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Veterinary Medicines Directorate","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Veterinary Medicines Directorate","Finance","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Veterinary Medicines Directorate","Finance","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Veterinary Medicines Directorate","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Veterinary Medicines Directorate","Unknown","Declared non-disabled","130","130","43470","39710"
"In post","2021","Veterinary Medicines Directorate","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Veterinary Medicines Directorate","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Wales Office","Analysis","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Wales Office","Analysis","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Wales Office","Communications","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Wales Office","Communications","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Wales Office","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Wales Office","Finance","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Wales Office","Finance","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Wales Office","Human Resources","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Wales Office","Human Resources","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Wales Office","Human Resources","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Wales Office","No function","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Wales Office","No function","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Wales Office","No function","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Water Services Regulation Authority","Analysis","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Water Services Regulation Authority","Analysis","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Water Services Regulation Authority","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Water Services Regulation Authority","Commercial","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Water Services Regulation Authority","Commercial","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Water Services Regulation Authority","Commercial","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Water Services Regulation Authority","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Water Services Regulation Authority","Communications","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Water Services Regulation Authority","Communications","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Water Services Regulation Authority","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Water Services Regulation Authority","Digital, Data & Technology","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Water Services Regulation Authority","Digital, Data & Technology","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Water Services Regulation Authority","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Water Services Regulation Authority","Finance","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Water Services Regulation Authority","Finance","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Water Services Regulation Authority","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Water Services Regulation Authority","Human Resources","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Water Services Regulation Authority","Human Resources","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Water Services Regulation Authority","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Water Services Regulation Authority","Legal","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Water Services Regulation Authority","Legal","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Water Services Regulation Authority","Legal","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Water Services Regulation Authority","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Water Services Regulation Authority","No function","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Water Services Regulation Authority","No function","Declared non-disabled","80","80","56770","50920"
"In post","2021","Water Services Regulation Authority","No function","Unknown","30","30","[c]","[c]"
"In post","2021","Water Services Regulation Authority","Project Delivery","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Water Services Regulation Authority","Project Delivery","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Water Services Regulation Authority","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Water Services Regulation Authority","Property","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Water Services Regulation Authority","Property","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Water Services Regulation Authority","Security","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Water Services Regulation Authority","Security","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Water Services Regulation Authority","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Welsh Government (excl. agencies)","Unknown","Declared disabled","320","300","38660","37410"
"In post","2021","Welsh Government (excl. agencies)","Unknown","Declared non-disabled","4920","4660","41290","37410"
"In post","2021","Welsh Government (excl. agencies)","Unknown","Undeclared","180","170","42290","37410"
"In post","2021","Welsh Government (excl. agencies)","Unknown","Unknown","280","260","37600","30280"
"In post","2021","Welsh Revenue Authority","Analysis","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Welsh Revenue Authority","Analysis","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Welsh Revenue Authority","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Welsh Revenue Authority","Communications","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Welsh Revenue Authority","Communications","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Welsh Revenue Authority","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Welsh Revenue Authority","Digital, Data & Technology","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Welsh Revenue Authority","Digital, Data & Technology","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Welsh Revenue Authority","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Welsh Revenue Authority","Finance","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Welsh Revenue Authority","Finance","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Welsh Revenue Authority","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Welsh Revenue Authority","Human Resources","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Welsh Revenue Authority","Human Resources","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Welsh Revenue Authority","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Welsh Revenue Authority","Legal","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Welsh Revenue Authority","Legal","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Welsh Revenue Authority","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Welsh Revenue Authority","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Welsh Revenue Authority","Unknown","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Welsh Revenue Authority","Unknown","Unknown","40","40","[c]","[c]"
"In post","2021","Wilton Park","Analysis","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Wilton Park","Analysis","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Wilton Park","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Wilton Park","Commercial","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Wilton Park","Commercial","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Wilton Park","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Wilton Park","Communications","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Wilton Park","Communications","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Wilton Park","Digital, Data & Technology","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Wilton Park","Digital, Data & Technology","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Wilton Park","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Wilton Park","Finance","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Wilton Park","Finance","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Wilton Park","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Wilton Park","Human Resources","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Wilton Park","Human Resources","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Wilton Park","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Wilton Park","Internal Audit","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Wilton Park","Internal Audit","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Wilton Park","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Wilton Park","Project Delivery","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Wilton Park","Project Delivery","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Wilton Park","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Wilton Park","Property","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Wilton Park","Property","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Wilton Park","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","Unknown","Declared non-disabled","70","60","33400","30040"
"In post","2022","Accountant in Bankruptcy","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","Unknown","Unknown","30","30","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Analysis","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Analysis","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Commercial","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Commercial","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Communications","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Communications","Declared non-disabled","[c]","[c]","[c]","[c]"
