"Status","Year","Sexual_orientation","Age","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2021","LGBO","60-64","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","60-64","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","60-64","Grants Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","60-64","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","60-64","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","60-64","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","60-64","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","60-64","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","60-64","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","60-64","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","60-64","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","65+","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","65+","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","65+","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","65+","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","65+","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","65+","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","65+","Grants Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","65+","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","65+","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","65+","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","65+","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","65+","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","65+","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","65+","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","65+","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Unknown","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Unknown","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","16-19","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","20-29","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","20-29","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","20-29","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","20-29","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","20-29","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","20-29","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","20-29","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","20-29","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","20-29","No function","100","100","27520","21570"
"Leaver CS","2021","Undeclared","20-29","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","20-29","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","20-29","Unknown","60","60","28600","26810"
"Leaver CS","2021","Undeclared","30-39","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","30-39","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","30-39","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","30-39","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","30-39","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","30-39","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","30-39","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","30-39","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","30-39","No function","130","120","33960","31950"
"Leaver CS","2021","Undeclared","30-39","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","30-39","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","30-39","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","30-39","Unknown","60","60","35070","28420"
"Leaver CS","2021","Undeclared","40-49","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","40-49","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","40-49","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","40-49","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","40-49","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","40-49","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","40-49","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","40-49","No function","90","80","[c]","[c]"
"Leaver CS","2021","Undeclared","40-49","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","40-49","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","40-49","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","40-49","Unknown","60","60","31290","26670"
"Leaver CS","2021","Undeclared","50-59","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","50-59","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","50-59","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","50-59","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","50-59","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","50-59","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","50-59","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","50-59","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","50-59","Legal","40","30","[c]","[c]"
"Leaver CS","2021","Undeclared","50-59","No function","160","140","34100","26410"
"Leaver CS","2021","Undeclared","50-59","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","50-59","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","50-59","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","50-59","Unknown","190","170","32530","27570"
"Leaver CS","2021","Undeclared","60-64","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","60-64","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","60-64","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","60-64","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","60-64","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","60-64","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","60-64","Legal","30","30","[c]","[c]"
"Leaver CS","2021","Undeclared","60-64","No function","180","140","35060","27390"
"Leaver CS","2021","Undeclared","60-64","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","60-64","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","60-64","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","60-64","Unknown","170","150","32150","27570"
"Leaver CS","2021","Undeclared","65+","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","65+","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","65+","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","65+","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","65+","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","65+","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","65+","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","65+","No function","150","100","26230","22080"
"Leaver CS","2021","Undeclared","65+","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","65+","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","65+","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","65+","Unknown","160","120","27570","25630"
"Leaver CS","2021","Undeclared","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","16-19","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","16-19","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","16-19","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","16-19","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","16-19","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","16-19","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","20-29","Analysis","70","70","24090","21980"
"Leaver CS","2021","Unknown","20-29","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","20-29","Communications","30","30","[c]","[c]"
"Leaver CS","2021","Unknown","20-29","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","20-29","Digital, Data & Technology","50","50","29080","25910"
"Leaver CS","2021","Unknown","20-29","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","20-29","Grants Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","20-29","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","20-29","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","20-29","Legal","30","30","[c]","[c]"
"Leaver CS","2021","Unknown","20-29","No function","1000","980","23410","21570"
"Leaver CS","2021","Unknown","20-29","Project Delivery","60","60","22810","21020"
"Leaver CS","2021","Unknown","20-29","Property","70","50","24540","24500"
"Leaver CS","2021","Unknown","20-29","Security","30","30","[c]","[c]"
"Leaver CS","2021","Unknown","20-29","Unknown","1070","950","27130","27570"
"Leaver CS","2021","Unknown","30-39","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","30-39","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","30-39","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","30-39","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","30-39","Digital, Data & Technology","30","30","[c]","[c]"
"Leaver CS","2021","Unknown","30-39","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","30-39","Grants Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","30-39","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","30-39","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","30-39","No function","540","510","32680","28660"
"Leaver CS","2021","Unknown","30-39","Project Delivery","30","30","[c]","[c]"
"Leaver CS","2021","Unknown","30-39","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","30-39","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","30-39","Unknown","930","810","29770","27570"
"Leaver CS","2021","Unknown","40-49","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","40-49","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","40-49","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","40-49","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","40-49","Debt","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","40-49","Digital, Data & Technology","30","30","[c]","[c]"
"Leaver CS","2021","Unknown","40-49","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","40-49","Grants Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","40-49","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","40-49","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","40-49","No function","390","350","34920","25890"
"Leaver CS","2021","Unknown","40-49","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","40-49","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","40-49","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","40-49","Unknown","1030","890","31470","27570"
"Leaver CS","2021","Unknown","50-59","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","50-59","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","50-59","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","50-59","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","50-59","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","50-59","Grants Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","50-59","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","50-59","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","50-59","No function","540","500","36820","31760"
"Leaver CS","2021","Unknown","50-59","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","50-59","Property","30","30","[c]","[c]"
"Leaver CS","2021","Unknown","50-59","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","50-59","Unknown","2510","2200","31380","27570"
"Leaver CS","2021","Unknown","60-64","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","60-64","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","60-64","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","60-64","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","60-64","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","60-64","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","60-64","Grants Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","60-64","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","60-64","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","60-64","Legal","30","30","[c]","[c]"
"Leaver CS","2021","Unknown","60-64","No function","270","220","36730","32160"
"Leaver CS","2021","Unknown","60-64","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","60-64","Property","40","30","[c]","[c]"
"Leaver CS","2021","Unknown","60-64","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","60-64","Unknown","1620","1270","32320","27570"
"Leaver CS","2021","Unknown","65+","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","65+","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","65+","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","65+","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","65+","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","65+","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","65+","Grants Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","65+","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","65+","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","65+","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","65+","No function","280","200","36760","27130"
"Leaver CS","2021","Unknown","65+","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","65+","Property","30","20","[c]","[c]"
"Leaver CS","2021","Unknown","65+","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","65+","Unknown","1030","690","28030","26120"
"Leaver CS","2021","Unknown","Unknown","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Unknown","Unknown","110","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","16-19","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","16-19","Debt","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","16-19","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","16-19","Grants Management","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","16-19","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","16-19","No function","60","60","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","16-19","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","16-19","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","16-19","Security","[c]","[c]","[c]","[c]"
