"Status","Year","Parent_department","Sexual_orientation","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Scottish Government","Heterosexual / straight","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Government","Heterosexual / straight","Digital, Data and Technology","100","90","42340","36930"
"In post","2021","Scottish Government","Heterosexual / straight","Finance","60","60","36280","33650"
"In post","2021","Scottish Government","Heterosexual / straight","Human Resources","140","140","36810","34150"
"In post","2021","Scottish Government","Heterosexual / straight","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Government","Heterosexual / straight","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Government","Heterosexual / straight","Legal","490","460","53990","52490"
"In post","2021","Scottish Government","Heterosexual / straight","Operational Delivery","2820","2640","30160","30080"
"In post","2021","Scottish Government","Heterosexual / straight","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Government","Heterosexual / straight","Other","220","200","33860","33650"
"In post","2021","Scottish Government","Heterosexual / straight","Policy","30","30","[c]","[c]"
"In post","2021","Scottish Government","Heterosexual / straight","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Government","Heterosexual / straight","Property","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Government","Heterosexual / straight","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Government","Heterosexual / straight","Security","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Government","Heterosexual / straight","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Government","Heterosexual / straight","Unknown","7640","7330","41490","37580"
"In post","2021","Scottish Government","LGBO","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Government","LGBO","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Government","LGBO","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Government","LGBO","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Government","LGBO","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Government","LGBO","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Government","LGBO","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Government","LGBO","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Government","LGBO","Operational Delivery","160","150","29480","28410"
"In post","2021","Scottish Government","LGBO","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Government","LGBO","Other","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Government","LGBO","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Government","LGBO","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Government","LGBO","Property","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Government","LGBO","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Government","LGBO","Security","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Government","LGBO","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Government","LGBO","Unknown","580","570","38270","33270"
"In post","2021","Scottish Government","Undeclared","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Government","Undeclared","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Government","Undeclared","Digital, Data and Technology","70","60","35350","29350"
"In post","2021","Scottish Government","Undeclared","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Government","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Government","Undeclared","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Government","Undeclared","Legal","80","70","50520","45640"
"In post","2021","Scottish Government","Undeclared","Operational Delivery","1660","1500","26850","22820"
"In post","2021","Scottish Government","Undeclared","Other","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Government","Undeclared","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Government","Undeclared","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Government","Undeclared","Property","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Government","Undeclared","Security","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Government","Undeclared","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Government","Undeclared","Unknown","460","450","42490","38540"
"In post","2021","Scottish Government","Unknown","Commercial","50","50","27820","25870"
"In post","2021","Scottish Government","Unknown","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Government","Unknown","Digital, Data and Technology","40","40","[c]","[c]"
"In post","2021","Scottish Government","Unknown","Finance","50","50","29840","25870"
"In post","2021","Scottish Government","Unknown","Human Resources","40","30","[c]","[c]"
"In post","2021","Scottish Government","Unknown","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Government","Unknown","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Government","Unknown","Legal","70","60","56060","54890"
"In post","2021","Scottish Government","Unknown","Operational Delivery","2570","2420","30220","30930"
"In post","2021","Scottish Government","Unknown","Other","430","390","30480","28280"
"In post","2021","Scottish Government","Unknown","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Government","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Government","Unknown","Property","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Government","Unknown","Psychology","50","50","39000","33650"
"In post","2021","Scottish Government","Unknown","Security","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Government","Unknown","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Government","Unknown","Unknown","4070","3860","37080","31060"
"In post","2021","The National Archives","Heterosexual / straight","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","The National Archives","Heterosexual / straight","Communications","[c]","[c]","[c]","[c]"
"In post","2021","The National Archives","Heterosexual / straight","Digital, Data and Technology","60","50","38480","35530"
"In post","2021","The National Archives","Heterosexual / straight","Finance","[c]","[c]","[c]","[c]"
"In post","2021","The National Archives","Heterosexual / straight","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","The National Archives","Heterosexual / straight","Knowledge and Information Management","30","30","[c]","[c]"
"In post","2021","The National Archives","Heterosexual / straight","Operational Delivery","60","60","30960","28460"
"In post","2021","The National Archives","Heterosexual / straight","Other","30","30","[c]","[c]"
"In post","2021","The National Archives","Heterosexual / straight","Policy","[c]","[c]","[c]","[c]"
"In post","2021","The National Archives","Heterosexual / straight","Property","[c]","[c]","[c]","[c]"
"In post","2021","The National Archives","LGBO","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","The National Archives","LGBO","Communications","[c]","[c]","[c]","[c]"
"In post","2021","The National Archives","LGBO","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","The National Archives","LGBO","Finance","[c]","[c]","[c]","[c]"
"In post","2021","The National Archives","LGBO","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","The National Archives","LGBO","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","The National Archives","LGBO","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","The National Archives","LGBO","Other","[c]","[c]","[c]","[c]"
"In post","2021","The National Archives","LGBO","Policy","[c]","[c]","[c]","[c]"
"In post","2021","The National Archives","LGBO","Property","[c]","[c]","[c]","[c]"
"In post","2021","The National Archives","Undeclared","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","The National Archives","Undeclared","Communications","[c]","[c]","[c]","[c]"
"In post","2021","The National Archives","Undeclared","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","The National Archives","Undeclared","Finance","[c]","[c]","[c]","[c]"
"In post","2021","The National Archives","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","The National Archives","Undeclared","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","The National Archives","Undeclared","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","The National Archives","Undeclared","Other","[c]","[c]","[c]","[c]"
"In post","2021","The National Archives","Undeclared","Policy","[c]","[c]","[c]","[c]"
"In post","2021","The National Archives","Undeclared","Property","[c]","[c]","[c]","[c]"
"In post","2021","The National Archives","Unknown","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","The National Archives","Unknown","Communications","[c]","[c]","[c]","[c]"
"In post","2021","The National Archives","Unknown","Digital, Data and Technology","40","30","[c]","[c]"
"In post","2021","The National Archives","Unknown","Finance","[c]","[c]","[c]","[c]"
"In post","2021","The National Archives","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","The National Archives","Unknown","Knowledge and Information Management","40","40","[c]","[c]"
"In post","2021","The National Archives","Unknown","Operational Delivery","80","80","28390","24990"
"In post","2021","The National Archives","Unknown","Other","40","40","[c]","[c]"
"In post","2021","The National Archives","Unknown","Property","[c]","[c]","[c]","[c]"
"In post","2021","UK Export Finance","Heterosexual / straight","Communications","[c]","[c]","[c]","[c]"
"In post","2021","UK Export Finance","Heterosexual / straight","Digital, Data and Technology","30","30","[c]","[c]"
"In post","2021","UK Export Finance","Heterosexual / straight","Economics","[c]","[c]","[c]","[c]"
"In post","2021","UK Export Finance","Heterosexual / straight","Finance","[c]","[c]","[c]","[c]"
"In post","2021","UK Export Finance","Heterosexual / straight","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","UK Export Finance","Heterosexual / straight","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","UK Export Finance","Heterosexual / straight","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","UK Export Finance","Heterosexual / straight","Legal","[c]","[c]","[c]","[c]"
"In post","2021","UK Export Finance","Heterosexual / straight","Operational Delivery","200","200","53550","47590"
"In post","2021","UK Export Finance","Heterosexual / straight","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","UK Export Finance","Heterosexual / straight","Security","[c]","[c]","[c]","[c]"
"In post","2021","UK Export Finance","LGBO","Communications","[c]","[c]","[c]","[c]"
"In post","2021","UK Export Finance","LGBO","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","UK Export Finance","LGBO","Economics","[c]","[c]","[c]","[c]"
"In post","2021","UK Export Finance","LGBO","Finance","[c]","[c]","[c]","[c]"
"In post","2021","UK Export Finance","LGBO","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","UK Export Finance","LGBO","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","UK Export Finance","LGBO","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","UK Export Finance","LGBO","Legal","[c]","[c]","[c]","[c]"
"In post","2021","UK Export Finance","LGBO","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","UK Export Finance","LGBO","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","UK Export Finance","LGBO","Security","[c]","[c]","[c]","[c]"
"In post","2021","UK Export Finance","Undeclared","Communications","[c]","[c]","[c]","[c]"
"In post","2021","UK Export Finance","Undeclared","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","UK Export Finance","Undeclared","Finance","[c]","[c]","[c]","[c]"
"In post","2021","UK Export Finance","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","UK Export Finance","Undeclared","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","UK Export Finance","Undeclared","Legal","[c]","[c]","[c]","[c]"
"In post","2021","UK Export Finance","Undeclared","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","UK Export Finance","Unknown","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","UK Export Finance","Unknown","Finance","[c]","[c]","[c]","[c]"
"In post","2021","UK Export Finance","Unknown","Legal","[c]","[c]","[c]","[c]"
"In post","2021","UK Export Finance","Unknown","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","UK Supreme Court","Heterosexual / straight","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","UK Supreme Court","Heterosexual / straight","Communications","[c]","[c]","[c]","[c]"
"In post","2021","UK Supreme Court","Heterosexual / straight","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","UK Supreme Court","Heterosexual / straight","Finance","[c]","[c]","[c]","[c]"
"In post","2021","UK Supreme Court","Heterosexual / straight","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","UK Supreme Court","Heterosexual / straight","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","UK Supreme Court","Heterosexual / straight","Legal","[c]","[c]","[c]","[c]"
"In post","2021","UK Supreme Court","Heterosexual / straight","Operational Delivery","[c]","[c]","[c]","[c]"
