"Status","Year","Organisation","Profession_of_post","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2021","Crown Prosecution Service","Digital, Data and Technology","Attorney General's Departments","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Crown Prosecution Service","Finance","Attorney General's Departments","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Crown Prosecution Service","Human Resources","Attorney General's Departments","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Crown Prosecution Service","Legal","Attorney General's Departments","140","120","56110","55610"
"Leaver CS","2021","Crown Prosecution Service","Operational Delivery","Attorney General's Departments","110","100","27160","23520"
"Leaver CS","2021","Crown Prosecution Service","Security","Attorney General's Departments","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Crown Prosecution Service Inspectorate","Legal","Attorney General's Departments","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Crown Prosecution Service Inspectorate","Other","Attorney General's Departments","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Debt Management Office","Digital, Data and Technology","HM Treasury","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Debt Management Office","Finance","HM Treasury","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Debt Management Office","Human Resources","HM Treasury","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Debt Management Office","Operational Delivery","HM Treasury","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Debt Management Office","Policy","HM Treasury","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Defence Electronics and Components Agency","Digital, Data and Technology","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Defence Electronics and Components Agency","Other","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Defence Electronics and Components Agency","Science and Engineering","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Defence Electronics and Components Agency","Unknown","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Defence Equipment and Support","Commercial","Ministry of Defence","40","40","[c]","[c]"
"Leaver CS","2021","Defence Equipment and Support","Communications","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Defence Equipment and Support","Digital, Data and Technology","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Defence Equipment and Support","Finance","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Defence Equipment and Support","Human Resources","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Defence Equipment and Support","Knowledge and Information Management","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Defence Equipment and Support","Other","Ministry of Defence","150","150","28940","22990"
"Leaver CS","2021","Defence Equipment and Support","Policy","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Defence Equipment and Support","Project Delivery","Ministry of Defence","90","80","39800","37930"
"Leaver CS","2021","Defence Equipment and Support","Property","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Defence Equipment and Support","Science and Engineering","Ministry of Defence","130","120","35670","33610"
"Leaver CS","2021","Defence Equipment and Support","Security","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Defence Science and Technology Laboratory","Commercial","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Defence Science and Technology Laboratory","Communications","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Defence Science and Technology Laboratory","Corporate Finance","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Defence Science and Technology Laboratory","Digital, Data and Technology","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Defence Science and Technology Laboratory","Finance","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Defence Science and Technology Laboratory","Human Resources","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Defence Science and Technology Laboratory","Knowledge and Information Management","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Defence Science and Technology Laboratory","Legal","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Defence Science and Technology Laboratory","Operational Delivery","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Defence Science and Technology Laboratory","Operational Research","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Defence Science and Technology Laboratory","Project Delivery","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Defence Science and Technology Laboratory","Psychology","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Defence Science and Technology Laboratory","Science and Engineering","Ministry of Defence","120","120","28270","26480"
"Leaver CS","2021","Defence Science and Technology Laboratory","Security","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Communications","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Digital, Data and Technology","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Economics","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Finance","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Human Resources","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Knowledge and Information Management","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Operational Delivery","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Policy","Department for Business, Energy and Industrial Strategy","130","120","52950","52300"
"Leaver CS","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Project Delivery","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Science and Engineering","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Security","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Statistics","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Digital, Culture, Media and Sport","Communications","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Digital, Culture, Media and Sport","Finance","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Digital, Culture, Media and Sport","Human Resources","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Digital, Culture, Media and Sport","Operational Research","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Digital, Culture, Media and Sport","Other","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Digital, Culture, Media and Sport","Policy","Department for Digital, Culture, Media and Sport","60","60","[c]","[c]"
"Leaver CS","2021","Department for Digital, Culture, Media and Sport","Project Delivery","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Digital, Culture, Media and Sport","Property","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Education (excl. agencies)","Commercial","Department for Education","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Education (excl. agencies)","Communications","Department for Education","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Education (excl. agencies)","Digital, Data and Technology","Department for Education","30","30","[c]","[c]"
"Leaver CS","2021","Department for Education (excl. agencies)","Finance","Department for Education","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Education (excl. agencies)","Human Resources","Department for Education","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Education (excl. agencies)","Legal","Department for Education","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Education (excl. agencies)","Operational Delivery","Department for Education","30","30","[c]","[c]"
"Leaver CS","2021","Department for Education (excl. agencies)","Policy","Department for Education","130","120","47590","42420"
"Leaver CS","2021","Department for Education (excl. agencies)","Project Delivery","Department for Education","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Education (excl. agencies)","Property","Department for Education","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Education (excl. agencies)","Security","Department for Education","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Commercial","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Communications","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Digital, Data and Technology","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Economics","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Finance","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Human Resources","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Knowledge and Information Management","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Operational Delivery","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Policy","Department for Environment, Food and Rural Affairs","140","140","37480","32400"
"Leaver CS","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Project Delivery","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Property","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Unknown","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
