"Status","Year","Function_of_post","Profession_of_post","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Analysis","Economics","Department for Digital, Culture, Media and Sport","80","80","48160","51070"
"In post","2022","Analysis","Economics","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Economics","Department for International Trade","150","150","44230","40330"
"In post","2022","Analysis","Economics","Department for Levelling Up, Housing and Communities","60","60","48610","53130"
"In post","2022","Analysis","Economics","Department for Transport","150","150","48360","54110"
"In post","2022","Analysis","Economics","Department for Work and Pensions","50","50","[c]","[c]"
"In post","2022","Analysis","Economics","Department of Health and Social Care","90","80","47580","49530"
"In post","2022","Analysis","Economics","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Economics","HM Revenue and Customs","120","120","47010","37930"
"In post","2022","Analysis","Economics","HM Treasury","40","30","[c]","[c]"
"In post","2022","Analysis","Economics","Ministry of Justice","60","50","47760","41750"
"In post","2022","Analysis","Economics","Office of Gas and Electricity Markets","40","40","[c]","[c]"
"In post","2022","Analysis","Economics","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Economics","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Economics","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Economics","UK Statistics Authority","180","180","36380","30710"
"In post","2022","Analysis","Economics","Water Services Regulation Authority","40","40","[c]","[c]"
"In post","2022","Analysis","Finance","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Finance","HM Land Registry","30","30","[c]","[c]"
"In post","2022","Analysis","Finance","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Finance","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Geography","Ministry of Defence","60","60","31580","33000"
"In post","2022","Analysis","Human Resources","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Human Resources","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Human Resources","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Human Resources","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Intelligence Analysis","Competition and Markets Authority","30","30","[c]","[c]"
"In post","2022","Analysis","Intelligence Analysis","Department for Business, Energy and Industrial Strategy","40","40","[c]","[c]"
"In post","2022","Analysis","Intelligence Analysis","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Intelligence Analysis","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Internal Audit","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","International Trade","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Knowledge and Information Management","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Knowledge and Information Management","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Knowledge and Information Management","Estyn","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Knowledge and Information Management","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Knowledge and Information Management","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Knowledge and Information Management","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Knowledge and Information Management","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Medicine","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Operational Delivery","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Operational Delivery","Department for Education","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Operational Delivery","Department for Environment, Food and Rural Affairs","50","40","[c]","[c]"
"In post","2022","Analysis","Operational Delivery","Department for Work and Pensions","40","40","[c]","[c]"
"In post","2022","Analysis","Operational Delivery","Department of Health and Social Care","40","40","[c]","[c]"
"In post","2022","Analysis","Operational Delivery","HM Revenue and Customs","30","30","[c]","[c]"
"In post","2022","Analysis","Operational Delivery","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Operational Delivery","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Operational Delivery","Ministry of Justice","120","110","42360","40490"
"In post","2022","Analysis","Operational Delivery","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Operational Delivery","UK Statistics Authority","530","500","32140","30210"
"In post","2022","Analysis","Operational Research","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Operational Research","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Operational Research","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Operational Research","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Operational Research","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Operational Research","Department for Transport","80","70","34330","32020"
"In post","2022","Analysis","Operational Research","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Operational Research","Foreign, Commonwealth and Development Office","60","60","59570","61400"
"In post","2022","Analysis","Operational Research","HM Revenue and Customs","110","100","45840","40520"
"In post","2022","Analysis","Operational Research","Ministry of Defence","280","260","43180","47010"
"In post","2022","Analysis","Operational Research","Ministry of Justice","110","110","49020","46760"
"In post","2022","Analysis","Operational Research","UK Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Other","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Other","Chancellor's other departments","200","190","68380","64580"
"In post","2022","Analysis","Other","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Other","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Other","Department for Transport","40","40","[c]","[c]"
"In post","2022","Analysis","Other","Department of Health and Social Care","40","30","[c]","[c]"
"In post","2022","Analysis","Other","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Other","Office of Gas and Electricity Markets","80","80","39270","33400"
"In post","2022","Analysis","Policy","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Policy","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Policy","Department for Education","110","100","45410","45250"
"In post","2022","Analysis","Policy","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Policy","Department for Work and Pensions","240","220","46460","40840"
"In post","2022","Analysis","Policy","Department of Health and Social Care","170","160","53280","53360"
"In post","2022","Analysis","Policy","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Policy","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Policy","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Project Delivery","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Project Delivery","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Project Delivery","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Psychology","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Science and Engineering","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Science and Engineering","Department for Environment, Food and Rural Affairs","470","450","34230","30220"
"In post","2022","Analysis","Science and Engineering","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Science and Engineering","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Science and Engineering","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Science and Engineering","Ministry of Defence","170","160","38510","38070"
"In post","2022","Analysis","Science and Engineering","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Science and Engineering","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Security","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Social Research","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Social Research","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Social Research","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Social Research","Department for Levelling Up, Housing and Communities","30","30","[c]","[c]"
"In post","2022","Analysis","Social Research","Department for Transport","50","50","[c]","[c]"
"In post","2022","Analysis","Social Research","Department for Work and Pensions","40","40","[c]","[c]"
"In post","2022","Analysis","Social Research","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Social Research","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Social Research","HM Revenue and Customs","110","110","47160","43430"
"In post","2022","Analysis","Social Research","Ministry of Justice","80","80","51200","51290"
"In post","2022","Analysis","Social Research","Office for Standards in Education, Children's Services and Skills","40","40","[c]","[c]"
"In post","2022","Analysis","Social Research","UK Statistics Authority","660","630","38820","38340"
"In post","2022","Analysis","Statistics","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Statistics","Department for Business, Energy and Industrial Strategy","60","60","42530","39570"
"In post","2022","Analysis","Statistics","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Statistics","Department for International Trade","50","50","44730","41530"
"In post","2022","Analysis","Statistics","Department for Levelling Up, Housing and Communities","140","140","45710","42980"
"In post","2022","Analysis","Statistics","Department for Transport","80","80","43890","42470"
"In post","2022","Analysis","Statistics","Department for Work and Pensions","200","190","45270","40310"
"In post","2022","Analysis","Statistics","Department of Health and Social Care","40","40","[c]","[c]"
"In post","2022","Analysis","Statistics","Estyn","[c]","[c]","[c]","[c]"
