"Status","Year","Organisation","Function_of_post","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Cabinet Office (excl. agencies)","Digital, Data & Technology","Unknown","1140","1130","50410","54700"
"In post","2022","Cabinet Office (excl. agencies)","Finance","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Finance","Unknown","100","100","47480","46410"
"In post","2022","Cabinet Office (excl. agencies)","Human Resources","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Human Resources","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Human Resources","Unknown","1130","1080","39530","35590"
"In post","2022","Cabinet Office (excl. agencies)","Legal","Unknown","60","60","79770","79760"
"In post","2022","Cabinet Office (excl. agencies)","No function","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","No function","Other","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","No function","Policy","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","No function","Unknown","3980","3950","41000","32000"
"In post","2022","Cabinet Office (excl. agencies)","Project Delivery","Unknown","190","190","66540","56540"
"In post","2022","Cabinet Office (excl. agencies)","Property","Unknown","110","110","49750","49700"
"In post","2022","Cabinet Office (excl. agencies)","Security","Unknown","990","950","33900","33000"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Analysis","Economics","[c]","[c]","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Analysis","Science and Engineering","470","450","34230","30220"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Commercial","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Communications","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Digital, Data & Technology","Digital, Data and Technology","60","60","31650","29750"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Finance","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Human Resources","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","No function","Other","[c]","[c]","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Project Delivery","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Project Delivery","Project Delivery","40","30","[c]","[c]"
"In post","2022","Charity Commission","Commercial","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Communications","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Digital, Data & Technology","Digital, Data and Technology","50","50","34230","29160"
"In post","2022","Charity Commission","Finance","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Human Resources","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Legal","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","No function","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","No function","Operational Delivery","290","270","31150","29160"
"In post","2022","Charity Commission","No function","Policy","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Project Delivery","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Property","Property","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Security","Security","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Unknown","Other","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Analysis","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Analysis","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Commercial","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Communications","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Counter Fraud","Counter Fraud","170","150","24810","22740"
"In post","2022","Companies House","Digital, Data & Technology","Digital, Data and Technology","230","230","39700","38000"
"In post","2022","Companies House","Finance","Finance","70","60","30060","24730"
"In post","2022","Companies House","Human Resources","Human Resources","60","50","37260","39820"
"In post","2022","Companies House","Legal","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","No function","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","No function","Operational Delivery","480","430","24880","22740"
"In post","2022","Companies House","No function","Other","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","No function","Policy","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Project Delivery","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Property","Property","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Security","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Security","Security","[c]","[c]","[c]","[c]"
"In post","2022","Competition and Markets Authority","Analysis","Economics","100","90","64410","59510"
"In post","2022","Competition and Markets Authority","Analysis","Intelligence Analysis","30","30","[c]","[c]"
"In post","2022","Competition and Markets Authority","Analysis","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","Competition and Markets Authority","Commercial","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Competition and Markets Authority","Communications","Communications","30","30","[c]","[c]"
"In post","2022","Competition and Markets Authority","Digital, Data & Technology","Digital, Data and Technology","70","70","57160","57000"
"In post","2022","Competition and Markets Authority","Finance","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2022","Competition and Markets Authority","Human Resources","Human Resources","40","40","[c]","[c]"
"In post","2022","Competition and Markets Authority","Legal","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Competition and Markets Authority","Legal","Legal","150","140","68780","71370"
"In post","2022","Competition and Markets Authority","Legal","Policy","[c]","[c]","[c]","[c]"
"In post","2022","Competition and Markets Authority","Project Delivery","Project Delivery","380","360","61910","56640"
"In post","2022","Competition and Markets Authority","Property","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Competition and Markets Authority","Property","Property","[c]","[c]","[c]","[c]"
"In post","2022","Competition and Markets Authority","Security","Security","[c]","[c]","[c]","[c]"
"In post","2022","Criminal Injuries Compensation Authority","Digital, Data & Technology","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","Criminal Injuries Compensation Authority","No function","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Criminal Injuries Compensation Authority","No function","Operational Delivery","320","290","27290","25120"
"In post","2022","Crown Commercial Service","Commercial","Commercial","350","340","35910","34460"
"In post","2022","Crown Commercial Service","Commercial","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","Crown Commercial Service","Commercial","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Crown Commercial Service","Communications","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Crown Commercial Service","Communications","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Crown Commercial Service","Digital, Data & Technology","Digital, Data and Technology","130","120","44650","41080"
"In post","2022","Crown Commercial Service","Digital, Data & Technology","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Crown Commercial Service","Digital, Data & Technology","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","Crown Commercial Service","Finance","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","Crown Commercial Service","Finance","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Crown Commercial Service","Human Resources","Human Resources","40","30","[c]","[c]"
"In post","2022","Crown Commercial Service","Human Resources","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Crown Commercial Service","No function","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Crown Commercial Service","No function","Operational Delivery","180","180","41190","38980"
"In post","2022","Crown Commercial Service","No function","Policy","[c]","[c]","[c]","[c]"
"In post","2022","Crown Commercial Service","No function","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Crown Commercial Service","Project Delivery","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Crown Commercial Service","Project Delivery","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Crown Commercial Service","Unknown","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Crown Commercial Service","Unknown","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","Crown Commercial Service","Unknown","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Crown Office and Procurator Fiscal Service","Communications","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Crown Office and Procurator Fiscal Service","Digital, Data & Technology","Digital, Data and Technology","60","60","41540","38600"
"In post","2022","Crown Office and Procurator Fiscal Service","Finance","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Crown Office and Procurator Fiscal Service","Human Resources","Human Resources","50","40","[c]","[c]"
"In post","2022","Crown Office and Procurator Fiscal Service","Legal","Legal","720","690","54240","53490"
"In post","2022","Crown Office and Procurator Fiscal Service","No function","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Crown Office and Procurator Fiscal Service","No function","Operational Delivery","1450","1350","27500","23230"
"In post","2022","Crown Office and Procurator Fiscal Service","No function","Policy","[c]","[c]","[c]","[c]"
"In post","2022","Crown Office and Procurator Fiscal Service","Security","Security","[c]","[c]","[c]","[c]"
"In post","2022","Crown Prosecution Service","Commercial","Commercial","40","40","[c]","[c]"
"In post","2022","Crown Prosecution Service","Commercial","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Crown Prosecution Service","Communications","Communications","30","30","[c]","[c]"
"In post","2022","Crown Prosecution Service","Digital, Data & Technology","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Crown Prosecution Service","Digital, Data & Technology","Digital, Data and Technology","100","100","39080","33310"
"In post","2022","Crown Prosecution Service","Digital, Data & Technology","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Crown Prosecution Service","Digital, Data & Technology","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Crown Prosecution Service","Digital, Data & Technology","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Crown Prosecution Service","Digital, Data & Technology","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Crown Prosecution Service","Finance","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","Crown Prosecution Service","Finance","Finance","90","80","31210","25480"
"In post","2022","Crown Prosecution Service","Finance","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Crown Prosecution Service","Human Resources","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Crown Prosecution Service","Human Resources","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","Crown Prosecution Service","Human Resources","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Crown Prosecution Service","Human Resources","Human Resources","150","140","37720","30610"
"In post","2022","Crown Prosecution Service","Human Resources","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Crown Prosecution Service","Human Resources","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Crown Prosecution Service","Human Resources","Policy","[c]","[c]","[c]","[c]"
"In post","2022","Crown Prosecution Service","Human Resources","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Crown Prosecution Service","Internal Audit","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Crown Prosecution Service","Legal","Communications","[c]","[c]","[c]","[c]"
