"Status","Year","Disability","Age","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Undeclared","50-59","Economics","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","50-59","Finance","260","250","39970","35470"
"In post","2022","Undeclared","50-59","Geography","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","50-59","Human Resources","190","180","39710","34900"
"In post","2022","Undeclared","50-59","Intelligence Analysis","100","100","34120","31520"
"In post","2022","Undeclared","50-59","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","50-59","International Trade","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","50-59","Knowledge and Information Management","60","60","35670","33300"
"In post","2022","Undeclared","50-59","Legal","200","180","48820","44630"
"In post","2022","Undeclared","50-59","Medicine","30","30","[c]","[c]"
"In post","2022","Undeclared","50-59","Operational Delivery","5590","5200","30250","28550"
"In post","2022","Undeclared","50-59","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","50-59","Other","630","610","28500","26350"
"In post","2022","Undeclared","50-59","Planning","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","50-59","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","50-59","Policy","350","350","48610","46660"
"In post","2022","Undeclared","50-59","Project Delivery","270","270","45720","40690"
"In post","2022","Undeclared","50-59","Property","260","250","39500","36050"
"In post","2022","Undeclared","50-59","Psychology","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","50-59","Science and Engineering","230","230","40550","38150"
"In post","2022","Undeclared","50-59","Security","360","360","34410","36910"
"In post","2022","Undeclared","50-59","Social Research","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","50-59","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","50-59","Tax","320","300","41450","40180"
"In post","2022","Undeclared","50-59","Unknown","150","150","41350","36130"
"In post","2022","Undeclared","50-59","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","60-64","Commercial","30","30","[c]","[c]"
"In post","2022","Undeclared","60-64","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","60-64","Counter Fraud","40","30","[c]","[c]"
"In post","2022","Undeclared","60-64","Digital, Data and Technology","70","60","39950","37100"
"In post","2022","Undeclared","60-64","Economics","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","60-64","Finance","70","60","38750","35700"
"In post","2022","Undeclared","60-64","Geography","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","60-64","Human Resources","40","30","[c]","[c]"
"In post","2022","Undeclared","60-64","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","60-64","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","60-64","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","60-64","Legal","50","40","[c]","[c]"
"In post","2022","Undeclared","60-64","Medicine","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","60-64","Operational Delivery","1650","1290","27760","27130"
"In post","2022","Undeclared","60-64","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","60-64","Other","260","240","28490","26670"
"In post","2022","Undeclared","60-64","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","60-64","Policy","80","70","46820","39000"
"In post","2022","Undeclared","60-64","Project Delivery","60","50","43470","40580"
"In post","2022","Undeclared","60-64","Property","60","50","40110","35480"
"In post","2022","Undeclared","60-64","Psychology","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","60-64","Science and Engineering","100","90","34720","33670"
"In post","2022","Undeclared","60-64","Security","80","70","30290","23020"
"In post","2022","Undeclared","60-64","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","60-64","Tax","100","70","42560","35980"
"In post","2022","Undeclared","60-64","Unknown","30","30","[c]","[c]"
"In post","2022","Undeclared","60-64","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","65+","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","65+","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","65+","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","65+","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","65+","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","65+","Geography","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","65+","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","65+","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","65+","International Trade","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","65+","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","65+","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","65+","Medicine","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","65+","Operational Delivery","490","360","27210","25480"
"In post","2022","Undeclared","65+","Other","100","80","28230","23740"
"In post","2022","Undeclared","65+","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","65+","Policy","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","65+","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","65+","Property","30","30","[c]","[c]"
"In post","2022","Undeclared","65+","Psychology","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","65+","Science and Engineering","40","30","[c]","[c]"
"In post","2022","Undeclared","65+","Security","30","30","[c]","[c]"
"In post","2022","Undeclared","65+","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","65+","Tax","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","65+","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","16-19","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","16-19","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","16-19","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","16-19","Economics","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","16-19","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","16-19","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","16-19","International Trade","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","16-19","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","16-19","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","16-19","Operational Delivery","280","260","21830","21250"
"In post","2022","Unknown","16-19","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","16-19","Other","50","50","18720","17140"
"In post","2022","Unknown","16-19","Policy","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","16-19","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","16-19","Property","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","16-19","Science and Engineering","40","40","[c]","[c]"
"In post","2022","Unknown","16-19","Security","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","16-19","Tax","30","30","[c]","[c]"
"In post","2022","Unknown","16-19","Unknown","60","50","23250","21260"
"In post","2022","Unknown","20-29","Commercial","360","360","34600","31370"
"In post","2022","Unknown","20-29","Communications","380","380","35620","33120"
"In post","2022","Unknown","20-29","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","20-29","Counter Fraud","80","80","28820","27570"
"In post","2022","Unknown","20-29","Digital, Data and Technology","1070","1060","34080","32870"
"In post","2022","Unknown","20-29","Economics","320","320","36350","33210"
"In post","2022","Unknown","20-29","Finance","520","510","32940","30450"
"In post","2022","Unknown","20-29","Geography","50","50","[c]","[c]"
"In post","2022","Unknown","20-29","Human Resources","360","360","30790","28590"
"In post","2022","Unknown","20-29","Intelligence Analysis","120","110","31390","28700"
"In post","2022","Unknown","20-29","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","20-29","International Trade","240","240","38980","38160"
"In post","2022","Unknown","20-29","Knowledge and Information Management","60","60","32110","28460"
"In post","2022","Unknown","20-29","Legal","420","420","33430","31020"
"In post","2022","Unknown","20-29","Medicine","60","60","33750","32640"
"In post","2022","Unknown","20-29","Operational Delivery","11270","11070","25910","24590"
"In post","2022","Unknown","20-29","Operational Research","50","50","34570","34260"
"In post","2022","Unknown","20-29","Other","980","970","28160","27570"
"In post","2022","Unknown","20-29","Planning","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","20-29","Policy","2260","2250","38480","35050"
"In post","2022","Unknown","20-29","Project Delivery","430","430","35450","34260"
"In post","2022","Unknown","20-29","Property","310","300","29980","28310"
"In post","2022","Unknown","20-29","Psychology","60","60","26410","26590"
"In post","2022","Unknown","20-29","Science and Engineering","280","280","29610","28620"
"In post","2022","Unknown","20-29","Security","410","410","27360","25680"
"In post","2022","Unknown","20-29","Social Research","180","180","34620","33650"
"In post","2022","Unknown","20-29","Statistics","250","250","34320","33370"
"In post","2022","Unknown","20-29","Tax","1630","1590","26710","26590"
"In post","2022","Unknown","20-29","Unknown","3810","3780","31530","29250"
"In post","2022","Unknown","20-29","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","30-39","Commercial","340","330","38930","37180"
"In post","2022","Unknown","30-39","Communications","290","280","45870","42710"
"In post","2022","Unknown","30-39","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","30-39","Counter Fraud","90","80","32210","27570"
"In post","2022","Unknown","30-39","Digital, Data and Technology","1220","1200","43170","40090"
"In post","2022","Unknown","30-39","Economics","100","100","53910","54760"
"In post","2022","Unknown","30-39","Finance","530","510","41340","38410"
"In post","2022","Unknown","30-39","Geography","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","30-39","Human Resources","400","380","36710","32790"
"In post","2022","Unknown","30-39","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","30-39","Intelligence Analysis","100","90","37430","33900"
"In post","2022","Unknown","30-39","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","30-39","International Trade","220","210","47670","51710"
"In post","2022","Unknown","30-39","Knowledge and Information Management","50","50","[c]","[c]"
"In post","2022","Unknown","30-39","Legal","720","700","43750","43620"
"In post","2022","Unknown","30-39","Medicine","190","170","46010","39030"
"In post","2022","Unknown","30-39","Operational Delivery","10100","9610","28800","26820"
"In post","2022","Unknown","30-39","Operational Research","40","30","[c]","[c]"
"In post","2022","Unknown","30-39","Other","1240","1200","35270","32700"
"In post","2022","Unknown","30-39","Planning","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","30-39","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","30-39","Policy","1840","1800","48070","49860"
"In post","2022","Unknown","30-39","Project Delivery","600","580","42430","40220"
"In post","2022","Unknown","30-39","Property","240","230","36200","33000"
"In post","2022","Unknown","30-39","Psychology","70","60","33640","35000"
"In post","2022","Unknown","30-39","Science and Engineering","370","350","38850","39400"
"In post","2022","Unknown","30-39","Security","460","450","33010","33200"
"In post","2022","Unknown","30-39","Social Research","100","90","42970","39200"
"In post","2022","Unknown","30-39","Statistics","130","130","42770","39050"
"In post","2022","Unknown","30-39","Tax","1620","1560","31250","26820"
"In post","2022","Unknown","30-39","Unknown","2970","2880","41760","36130"
"In post","2022","Unknown","30-39","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","40-49","Commercial","270","260","43620","39390"
"In post","2022","Unknown","40-49","Communications","240","230","49570","47470"
"In post","2022","Unknown","40-49","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","40-49","Counter Fraud","70","60","35820","31060"
"In post","2022","Unknown","40-49","Digital, Data and Technology","1050","1040","46810","43000"
"In post","2022","Unknown","40-49","Economics","40","40","[c]","[c]"
"In post","2022","Unknown","40-49","Finance","430","410","42350","40000"
"In post","2022","Unknown","40-49","Geography","[c]","[c]","[c]","[c]"
