"Status","Year","Parent_department","Profession_of_post","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Foreign, Commonwealth and Development Office","Project Delivery","Foreign, Commonwealth and Development Office (excl. agencies)","330","320","44930","41370"
"In post","2022","Foreign, Commonwealth and Development Office","Project Delivery","Wilton Park","[c]","[c]","[c]","[c]"
"In post","2022","Foreign, Commonwealth and Development Office","Property","FCDO Services","350","350","40090","38990"
"In post","2022","Foreign, Commonwealth and Development Office","Property","Foreign, Commonwealth and Development Office (excl. agencies)","70","70","56750","59470"
"In post","2022","Foreign, Commonwealth and Development Office","Property","Wilton Park","[c]","[c]","[c]","[c]"
"In post","2022","Foreign, Commonwealth and Development Office","Science and Engineering","FCDO Services","[c]","[c]","[c]","[c]"
"In post","2022","Foreign, Commonwealth and Development Office","Science and Engineering","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Foreign, Commonwealth and Development Office","Security","FCDO Services","270","250","34440","33030"
"In post","2022","Foreign, Commonwealth and Development Office","Security","Foreign, Commonwealth and Development Office (excl. agencies)","170","170","41780","34770"
"In post","2022","Foreign, Commonwealth and Development Office","Statistics","Foreign, Commonwealth and Development Office (excl. agencies)","40","40","[c]","[c]"
"In post","2022","Foreign, Commonwealth and Development Office","Tax","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Foreign, Commonwealth and Development Office","Unknown","Foreign, Commonwealth and Development Office (excl. agencies)","180","170","51550","49430"
"In post","2022","HM Land Registry","Commercial","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2022","HM Land Registry","Communications","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2022","HM Land Registry","Digital, Data and Technology","HM Land Registry","710","670","37870","38450"
"In post","2022","HM Land Registry","Finance","HM Land Registry","80","80","47560","42100"
"In post","2022","HM Land Registry","Human Resources","HM Land Registry","100","100","39260","33840"
"In post","2022","HM Land Registry","Internal Audit","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2022","HM Land Registry","Legal","HM Land Registry","270","250","49180","56750"
"In post","2022","HM Land Registry","Operational Delivery","HM Land Registry","5190","4670","28580","27130"
"In post","2022","HM Land Registry","Other","HM Land Registry","30","30","[c]","[c]"
"In post","2022","HM Land Registry","Project Delivery","HM Land Registry","180","180","38710","38550"
"In post","2022","HM Land Registry","Property","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2022","HM Revenue and Customs","Commercial","HM Revenue and Customs (excl. agencies)","80","70","39840","40520"
"In post","2022","HM Revenue and Customs","Commercial","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2022","HM Revenue and Customs","Communications","HM Revenue and Customs (excl. agencies)","220","220","46470","41510"
"In post","2022","HM Revenue and Customs","Communications","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2022","HM Revenue and Customs","Digital, Data and Technology","HM Revenue and Customs (excl. agencies)","2120","2050","41710","40180"
"In post","2022","HM Revenue and Customs","Digital, Data and Technology","Valuation Office Agency","40","40","[c]","[c]"
"In post","2022","HM Revenue and Customs","Economics","HM Revenue and Customs (excl. agencies)","140","130","49190","40520"
"In post","2022","HM Revenue and Customs","Finance","HM Revenue and Customs (excl. agencies)","1070","1000","41630","40180"
"In post","2022","HM Revenue and Customs","Finance","Valuation Office Agency","70","70","43110","38870"
"In post","2022","HM Revenue and Customs","Human Resources","HM Revenue and Customs (excl. agencies)","700","660","42610","40180"
"In post","2022","HM Revenue and Customs","Human Resources","Valuation Office Agency","90","90","40660","34000"
"In post","2022","HM Revenue and Customs","Intelligence Analysis","HM Revenue and Customs (excl. agencies)","250","240","38670","37610"
"In post","2022","HM Revenue and Customs","Internal Audit","HM Revenue and Customs (excl. agencies)","70","60","47280","43430"
"In post","2022","HM Revenue and Customs","International Trade","HM Revenue and Customs (excl. agencies)","130","120","36440","33370"
"In post","2022","HM Revenue and Customs","Knowledge and Information Management","HM Revenue and Customs (excl. agencies)","40","30","[c]","[c]"
"In post","2022","HM Revenue and Customs","Knowledge and Information Management","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2022","HM Revenue and Customs","Legal","HM Revenue and Customs (excl. agencies)","3830","3660","35770","33370"
"In post","2022","HM Revenue and Customs","Operational Delivery","HM Revenue and Customs (excl. agencies)","28710","25670","27240","25330"
"In post","2022","HM Revenue and Customs","Operational Delivery","Valuation Office Agency","1170","1110","29180","22040"
"In post","2022","HM Revenue and Customs","Operational Research","HM Revenue and Customs (excl. agencies)","140","140","45080","40520"
"In post","2022","HM Revenue and Customs","Operational Research","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2022","HM Revenue and Customs","Other","HM Revenue and Customs (excl. agencies)","470","430","45290","40520"
"In post","2022","HM Revenue and Customs","Policy","HM Revenue and Customs (excl. agencies)","1120","1060","55120","55210"
"In post","2022","HM Revenue and Customs","Policy","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2022","HM Revenue and Customs","Project Delivery","HM Revenue and Customs (excl. agencies)","2720","2620","45970","40520"
"In post","2022","HM Revenue and Customs","Project Delivery","Valuation Office Agency","80","70","41650","40160"
"In post","2022","HM Revenue and Customs","Property","HM Revenue and Customs (excl. agencies)","250","240","41640","40180"
"In post","2022","HM Revenue and Customs","Property","Valuation Office Agency","2300","2140","36370","31900"
"In post","2022","HM Revenue and Customs","Security","HM Revenue and Customs (excl. agencies)","200","190","43600","40520"
"In post","2022","HM Revenue and Customs","Social Research","HM Revenue and Customs (excl. agencies)","110","110","47110","43430"
"In post","2022","HM Revenue and Customs","Social Research","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2022","HM Revenue and Customs","Statistics","HM Revenue and Customs (excl. agencies)","310","300","45870","40520"
"In post","2022","HM Revenue and Customs","Statistics","Valuation Office Agency","50","40","[c]","[c]"
"In post","2022","HM Revenue and Customs","Tax","HM Revenue and Customs (excl. agencies)","19540","18570","35110","33370"
"In post","2022","HM Revenue and Customs","Unknown","HM Revenue and Customs (excl. agencies)","5290","5140","35670","33080"
"In post","2022","HM Treasury","Commercial","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2022","HM Treasury","Commercial","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","HM Treasury","Commercial","UK Debt Management Office","[c]","[c]","[c]","[c]"
"In post","2022","HM Treasury","Communications","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2022","HM Treasury","Communications","HM Treasury (excl. agencies)","40","40","[c]","[c]"
"In post","2022","HM Treasury","Communications","National Infrastructure Commission","[c]","[c]","[c]","[c]"
"In post","2022","HM Treasury","Communications","Office for Budget Responsibility","[c]","[c]","[c]","[c]"
"In post","2022","HM Treasury","Communications","UK Debt Management Office","[c]","[c]","[c]","[c]"
"In post","2022","HM Treasury","Corporate Finance","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","HM Treasury","Counter Fraud","Government Internal Audit Agency","40","30","[c]","[c]"
"In post","2022","HM Treasury","Digital, Data and Technology","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2022","HM Treasury","Digital, Data and Technology","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","HM Treasury","Digital, Data and Technology","UK Debt Management Office","30","30","[c]","[c]"
"In post","2022","HM Treasury","Economics","HM Treasury (excl. agencies)","180","180","44770","34690"
"In post","2022","HM Treasury","Economics","National Infrastructure Commission","[c]","[c]","[c]","[c]"
"In post","2022","HM Treasury","Economics","Office for Budget Responsibility","40","30","[c]","[c]"
"In post","2022","HM Treasury","Finance","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2022","HM Treasury","Finance","HM Treasury (excl. agencies)","90","90","48720","52530"
"In post","2022","HM Treasury","Finance","Office for Budget Responsibility","[c]","[c]","[c]","[c]"
"In post","2022","HM Treasury","Finance","UK Debt Management Office","[c]","[c]","[c]","[c]"
"In post","2022","HM Treasury","Human Resources","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
