"Status","Year","Responsibility_level","Function_of_post","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","SEO/HEO","Commercial","Ministry of Justice","160","150","38440","37340"
"In post","2022","SEO/HEO","Commercial","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Commercial","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Commercial","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Commercial","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Commercial","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Commercial","The National Archives","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Commercial","UK Export Finance","110","110","41500","41000"
"In post","2022","SEO/HEO","Commercial","UK Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Commercial","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Communications","Attorney General's Departments","40","40","[c]","[c]"
"In post","2022","SEO/HEO","Communications","Cabinet Office","170","170","38460","40600"
"In post","2022","SEO/HEO","Communications","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Communications","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Communications","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Communications","Department for Business, Energy and Industrial Strategy","150","140","39190","38620"
"In post","2022","SEO/HEO","Communications","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Communications","Department for Education","110","100","37130","36660"
"In post","2022","SEO/HEO","Communications","Department for Environment, Food and Rural Affairs","190","180","35860","35900"
"In post","2022","SEO/HEO","Communications","Department for International Trade","60","60","36920","38160"
"In post","2022","SEO/HEO","Communications","Department for Levelling Up, Housing and Communities","60","50","36860","34890"
"In post","2022","SEO/HEO","Communications","Department for Transport","120","110","36940","35970"
"In post","2022","SEO/HEO","Communications","Department for Work and Pensions","120","110","40680","40840"
"In post","2022","SEO/HEO","Communications","Department of Health and Social Care","120","120","36340","34990"
"In post","2022","SEO/HEO","Communications","Estyn","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Communications","Food Standards Agency","40","40","[c]","[c]"
"In post","2022","SEO/HEO","Communications","Foreign, Commonwealth and Development Office","50","50","40950","40240"
"In post","2022","SEO/HEO","Communications","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Communications","HM Revenue and Customs","1520","1480","34900","33370"
"In post","2022","SEO/HEO","Communications","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Communications","Ministry of Defence","300","290","37820","36460"
"In post","2022","SEO/HEO","Communications","Ministry of Justice","120","110","39680","41750"
"In post","2022","SEO/HEO","Communications","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Communications","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Communications","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Communications","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Communications","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Communications","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Communications","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Communications","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Communications","The National Archives","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Communications","UK Export Finance","30","30","[c]","[c]"
"In post","2022","SEO/HEO","Communications","UK Statistics Authority","40","40","[c]","[c]"
"In post","2022","SEO/HEO","Communications","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Communications","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Communications","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Counter Fraud","Attorney General's Departments","120","110","38080","40000"
"In post","2022","SEO/HEO","Counter Fraud","Cabinet Office","50","50","35700","35590"
"In post","2022","SEO/HEO","Counter Fraud","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Counter Fraud","Department for Business, Energy and Industrial Strategy","250","240","38220","38510"
"In post","2022","SEO/HEO","Counter Fraud","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Counter Fraud","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Counter Fraud","Department for Work and Pensions","890","840","34250","33180"
"In post","2022","SEO/HEO","Counter Fraud","Food Standards Agency","50","40","[c]","[c]"
"In post","2022","SEO/HEO","Counter Fraud","HM Revenue and Customs","4300","4110","36640","35160"
"In post","2022","SEO/HEO","Counter Fraud","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Counter Fraud","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Debt","Department for Work and Pensions","100","90","32990","31990"
"In post","2022","SEO/HEO","Debt","HM Revenue and Customs","260","240","35870","33370"
"In post","2022","SEO/HEO","Debt","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Debt","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Digital, Data & Technology","Attorney General's Departments","110","110","36780","38180"
"In post","2022","SEO/HEO","Digital, Data & Technology","Cabinet Office","390","390","36960","37300"
"In post","2022","SEO/HEO","Digital, Data & Technology","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Digital, Data & Technology","Charity Commission","40","40","[c]","[c]"
"In post","2022","SEO/HEO","Digital, Data & Technology","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Digital, Data & Technology","Department for Business, Energy and Industrial Strategy","1270","1220","38440","39120"
"In post","2022","SEO/HEO","Digital, Data & Technology","Department for Education","470","460","35440","36500"
"In post","2022","SEO/HEO","Digital, Data & Technology","Department for Environment, Food and Rural Affairs","350","340","35190","35900"
"In post","2022","SEO/HEO","Digital, Data & Technology","Department for International Trade","70","70","38490","38160"
"In post","2022","SEO/HEO","Digital, Data & Technology","Department for Levelling Up, Housing and Communities","80","70","38070","39600"
"In post","2022","SEO/HEO","Digital, Data & Technology","Department for Transport","700","690","39200","39040"
"In post","2022","SEO/HEO","Digital, Data & Technology","Department for Work and Pensions","1820","1760","36570","35310"
"In post","2022","SEO/HEO","Digital, Data & Technology","Department of Health and Social Care","250","250","36070","33950"
"In post","2022","SEO/HEO","Digital, Data & Technology","Food Standards Agency","40","30","[c]","[c]"
"In post","2022","SEO/HEO","Digital, Data & Technology","Foreign, Commonwealth and Development Office","180","180","39580","38500"
"In post","2022","SEO/HEO","Digital, Data & Technology","HM Land Registry","400","390","40500","38550"
"In post","2022","SEO/HEO","Digital, Data & Technology","HM Revenue and Customs","1780","1720","36970","35980"
"In post","2022","SEO/HEO","Digital, Data & Technology","HM Treasury","30","30","[c]","[c]"
"In post","2022","SEO/HEO","Digital, Data & Technology","Ministry of Defence","1580","1540","36740","35480"
"In post","2022","SEO/HEO","Digital, Data & Technology","Ministry of Justice","590","580","37820","36050"
"In post","2022","SEO/HEO","Digital, Data & Technology","National Crime Agency","140","130","43370","43490"
"In post","2022","SEO/HEO","Digital, Data & Technology","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Digital, Data & Technology","Office for Standards in Education, Children's Services and Skills","40","40","[c]","[c]"
"In post","2022","SEO/HEO","Digital, Data & Technology","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Digital, Data & Technology","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Digital, Data & Technology","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Digital, Data & Technology","Scottish Government","110","100","41420","40130"
"In post","2022","SEO/HEO","Digital, Data & Technology","The National Archives","90","80","40680","39390"
"In post","2022","SEO/HEO","Digital, Data & Technology","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Digital, Data & Technology","UK Statistics Authority","300","290","35200","36840"
"In post","2022","SEO/HEO","Digital, Data & Technology","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Digital, Data & Technology","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Finance","Attorney General's Departments","40","40","[c]","[c]"
"In post","2022","SEO/HEO","Finance","Cabinet Office","50","50","[c]","[c]"
"In post","2022","SEO/HEO","Finance","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Finance","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Finance","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Finance","Department for Business, Energy and Industrial Strategy","140","140","38950","39820"
"In post","2022","SEO/HEO","Finance","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Finance","Department for Education","710","690","34970","36500"
"In post","2022","SEO/HEO","Finance","Department for Environment, Food and Rural Affairs","230","220","35550","36520"
"In post","2022","SEO/HEO","Finance","Department for International Trade","40","40","[c]","[c]"
"In post","2022","SEO/HEO","Finance","Department for Levelling Up, Housing and Communities","60","50","38460","39350"
"In post","2022","SEO/HEO","Finance","Department for Transport","200","190","37850","38650"
"In post","2022","SEO/HEO","Finance","Department for Work and Pensions","1070","1000","35450","35310"
"In post","2022","SEO/HEO","Finance","Department of Health and Social Care","300","300","36100","36820"
"In post","2022","SEO/HEO","Finance","Estyn","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Finance","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Finance","Foreign, Commonwealth and Development Office","130","120","38040","38500"
"In post","2022","SEO/HEO","Finance","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Finance","HM Revenue and Customs","900","870","37670","37930"
"In post","2022","SEO/HEO","Finance","HM Treasury","30","30","[c]","[c]"
"In post","2022","SEO/HEO","Finance","Ministry of Defence","900","870","39210","39100"
"In post","2022","SEO/HEO","Finance","Ministry of Justice","350","340","38970","41100"
"In post","2022","SEO/HEO","Finance","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Finance","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Finance","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Finance","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Finance","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Finance","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Finance","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Finance","Scottish Government","60","60","40030","40290"
"In post","2022","SEO/HEO","Finance","The National Archives","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Finance","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Finance","UK Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Finance","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Finance","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Finance","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Grants Management","Department for Environment, Food and Rural Affairs","360","330","32600","31080"
"In post","2022","SEO/HEO","Grants Management","The National Archives","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Human Resources","Attorney General's Departments","90","90","34430","33700"
"In post","2022","SEO/HEO","Human Resources","Cabinet Office","450","430","36030","36320"
"In post","2022","SEO/HEO","Human Resources","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Human Resources","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Human Resources","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Human Resources","Department for Business, Energy and Industrial Strategy","180","170","36520","36740"
"In post","2022","SEO/HEO","Human Resources","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Human Resources","Department for Education","70","70","33760","32940"
"In post","2022","SEO/HEO","Human Resources","Department for Environment, Food and Rural Affairs","150","140","34840","35900"
"In post","2022","SEO/HEO","Human Resources","Department for International Trade","40","40","[c]","[c]"
"In post","2022","SEO/HEO","Human Resources","Department for Levelling Up, Housing and Communities","40","40","[c]","[c]"
"In post","2022","SEO/HEO","Human Resources","Department for Transport","230","220","35450","33860"
