"Status","Year","Profession_of_post","Sex","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2021","Knowledge and Information Management","Male","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Knowledge and Information Management","Male","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Knowledge and Information Management","Male","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Knowledge and Information Management","Male","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Knowledge and Information Management","Male","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Knowledge and Information Management","Male","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Knowledge and Information Management","Male","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Knowledge and Information Management","Male","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Knowledge and Information Management","Male","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Legal","Female","Legal","240","200","52340","52160"
"Leaver CS","2021","Legal","Female","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Legal","Male","Legal","170","150","54030","55000"
"Leaver CS","2021","Legal","Male","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Medicine","Female","No function","40","30","[c]","[c]"
"Leaver CS","2021","Medicine","Female","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Medicine","Female","Unknown","140","120","37900","30620"
"Leaver CS","2021","Medicine","Male","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Medicine","Male","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Medicine","Male","Unknown","50","40","[c]","[c]"
"Leaver CS","2021","Medicine","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Operational Delivery","Female","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Operational Delivery","Female","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Operational Delivery","Female","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Operational Delivery","Female","Debt","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Operational Delivery","Female","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Operational Delivery","Female","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Operational Delivery","Female","Grants Management","50","40","[c]","[c]"
"Leaver CS","2021","Operational Delivery","Female","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Operational Delivery","Female","Legal","140","130","26910","23470"
"Leaver CS","2021","Operational Delivery","Female","No function","3500","3070","25500","21590"
"Leaver CS","2021","Operational Delivery","Female","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Operational Delivery","Female","Property","40","30","[c]","[c]"
"Leaver CS","2021","Operational Delivery","Female","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Operational Delivery","Female","Unknown","380","310","28990","25150"
"Leaver CS","2021","Operational Delivery","Male","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Operational Delivery","Male","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Operational Delivery","Male","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Operational Delivery","Male","Debt","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Operational Delivery","Male","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Operational Delivery","Male","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Operational Delivery","Male","Grants Management","40","40","[c]","[c]"
"Leaver CS","2021","Operational Delivery","Male","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Operational Delivery","Male","Legal","90","80","28770","22820"
"Leaver CS","2021","Operational Delivery","Male","No function","3560","3250","30040","25420"
"Leaver CS","2021","Operational Delivery","Male","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Operational Delivery","Male","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Operational Delivery","Male","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Operational Delivery","Male","Unknown","320","280","28590","26000"
"Leaver CS","2021","Operational Delivery","Unknown","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Operational Delivery","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Operational Research","Female","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Operational Research","Female","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Operational Research","Female","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Operational Research","Female","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Operational Research","Male","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Operational Research","Male","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Operational Research","Male","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Operational Research","Male","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other","Female","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other","Female","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other","Female","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other","Female","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other","Female","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other","Female","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other","Female","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other","Female","No function","60","60","36150","30150"
"Leaver CS","2021","Other","Female","Project Delivery","50","40","[c]","[c]"
"Leaver CS","2021","Other","Female","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other","Female","Unknown","440","400","26220","21580"
"Leaver CS","2021","Other","Male","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other","Male","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other","Male","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other","Male","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other","Male","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other","Male","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other","Male","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other","Male","No function","70","60","44450","34850"
"Leaver CS","2021","Other","Male","Project Delivery","90","80","31610","25340"
"Leaver CS","2021","Other","Male","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other","Male","Unknown","680","660","30240","29930"
"Leaver CS","2021","Other","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Planning","Female","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Planning","Female","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Planning","Male","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Planning","Male","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Planning Inspectors","Female","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Planning Inspectors","Male","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Policy","Female","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Policy","Female","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Policy","Female","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Policy","Female","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Policy","Female","Grants Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Policy","Female","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Policy","Female","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Policy","Female","No function","240","230","41320","35420"
"Leaver CS","2021","Policy","Female","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Policy","Female","Unknown","150","140","45430","40580"
"Leaver CS","2021","Policy","Male","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Policy","Male","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Policy","Male","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Policy","Male","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Policy","Male","Grants Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Policy","Male","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Policy","Male","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Policy","Male","No function","270","260","47470","40050"
"Leaver CS","2021","Policy","Male","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Policy","Male","Unknown","120","110","47800","41010"
"Leaver CS","2021","Policy","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Project Delivery","Female","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Project Delivery","Female","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Project Delivery","Female","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Project Delivery","Female","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Project Delivery","Female","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Project Delivery","Female","Project Delivery","170","150","36130","32430"
"Leaver CS","2021","Project Delivery","Female","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Project Delivery","Female","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Project Delivery","Male","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Project Delivery","Male","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Project Delivery","Male","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Project Delivery","Male","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Project Delivery","Male","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Project Delivery","Male","Project Delivery","210","200","43320","39960"
"Leaver CS","2021","Project Delivery","Male","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Project Delivery","Male","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Project Delivery","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Property","Female","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Property","Female","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Property","Female","Property","140","120","29750","26000"
"Leaver CS","2021","Property","Female","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Property","Male","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Property","Male","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Property","Male","Property","270","240","32870","29690"
"Leaver CS","2021","Property","Male","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Property","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Psychology","Female","No function","90","80","[c]","[c]"
"Leaver CS","2021","Psychology","Male","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Science and Engineering","Female","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Science and Engineering","Female","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Science and Engineering","Female","No function","270","250","31180","27900"
"Leaver CS","2021","Science and Engineering","Female","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Science and Engineering","Female","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Science and Engineering","Female","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Science and Engineering","Male","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Science and Engineering","Male","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Science and Engineering","Male","No function","220","210","32490","28650"
"Leaver CS","2021","Science and Engineering","Male","Project Delivery","140","130","35710","33990"
"Leaver CS","2021","Science and Engineering","Male","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Science and Engineering","Male","Unknown","100","90","30970","26020"
"Leaver CS","2021","Science and Engineering","Unknown","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Science and Engineering","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Security","Female","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Security","Female","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Security","Female","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Security","Female","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Security","Female","Security","50","50","30590","27090"
"Leaver CS","2021","Security","Female","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Security","Male","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Security","Male","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Security","Male","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Security","Male","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Security","Male","Security","330","320","30120","26610"
"Leaver CS","2021","Security","Male","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Social Research","Female","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Social Research","Female","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Social Research","Male","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Social Research","Male","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Statistics","Female","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Statistics","Female","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Statistics","Female","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Statistics","Male","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Statistics","Male","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Statistics","Male","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Female","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Female","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Female","Communications","[c]","[c]","[c]","[c]"
