"Status","Year","Function_of_post","Profession_of_post","Responsibility_level","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Legal","Tax","EO","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Tax","G6/G7","100","90","57340","55210"
"In post","2022","Legal","Tax","SEO/HEO","230","220","36110","33370"
"In post","2022","Legal","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Unknown","G6/G7","80","70","65260","62120"
"In post","2022","Legal","Unknown","SCS","60","60","86720","79760"
"In post","2022","Legal","Unknown","SEO/HEO","60","60","36000","33370"
"In post","2022","No function","Commercial","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","No function","Commercial","EO","60","60","28480","28640"
"In post","2022","No function","Commercial","G6/G7","130","120","69770","68720"
"In post","2022","No function","Commercial","SCS","[c]","[c]","[c]","[c]"
"In post","2022","No function","Commercial","SEO/HEO","260","250","43480","44630"
"In post","2022","No function","Commercial","Unknown","30","30","[c]","[c]"
"In post","2022","No function","Communications","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","No function","Communications","EO","40","40","[c]","[c]"
"In post","2022","No function","Communications","G6/G7","80","80","56030","54400"
"In post","2022","No function","Communications","SCS","[c]","[c]","[c]","[c]"
"In post","2022","No function","Communications","SEO/HEO","130","120","35920","36500"
"In post","2022","No function","Corporate Finance","EO","[c]","[c]","[c]","[c]"
"In post","2022","No function","Corporate Finance","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","No function","Corporate Finance","SCS","[c]","[c]","[c]","[c]"
"In post","2022","No function","Corporate Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","No function","Counter Fraud","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","No function","Counter Fraud","EO","[c]","[c]","[c]","[c]"
"In post","2022","No function","Counter Fraud","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","No function","Counter Fraud","SCS","[c]","[c]","[c]","[c]"
"In post","2022","No function","Counter Fraud","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","No function","Digital, Data and Technology","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","No function","Digital, Data and Technology","EO","[c]","[c]","[c]","[c]"
"In post","2022","No function","Digital, Data and Technology","G6/G7","40","40","[c]","[c]"
"In post","2022","No function","Digital, Data and Technology","SCS","[c]","[c]","[c]","[c]"
"In post","2022","No function","Digital, Data and Technology","SEO/HEO","80","80","38430","38030"
"In post","2022","No function","Economics","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","No function","Economics","EO","[c]","[c]","[c]","[c]"
"In post","2022","No function","Economics","G6/G7","180","170","59550","57840"
"In post","2022","No function","Economics","SCS","[c]","[c]","[c]","[c]"
"In post","2022","No function","Economics","SEO/HEO","160","160","36060","34320"
"In post","2022","No function","Finance","EO","[c]","[c]","[c]","[c]"
"In post","2022","No function","Finance","G6/G7","60","60","56000","53680"
"In post","2022","No function","Finance","SCS","[c]","[c]","[c]","[c]"
"In post","2022","No function","Finance","SEO/HEO","60","60","36010","36500"
"In post","2022","No function","Geography","AA/AO","60","60","20500","20420"
"In post","2022","No function","Geography","EO","140","130","27530","26740"
"In post","2022","No function","Geography","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","No function","Geography","SCS","[c]","[c]","[c]","[c]"
"In post","2022","No function","Geography","SEO/HEO","210","200","35740","33290"
"In post","2022","No function","Human Resources","EO","[c]","[c]","[c]","[c]"
"In post","2022","No function","Human Resources","G6/G7","30","30","[c]","[c]"
"In post","2022","No function","Human Resources","SCS","[c]","[c]","[c]","[c]"
"In post","2022","No function","Human Resources","SEO/HEO","30","30","[c]","[c]"
"In post","2022","No function","Inspector of Education and Training","G6/G7","480","470","75430","75500"
"In post","2022","No function","Inspector of Education and Training","SCS","[c]","[c]","[c]","[c]"
"In post","2022","No function","Inspector of Education and Training","SEO/HEO","390","370","50370","51360"
"In post","2022","No function","Intelligence Analysis","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","No function","Intelligence Analysis","EO","340","320","28600","27380"
"In post","2022","No function","Intelligence Analysis","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","No function","Intelligence Analysis","SEO/HEO","70","70","37270","38160"
"In post","2022","No function","Internal Audit","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","No function","Internal Audit","EO","[c]","[c]","[c]","[c]"
"In post","2022","No function","Internal Audit","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","No function","International Trade","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","No function","International Trade","EO","110","100","27400","26510"
"In post","2022","No function","International Trade","G6/G7","670","670","56200","53600"
"In post","2022","No function","International Trade","SCS","120","110","82590","75040"
"In post","2022","No function","International Trade","SEO/HEO","730","730","36330","37930"
"In post","2022","No function","Knowledge and Information Management","AA/AO","100","100","21710","20970"
"In post","2022","No function","Knowledge and Information Management","EO","220","210","27740","27570"
"In post","2022","No function","Knowledge and Information Management","G6/G7","120","120","57950","54500"
"In post","2022","No function","Knowledge and Information Management","SCS","[c]","[c]","[c]","[c]"
"In post","2022","No function","Knowledge and Information Management","SEO/HEO","360","340","36120","34990"
"In post","2022","No function","Knowledge and Information Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","No function","Legal","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","No function","Legal","EO","[c]","[c]","[c]","[c]"
"In post","2022","No function","Legal","G6/G7","290","280","60080","59200"
"In post","2022","No function","Legal","SCS","[c]","[c]","[c]","[c]"
"In post","2022","No function","Legal","SEO/HEO","1010","910","39880","41100"
"In post","2022","No function","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","No function","Medicine","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","No function","Medicine","EO","[c]","[c]","[c]","[c]"
"In post","2022","No function","Medicine","G6/G7","200","170","71900","67750"
"In post","2022","No function","Medicine","SCS","290","260","108250","104180"
"In post","2022","No function","Medicine","SEO/HEO","90","80","39000","40060"
"In post","2022","No function","Operational Delivery","AA/AO","87450","78010","23130","21260"
"In post","2022","No function","Operational Delivery","EO","65340","59870","28490","27570"
"In post","2022","No function","Operational Delivery","G6/G7","5720","5570","58950","55210"
"In post","2022","No function","Operational Delivery","SCS","670","650","91690","84860"
"In post","2022","No function","Operational Delivery","SEO/HEO","26780","25470","37560","36130"
"In post","2022","No function","Operational Delivery","Unknown","19120","17700","30050","28200"
"In post","2022","No function","Operational Research","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","No function","Operational Research","EO","[c]","[c]","[c]","[c]"
"In post","2022","No function","Operational Research","G6/G7","160","150","53410","49030"
"In post","2022","No function","Operational Research","SCS","[c]","[c]","[c]","[c]"
"In post","2022","No function","Operational Research","SEO/HEO","120","120","35610","38070"
"In post","2022","No function","Other","AA/AO","1500","1380","21790","21260"
"In post","2022","No function","Other","EO","3900","3650","28150","27570"
"In post","2022","No function","Other","G6/G7","610","600","58050","54940"
"In post","2022","No function","Other","SCS","170","170","97480","90750"
"In post","2022","No function","Other","SEO/HEO","1320","1250","35680","34290"
"In post","2022","No function","Other","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","No function","Planning","EO","[c]","[c]","[c]","[c]"
"In post","2022","No function","Planning","G6/G7","50","50","[c]","[c]"
"In post","2022","No function","Planning","SCS","[c]","[c]","[c]","[c]"
"In post","2022","No function","Planning","SEO/HEO","90","80","38210","39100"
"In post","2022","No function","Planning Inspectors","G6/G7","360","320","56940","58810"
"In post","2022","No function","Planning Inspectors","SCS","[c]","[c]","[c]","[c]"
"In post","2022","No function","Planning Inspectors","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","No function","Planning Inspectors","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","No function","Policy","AA/AO","400","380","23940","24250"
"In post","2022","No function","Policy","EO","1830","1790","27790","27680"
"In post","2022","No function","Policy","G6/G7","9240","8980","57330","54700"
"In post","2022","No function","Policy","SCS","1500","1450","85240","77060"
"In post","2022","No function","Policy","SEO/HEO","10540","10320","36390","35900"
"In post","2022","No function","Policy","Unknown","40","30","[c]","[c]"
"In post","2022","No function","Project Delivery","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","No function","Project Delivery","EO","40","40","[c]","[c]"
"In post","2022","No function","Project Delivery","G6/G7","210","210","55920","53360"
"In post","2022","No function","Project Delivery","SCS","[c]","[c]","[c]","[c]"
"In post","2022","No function","Project Delivery","SEO/HEO","220","210","35760","34110"
"In post","2022","No function","Property","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","No function","Property","EO","[c]","[c]","[c]","[c]"
"In post","2022","No function","Property","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","No function","Property","SCS","[c]","[c]","[c]","[c]"
"In post","2022","No function","Property","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","No function","Psychology","AA/AO","90","80","21680","21590"
"In post","2022","No function","Psychology","EO","420","400","27100","26850"
"In post","2022","No function","Psychology","G6/G7","120","110","64700","65000"
"In post","2022","No function","Psychology","SCS","[c]","[c]","[c]","[c]"
"In post","2022","No function","Psychology","SEO/HEO","900","860","37070","33120"
"In post","2022","No function","Psychology","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","No function","Science and Engineering","AA/AO","490","480","21770","22230"
"In post","2022","No function","Science and Engineering","EO","860","830","27350","27510"
"In post","2022","No function","Science and Engineering","G6/G7","2070","1970","55680","53860"
"In post","2022","No function","Science and Engineering","SCS","50","50","94370","93050"
"In post","2022","No function","Science and Engineering","SEO/HEO","3200","3050","36270","38070"
"In post","2022","No function","Security","EO","[c]","[c]","[c]","[c]"
"In post","2022","No function","Security","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","No function","Security","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","No function","Social Research","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","No function","Social Research","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","No function","Statistics","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","No function","Statistics","EO","[c]","[c]","[c]","[c]"
"In post","2022","No function","Statistics","G6/G7","30","30","[c]","[c]"
"In post","2022","No function","Statistics","SCS","[c]","[c]","[c]","[c]"
"In post","2022","No function","Statistics","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","No function","Tax","AA/AO","2540","2360","21330","21250"
"In post","2022","No function","Tax","EO","2250","2120","27610","26820"
"In post","2022","No function","Tax","G6/G7","2210","2120","59530","55210"
"In post","2022","No function","Tax","SCS","70","70","82030","78860"
"In post","2022","No function","Tax","SEO/HEO","5870","5620","36190","33370"
"In post","2022","No function","Unknown","AA/AO","1070","990","21820","21250"
"In post","2022","No function","Unknown","EO","1100","1080","27390","26820"
"In post","2022","No function","Unknown","G6/G7","1440","1420","60270","56600"
"In post","2022","No function","Unknown","SCS","350","340","89540","80000"
"In post","2022","No function","Unknown","SEO/HEO","3820","3790","33380","33080"
"In post","2022","No function","Veterinarian","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","No function","Veterinarian","EO","[c]","[c]","[c]","[c]"
"In post","2022","No function","Veterinarian","G6/G7","110","110","54630","54310"
"In post","2022","No function","Veterinarian","SCS","[c]","[c]","[c]","[c]"
"In post","2022","No function","Veterinarian","SEO/HEO","260","250","39810","37530"
"In post","2022","Project Delivery","Commercial","EO","100","90","23050","23000"
"In post","2022","Project Delivery","Commercial","G6/G7","150","150","57500","54740"
"In post","2022","Project Delivery","Commercial","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Commercial","SEO/HEO","490","470","35210","35000"
"In post","2022","Project Delivery","Communications","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Communications","EO","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Communications","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Communications","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Communications","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Corporate Finance","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Corporate Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Digital, Data and Technology","EO","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Digital, Data and Technology","G6/G7","80","80","55090","52770"
"In post","2022","Project Delivery","Digital, Data and Technology","SEO/HEO","70","70","37260","38070"
"In post","2022","Project Delivery","Economics","G6/G7","80","80","59110","57970"
"In post","2022","Project Delivery","Economics","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Economics","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Finance","EO","30","30","[c]","[c]"
"In post","2022","Project Delivery","Finance","G6/G7","90","80","60380","58640"
"In post","2022","Project Delivery","Finance","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Finance","SEO/HEO","100","100","36950","34770"
"In post","2022","Project Delivery","Human Resources","EO","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Human Resources","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Human Resources","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Human Resources","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Inspector of Education and Training","G6/G7","70","60","75110","75480"
"In post","2022","Project Delivery","Intelligence Analysis","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Intelligence Analysis","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Internal Audit","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","International Trade","EO","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","International Trade","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Knowledge and Information Management","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Knowledge and Information Management","EO","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Knowledge and Information Management","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Knowledge and Information Management","SEO/HEO","50","50","35900","38000"
"In post","2022","Project Delivery","Legal","EO","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Legal","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Legal","SCS","[c]","[c]","[c]","[c]"
