"Status","Year","Sexual_orientation","Responsibility_level","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","LGBO","G6/G7","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","SCS","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","SCS","Communications","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","SCS","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","SCS","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","SCS","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","SCS","Economics","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","SCS","Finance","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","SCS","Geography","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","SCS","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","SCS","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","SCS","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","SCS","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","SCS","International Trade","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","SCS","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","SCS","Legal","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","SCS","Medicine","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","SCS","Operational Delivery","40","40","[c]","[c]"
"In post","2022","LGBO","SCS","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","SCS","Other","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","SCS","Planning","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","SCS","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","SCS","Policy","130","120","84940","77450"
"In post","2022","LGBO","SCS","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","SCS","Property","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","SCS","Psychology","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","SCS","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","SCS","Security","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","SCS","Social Research","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","SCS","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","SCS","Tax","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","SCS","Unknown","40","40","[c]","[c]"
"In post","2022","LGBO","SCS","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","SEO/HEO","Commercial","140","140","36520","35900"
"In post","2022","LGBO","SEO/HEO","Communications","140","130","38000","37350"
"In post","2022","LGBO","SEO/HEO","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","SEO/HEO","Counter Fraud","50","40","[c]","[c]"
"In post","2022","LGBO","SEO/HEO","Digital, Data and Technology","420","410","36640","36160"
"In post","2022","LGBO","SEO/HEO","Economics","70","70","35910","34710"
"In post","2022","LGBO","SEO/HEO","Finance","180","180","36710","36460"
"In post","2022","LGBO","SEO/HEO","Geography","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","SEO/HEO","Human Resources","220","220","36020","35310"
"In post","2022","LGBO","SEO/HEO","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","SEO/HEO","Intelligence Analysis","50","40","[c]","[c]"
"In post","2022","LGBO","SEO/HEO","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","SEO/HEO","International Trade","50","50","37790","38160"
"In post","2022","LGBO","SEO/HEO","Knowledge and Information Management","50","50","36090","35850"
"In post","2022","LGBO","SEO/HEO","Legal","130","130","39360","37930"
"In post","2022","LGBO","SEO/HEO","Medicine","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","SEO/HEO","Operational Delivery","1550","1520","36610","35070"
"In post","2022","LGBO","SEO/HEO","Operational Research","40","40","[c]","[c]"
"In post","2022","LGBO","SEO/HEO","Other","220","220","34920","34290"
"In post","2022","LGBO","SEO/HEO","Planning","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","SEO/HEO","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","SEO/HEO","Policy","1090","1070","36670","36070"
"In post","2022","LGBO","SEO/HEO","Project Delivery","320","310","36670","36050"
"In post","2022","LGBO","SEO/HEO","Property","100","90","36470","35800"
"In post","2022","LGBO","SEO/HEO","Psychology","40","40","[c]","[c]"
"In post","2022","LGBO","SEO/HEO","Science and Engineering","240","230","35800","36330"
"In post","2022","LGBO","SEO/HEO","Security","70","70","37770","36190"
"In post","2022","LGBO","SEO/HEO","Social Research","90","80","35080","33710"
"In post","2022","LGBO","SEO/HEO","Statistics","110","100","36090","36320"
"In post","2022","LGBO","SEO/HEO","Tax","320","310","35210","33370"
"In post","2022","LGBO","SEO/HEO","Unknown","650","640","36960","36130"
"In post","2022","LGBO","SEO/HEO","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Unknown","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Unknown","Communications","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Unknown","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Unknown","Economics","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Unknown","Finance","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Unknown","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Unknown","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Unknown","Legal","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Unknown","Operational Delivery","960","930","29700","26810"
"In post","2022","LGBO","Unknown","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Unknown","Other","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Unknown","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Unknown","Policy","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Unknown","Property","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Unknown","Psychology","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Unknown","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Unknown","Security","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","AA/AO","Commercial","30","30","[c]","[c]"
"In post","2022","Undeclared","AA/AO","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","AA/AO","Counter Fraud","170","140","22290","21260"
"In post","2022","Undeclared","AA/AO","Digital, Data and Technology","60","60","21850","21600"
"In post","2022","Undeclared","AA/AO","Economics","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","AA/AO","Finance","90","90","21850","21680"
"In post","2022","Undeclared","AA/AO","Geography","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","AA/AO","Human Resources","130","110","21820","21380"
"In post","2022","Undeclared","AA/AO","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","AA/AO","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","AA/AO","Knowledge and Information Management","50","40","[c]","[c]"
"In post","2022","Undeclared","AA/AO","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","AA/AO","Medicine","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","AA/AO","Operational Delivery","8400","7270","22760","21490"
"In post","2022","Undeclared","AA/AO","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","AA/AO","Other","1000","930","21340","21260"
"In post","2022","Undeclared","AA/AO","Planning","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","AA/AO","Policy","60","50","24090","24370"
"In post","2022","Undeclared","AA/AO","Project Delivery","50","40","[c]","[c]"
"In post","2022","Undeclared","AA/AO","Property","100","90","20670","21170"
"In post","2022","Undeclared","AA/AO","Psychology","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","AA/AO","Science and Engineering","110","110","22280","22300"
"In post","2022","Undeclared","AA/AO","Security","540","520","29490","25630"
"In post","2022","Undeclared","AA/AO","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","AA/AO","Tax","100","100","21660","21250"
"In post","2022","Undeclared","AA/AO","Unknown","160","150","22790","22110"
"In post","2022","Undeclared","EO","Commercial","80","70","27050","26780"
"In post","2022","Undeclared","EO","Communications","90","90","27610","27270"
"In post","2022","Undeclared","EO","Counter Fraud","310","270","28080","27570"
"In post","2022","Undeclared","EO","Digital, Data and Technology","340","320","27930","27570"
"In post","2022","Undeclared","EO","Economics","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","EO","Finance","270","250","27170","26820"
"In post","2022","Undeclared","EO","Geography","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","EO","Human Resources","170","170","27750","27270"
"In post","2022","Undeclared","EO","Intelligence Analysis","190","180","28020","27370"
"In post","2022","Undeclared","EO","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","EO","International Trade","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","EO","Knowledge and Information Management","80","70","28140","27570"
"In post","2022","Undeclared","EO","Legal","130","120","28740","28370"
"In post","2022","Undeclared","EO","Medicine","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","EO","Operational Delivery","7360","6650","28160","27570"
"In post","2022","Undeclared","EO","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","EO","Other","770","730","27310","27570"
"In post","2022","Undeclared","EO","Planning","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","EO","Policy","250","240","28220","27750"
"In post","2022","Undeclared","EO","Project Delivery","110","100","27320","27530"
"In post","2022","Undeclared","EO","Property","130","120","27940","27000"
"In post","2022","Undeclared","EO","Psychology","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","EO","Science and Engineering","250","240","28050","28150"
"In post","2022","Undeclared","EO","Security","120","120","36710","39190"
"In post","2022","Undeclared","EO","Social Research","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","EO","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","EO","Tax","280","250","28000","26820"
"In post","2022","Undeclared","EO","Unknown","230","230","27910","27500"
"In post","2022","Undeclared","EO","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","G6/G7","Commercial","150","140","57870","54630"
"In post","2022","Undeclared","G6/G7","Communications","130","130","58650","57460"
"In post","2022","Undeclared","G6/G7","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","G6/G7","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","G6/G7","Digital, Data and Technology","540","530","59130","57430"
"In post","2022","Undeclared","G6/G7","Economics","80","80","60780","59540"
"In post","2022","Undeclared","G6/G7","Finance","300","300","58640","56840"
"In post","2022","Undeclared","G6/G7","Geography","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","G6/G7","Human Resources","110","110","58760","57440"
"In post","2022","Undeclared","G6/G7","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","G6/G7","Intelligence Analysis","40","40","[c]","[c]"
"In post","2022","Undeclared","G6/G7","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","G6/G7","International Trade","40","40","[c]","[c]"
"In post","2022","Undeclared","G6/G7","Knowledge and Information Management","30","30","[c]","[c]"
"In post","2022","Undeclared","G6/G7","Legal","390","370","61690","61440"
"In post","2022","Undeclared","G6/G7","Medicine","80","70","76240","78190"
"In post","2022","Undeclared","G6/G7","Operational Delivery","800","770","59300","56390"
"In post","2022","Undeclared","G6/G7","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","G6/G7","Other","210","200","61070","57430"
"In post","2022","Undeclared","G6/G7","Planning","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","G6/G7","Planning Inspectors","30","30","[c]","[c]"
"In post","2022","Undeclared","G6/G7","Policy","1260","1230","58710","57400"
"In post","2022","Undeclared","G6/G7","Project Delivery","410","400","58040","56130"
"In post","2022","Undeclared","G6/G7","Property","130","130","59590","58250"
"In post","2022","Undeclared","G6/G7","Psychology","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","G6/G7","Science and Engineering","300","280","57660","56480"
"In post","2022","Undeclared","G6/G7","Security","50","50","59600","58060"
"In post","2022","Undeclared","G6/G7","Social Research","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","G6/G7","Statistics","50","50","[c]","[c]"
"In post","2022","Undeclared","G6/G7","Tax","320","300","59940","55410"
"In post","2022","Undeclared","G6/G7","Unknown","480","470","60760","58600"
"In post","2022","Undeclared","G6/G7","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","SCS","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","SCS","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","SCS","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","SCS","Economics","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","SCS","Finance","30","30","[c]","[c]"
"In post","2022","Undeclared","SCS","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","SCS","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","SCS","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","SCS","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","SCS","International Trade","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","SCS","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","SCS","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","SCS","Medicine","60","60","103240","101390"
"In post","2022","Undeclared","SCS","Operational Delivery","70","60","90690","83000"
"In post","2022","Undeclared","SCS","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","SCS","Other","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","SCS","Policy","150","150","82160","77060"
"In post","2022","Undeclared","SCS","Project Delivery","30","30","[c]","[c]"
"In post","2022","Undeclared","SCS","Property","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","SCS","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","SCS","Security","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","SCS","Social Research","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","SCS","Statistics","[c]","[c]","[c]","[c]"
