"Status","Year","Sex","Function_of_post","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Male","Legal","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2022","Male","Legal","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Male","Legal","Foreign, Commonwealth and Development Office","80","60","57320","57540"
"In post","2022","Male","Legal","HM Land Registry","90","90","52050","57000"
"In post","2022","Male","Legal","HM Revenue and Customs","620","610","43450","37930"
"In post","2022","Male","Legal","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2022","Male","Legal","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2022","Male","Legal","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2022","Male","Legal","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2022","Male","Legal","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2022","Male","Legal","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2022","Male","Legal","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2022","Male","Legal","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2022","Male","Legal","Scottish Government","240","240","53880","53490"
"In post","2022","Male","Legal","The National Archives","[c]","[c]","[c]","[c]"
"In post","2022","Male","Legal","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2022","Male","Legal","UK Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2022","Male","Legal","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2022","Male","Legal","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2022","Male","Legal","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2022","Male","No function","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2022","Male","No function","Cabinet Office","1860","1850","42860","34550"
"In post","2022","Male","No function","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2022","Male","No function","Charity Commission","110","110","31590","29160"
"In post","2022","Male","No function","Department for Business, Energy and Industrial Strategy","4120","4040","44310","40220"
"In post","2022","Male","No function","Department for Digital, Culture, Media and Sport","690","690","46810","51730"
"In post","2022","Male","No function","Department for Education","1680","1660","45470","40780"
"In post","2022","Male","No function","Department for Environment, Food and Rural Affairs","2940","2870","38590","35890"
"In post","2022","Male","No function","Department for International Trade","1070","1070","48160","44030"
"In post","2022","Male","No function","Department for Levelling Up, Housing and Communities","1550","1510","45840","42880"
"In post","2022","Male","No function","Department for Transport","6530","6270","32870","27620"
"In post","2022","Male","No function","Department for Work and Pensions","24320","23390","27560","27570"
"In post","2022","Male","No function","Department of Health and Social Care","2850","2750","48680","41130"
"In post","2022","Male","No function","Food Standards Agency","640","620","34630","29720"
"In post","2022","Male","No function","Foreign, Commonwealth and Development Office","1850","1840","50340","45660"
"In post","2022","Male","No function","HM Land Registry","1910","1790","29320","27130"
"In post","2022","Male","No function","HM Revenue and Customs","15530","14900","31790","26820"
"In post","2022","Male","No function","HM Treasury","960","950","49250","52500"
"In post","2022","Male","No function","Ministry of Defence","2700","2630","39020","38070"
"In post","2022","Male","No function","Ministry of Justice","34500","33000","30490","28550"
"In post","2022","Male","No function","National Crime Agency","2720","2700","42480","40170"
"In post","2022","Male","No function","Northern Ireland Office","60","60","47490","42350"
"In post","2022","Male","No function","Office for Standards in Education, Children's Services and Skills","410","400","56070","59810"
"In post","2022","Male","No function","Office of Gas and Electricity Markets","480","480","41430","34000"
"In post","2022","Male","No function","Office of Qualifications and Examinations Regulation","70","70","49470","46660"
"In post","2022","Male","No function","Office of Rail and Road","140","140","58910","57540"
"In post","2022","Male","No function","Office of the Secretary of State for Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Male","No function","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"In post","2022","Male","No function","Scottish Government","3920","3680","32080","34600"
"In post","2022","Male","No function","The National Archives","150","140","33660","28460"
"In post","2022","Male","No function","UK Statistics Authority","990","810","27440","20350"
"In post","2022","Male","No function","Water Services Regulation Authority","50","50","[c]","[c]"
"In post","2022","Male","No function","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2022","Male","Project Delivery","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2022","Male","Project Delivery","Cabinet Office","110","110","70600","60570"
"In post","2022","Male","Project Delivery","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2022","Male","Project Delivery","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2022","Male","Project Delivery","Competition and Markets Authority","170","170","65170","60230"
"In post","2022","Male","Project Delivery","Department for Business, Energy and Industrial Strategy","460","450","44980","42430"
"In post","2022","Male","Project Delivery","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2022","Male","Project Delivery","Department for Education","40","40","[c]","[c]"
"In post","2022","Male","Project Delivery","Department for Environment, Food and Rural Affairs","130","120","34130","32310"
"In post","2022","Male","Project Delivery","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2022","Male","Project Delivery","Department for Levelling Up, Housing and Communities","80","80","43610","41410"
"In post","2022","Male","Project Delivery","Department for Transport","310","310","49360","48770"
"In post","2022","Male","Project Delivery","Department for Work and Pensions","540","510","36880","33170"
"In post","2022","Male","Project Delivery","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2022","Male","Project Delivery","Estyn","40","40","[c]","[c]"
"In post","2022","Male","Project Delivery","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Male","Project Delivery","Foreign, Commonwealth and Development Office","760","750","54190","55060"
"In post","2022","Male","Project Delivery","HM Land Registry","70","70","40230","38550"
"In post","2022","Male","Project Delivery","HM Revenue and Customs","2430","2350","47020","40520"
"In post","2022","Male","Project Delivery","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2022","Male","Project Delivery","Ministry of Defence","9140","8980","40300","39460"
"In post","2022","Male","Project Delivery","Ministry of Justice","120","120","42850","41420"
"In post","2022","Male","Project Delivery","National Crime Agency","40","40","[c]","[c]"
"In post","2022","Male","Project Delivery","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2022","Male","Project Delivery","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2022","Male","Project Delivery","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2022","Male","Project Delivery","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2022","Male","Project Delivery","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2022","Male","Project Delivery","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2022","Male","Project Delivery","UK Statistics Authority","90","90","44150","38160"
"In post","2022","Male","Project Delivery","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2022","Male","Project Delivery","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2022","Male","Property","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2022","Male","Property","Cabinet Office","220","220","53800","54700"
"In post","2022","Male","Property","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2022","Male","Property","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2022","Male","Property","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2022","Male","Property","Department for Business, Energy and Industrial Strategy","40","40","[c]","[c]"
"In post","2022","Male","Property","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2022","Male","Property","Department for Education","330","330","53120","54160"
"In post","2022","Male","Property","Department for Environment, Food and Rural Affairs","180","180","42560","38750"
"In post","2022","Male","Property","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2022","Male","Property","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"In post","2022","Male","Property","Department for Transport","70","70","35400","30890"
"In post","2022","Male","Property","Department for Work and Pensions","110","110","44580","38500"
"In post","2022","Male","Property","Department of Health and Social Care","40","40","[c]","[c]"
"In post","2022","Male","Property","Estyn","[c]","[c]","[c]","[c]"
"In post","2022","Male","Property","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Male","Property","Foreign, Commonwealth and Development Office","350","350","42750","41090"
"In post","2022","Male","Property","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2022","Male","Property","HM Revenue and Customs","1860","1790","36510","32890"
"In post","2022","Male","Property","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2022","Male","Property","Ministry of Defence","1550","1520","31730","33000"
"In post","2022","Male","Property","Ministry of Justice","310","300","47100","46360"
"In post","2022","Male","Property","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2022","Male","Property","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2022","Male","Property","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2022","Male","Property","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2022","Male","Property","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2022","Male","Property","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2022","Male","Property","Scottish Government","240","230","33090","31050"
"In post","2022","Male","Property","The National Archives","[c]","[c]","[c]","[c]"
"In post","2022","Male","Property","UK Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2022","Male","Property","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2022","Male","Property","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2022","Male","Security","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2022","Male","Security","Cabinet Office","480","470","34860","33300"
"In post","2022","Male","Security","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2022","Male","Security","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2022","Male","Security","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2022","Male","Security","Department for Business, Energy and Industrial Strategy","30","30","[c]","[c]"
