"Status","Year","Sex","Disability","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"New entrant CS","2021","Unknown","Declared disabled","Operational Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Declared disabled","Social Research","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Declared non-disabled","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Declared non-disabled","Operational Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Declared non-disabled","Operational Research","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Declared non-disabled","Policy","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Declared non-disabled","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Declared non-disabled","Social Research","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Declared non-disabled","Statistics","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Declared non-disabled","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Unknown","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Unknown","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Unknown","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Unknown","Economics","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Unknown","Operational Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Unknown","Operational Research","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Unknown","Policy","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Unknown","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Unknown","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Unknown","Social Research","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Unknown","Statistics","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Unknown","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Female","Declared disabled","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Female","Declared disabled","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Female","Declared disabled","Corporate Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Female","Declared disabled","Counter Fraud","50","50","26910","27570"
"New entrant CS","2022","Female","Declared disabled","Digital, Data and Technology","70","70","36170","33520"
"New entrant CS","2022","Female","Declared disabled","Economics","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Female","Declared disabled","Finance","30","30","[c]","[c]"
"New entrant CS","2022","Female","Declared disabled","Geography","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Female","Declared disabled","Human Resources","60","60","32210","29600"
"New entrant CS","2022","Female","Declared disabled","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Female","Declared disabled","Intelligence Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Female","Declared disabled","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Female","Declared disabled","International Trade","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Female","Declared disabled","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Female","Declared disabled","Legal","50","50","42720","41750"
"New entrant CS","2022","Female","Declared disabled","Medicine","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Female","Declared disabled","Operational Delivery","1980","1870","26980","24920"
"New entrant CS","2022","Female","Declared disabled","Operational Research","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Female","Declared disabled","Other","120","110","25580","21260"
"New entrant CS","2022","Female","Declared disabled","Planning","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Female","Declared disabled","Planning Inspectors","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Female","Declared disabled","Policy","210","200","35580","32790"
"New entrant CS","2022","Female","Declared disabled","Project Delivery","50","50","[c]","[c]"
"New entrant CS","2022","Female","Declared disabled","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Female","Declared disabled","Psychology","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Female","Declared disabled","Science and Engineering","70","60","30170","28590"
"New entrant CS","2022","Female","Declared disabled","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Female","Declared disabled","Social Research","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Female","Declared disabled","Statistics","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Female","Declared disabled","Tax","70","60","28260","26590"
"New entrant CS","2022","Female","Declared disabled","Unknown","280","270","29680","27500"
"New entrant CS","2022","Female","Declared disabled","Veterinarian","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Female","Declared non-disabled","Commercial","210","210","30870","29180"
"New entrant CS","2022","Female","Declared non-disabled","Communications","170","160","37300","33150"
"New entrant CS","2022","Female","Declared non-disabled","Corporate Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Female","Declared non-disabled","Counter Fraud","310","290","25840","27570"
"New entrant CS","2022","Female","Declared non-disabled","Digital, Data and Technology","500","490","36080","33370"
"New entrant CS","2022","Female","Declared non-disabled","Economics","90","90","32720","30990"
"New entrant CS","2022","Female","Declared non-disabled","Finance","310","300","34470","31080"
"New entrant CS","2022","Female","Declared non-disabled","Geography","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Female","Declared non-disabled","Human Resources","460","440","32990","29480"
"New entrant CS","2022","Female","Declared non-disabled","Inspector of Education and Training","120","120","56290","46360"
"New entrant CS","2022","Female","Declared non-disabled","Intelligence Analysis","40","40","[c]","[c]"
"New entrant CS","2022","Female","Declared non-disabled","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Female","Declared non-disabled","International Trade","50","50","[c]","[c]"
"New entrant CS","2022","Female","Declared non-disabled","Knowledge and Information Management","100","90","30850","28590"
"New entrant CS","2022","Female","Declared non-disabled","Legal","420","400","42860","43920"
"New entrant CS","2022","Female","Declared non-disabled","Medicine","110","90","48890","39030"
"New entrant CS","2022","Female","Declared non-disabled","Operational Delivery","12000","11470","25840","23170"
"New entrant CS","2022","Female","Declared non-disabled","Operational Research","50","40","[c]","[c]"
"New entrant CS","2022","Female","Declared non-disabled","Other","800","780","26780","23570"
"New entrant CS","2022","Female","Declared non-disabled","Planning","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Female","Declared non-disabled","Planning Inspectors","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Female","Declared non-disabled","Policy","1190","1180","36920","34020"
"New entrant CS","2022","Female","Declared non-disabled","Project Delivery","360","350","35130","33000"
"New entrant CS","2022","Female","Declared non-disabled","Property","160","150","33150","28500"
"New entrant CS","2022","Female","Declared non-disabled","Psychology","120","120","26940","27700"
"New entrant CS","2022","Female","Declared non-disabled","Science and Engineering","540","510","31500","29180"
"New entrant CS","2022","Female","Declared non-disabled","Security","70","70","28610","25000"
"New entrant CS","2022","Female","Declared non-disabled","Social Research","130","130","34680","30710"
"New entrant CS","2022","Female","Declared non-disabled","Statistics","80","80","31460","30710"
"New entrant CS","2022","Female","Declared non-disabled","Tax","740","720","27250","26590"
"New entrant CS","2022","Female","Declared non-disabled","Unknown","1980","1920","31640","27570"
"New entrant CS","2022","Female","Declared non-disabled","Veterinarian","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Female","Undeclared","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Female","Undeclared","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Female","Undeclared","Corporate Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Female","Undeclared","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Female","Undeclared","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Female","Undeclared","Economics","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Female","Undeclared","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Female","Undeclared","Geography","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Female","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Female","Undeclared","Intelligence Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Female","Undeclared","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Female","Undeclared","International Trade","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Female","Undeclared","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Female","Undeclared","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Female","Undeclared","Medicine","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Female","Undeclared","Operational Delivery","580","550","26680","24900"
"New entrant CS","2022","Female","Undeclared","Operational Research","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Female","Undeclared","Other","40","40","[c]","[c]"
"New entrant CS","2022","Female","Undeclared","Planning","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Female","Undeclared","Planning Inspectors","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Female","Undeclared","Policy","90","90","34690","33790"
"New entrant CS","2022","Female","Undeclared","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Female","Undeclared","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Female","Undeclared","Psychology","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Female","Undeclared","Science and Engineering","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Female","Undeclared","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Female","Undeclared","Social Research","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Female","Undeclared","Statistics","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Female","Undeclared","Tax","30","30","[c]","[c]"
"New entrant CS","2022","Female","Undeclared","Unknown","80","80","30850","29970"
"New entrant CS","2022","Female","Undeclared","Veterinarian","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Female","Unknown","Commercial","220","190","34670","32790"
"New entrant CS","2022","Female","Unknown","Communications","190","170","35290","33500"
"New entrant CS","2022","Female","Unknown","Corporate Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Female","Unknown","Counter Fraud","40","40","[c]","[c]"
"New entrant CS","2022","Female","Unknown","Digital, Data and Technology","410","390","37960","35050"
"New entrant CS","2022","Female","Unknown","Economics","50","40","[c]","[c]"
"New entrant CS","2022","Female","Unknown","Finance","290","250","35130","32790"
"New entrant CS","2022","Female","Unknown","Geography","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Female","Unknown","Human Resources","270","260","33400","28650"
"New entrant CS","2022","Female","Unknown","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Female","Unknown","Intelligence Analysis","40","40","[c]","[c]"
"New entrant CS","2022","Female","Unknown","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Female","Unknown","International Trade","60","60","[c]","[c]"
"New entrant CS","2022","Female","Unknown","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Female","Unknown","Legal","130","120","39090","34260"
"New entrant CS","2022","Female","Unknown","Medicine","120","100","45160","39030"
"New entrant CS","2022","Female","Unknown","Operational Delivery","7670","7190","26050","24090"
"New entrant CS","2022","Female","Unknown","Operational Research","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Female","Unknown","Other","400","380","25760","21640"
"New entrant CS","2022","Female","Unknown","Planning","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Female","Unknown","Planning Inspectors","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Female","Unknown","Policy","740","700","35360","32790"
"New entrant CS","2022","Female","Unknown","Project Delivery","200","200","37220","35050"
"New entrant CS","2022","Female","Unknown","Property","150","150","32240","26350"
"New entrant CS","2022","Female","Unknown","Psychology","40","40","[c]","[c]"
"New entrant CS","2022","Female","Unknown","Science and Engineering","80","70","35190","30380"
"New entrant CS","2022","Female","Unknown","Security","60","60","27400","24470"
"New entrant CS","2022","Female","Unknown","Social Research","60","60","33780","33650"
"New entrant CS","2022","Female","Unknown","Statistics","60","60","29090","28080"
"New entrant CS","2022","Female","Unknown","Tax","390","370","26340","26590"
"New entrant CS","2022","Female","Unknown","Unknown","2250","2150","32050","28000"
"New entrant CS","2022","Female","Unknown","Veterinarian","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Declared disabled","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Declared disabled","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Declared disabled","Corporate Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Declared disabled","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Declared disabled","Digital, Data and Technology","100","100","37380","33080"
"New entrant CS","2022","Male","Declared disabled","Economics","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Declared disabled","Finance","30","30","[c]","[c]"
"New entrant CS","2022","Male","Declared disabled","Geography","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Declared disabled","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Declared disabled","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Declared disabled","Intelligence Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Declared disabled","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Declared disabled","International Trade","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Declared disabled","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Declared disabled","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Declared disabled","Medicine","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Declared disabled","Operational Delivery","1070","1040","26630","24800"
"New entrant CS","2022","Male","Declared disabled","Operational Research","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Declared disabled","Other","90","90","28050","22230"
"New entrant CS","2022","Male","Declared disabled","Planning","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Declared disabled","Planning Inspectors","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Declared disabled","Policy","130","120","34970","32560"
"New entrant CS","2022","Male","Declared disabled","Project Delivery","40","40","[c]","[c]"
"New entrant CS","2022","Male","Declared disabled","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Declared disabled","Psychology","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Declared disabled","Science and Engineering","50","50","31560","31500"
"New entrant CS","2022","Male","Declared disabled","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Declared disabled","Social Research","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Declared disabled","Statistics","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Declared disabled","Tax","80","80","27310","26590"
"New entrant CS","2022","Male","Declared disabled","Unknown","210","210","31280","27230"
"New entrant CS","2022","Male","Declared disabled","Veterinarian","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Declared non-disabled","Commercial","160","160","32170","29960"
"New entrant CS","2022","Male","Declared non-disabled","Communications","100","100","36720","33080"
"New entrant CS","2022","Male","Declared non-disabled","Corporate Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Declared non-disabled","Counter Fraud","230","220","26760","27570"
"New entrant CS","2022","Male","Declared non-disabled","Digital, Data and Technology","930","930","38720","35900"
"New entrant CS","2022","Male","Declared non-disabled","Economics","140","140","36210","31800"
"New entrant CS","2022","Male","Declared non-disabled","Finance","260","260","35670","33000"
"New entrant CS","2022","Male","Declared non-disabled","Geography","30","30","[c]","[c]"
"New entrant CS","2022","Male","Declared non-disabled","Human Resources","140","140","34200","30450"
"New entrant CS","2022","Male","Declared non-disabled","Inspector of Education and Training","40","40","[c]","[c]"
"New entrant CS","2022","Male","Declared non-disabled","Intelligence Analysis","60","60","30810","28700"
"New entrant CS","2022","Male","Declared non-disabled","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Declared non-disabled","International Trade","50","50","[c]","[c]"
"New entrant CS","2022","Male","Declared non-disabled","Knowledge and Information Management","60","60","32020","29200"
"New entrant CS","2022","Male","Declared non-disabled","Legal","220","210","45550","43920"
"New entrant CS","2022","Male","Declared non-disabled","Medicine","50","50","57860","45840"
"New entrant CS","2022","Male","Declared non-disabled","Operational Delivery","7610","7450","26390","24430"
"New entrant CS","2022","Male","Declared non-disabled","Operational Research","40","40","[c]","[c]"
"New entrant CS","2022","Male","Declared non-disabled","Other","710","710","29240","25050"
"New entrant CS","2022","Male","Declared non-disabled","Planning","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Declared non-disabled","Planning Inspectors","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Declared non-disabled","Policy","940","930","37290","34020"
"New entrant CS","2022","Male","Declared non-disabled","Project Delivery","350","350","38490","36900"
"New entrant CS","2022","Male","Declared non-disabled","Property","220","220","37010","33000"
"New entrant CS","2022","Male","Declared non-disabled","Psychology","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Declared non-disabled","Science and Engineering","700","690","32500","29230"
"New entrant CS","2022","Male","Declared non-disabled","Security","200","200","29610","25470"
"New entrant CS","2022","Male","Declared non-disabled","Social Research","50","50","34910","31210"
"New entrant CS","2022","Male","Declared non-disabled","Statistics","120","110","34310","31990"
"New entrant CS","2022","Male","Declared non-disabled","Tax","770","770","27950","26590"
"New entrant CS","2022","Male","Declared non-disabled","Unknown","1470","1460","33330","27570"
"New entrant CS","2022","Male","Declared non-disabled","Veterinarian","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Undeclared","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Undeclared","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Undeclared","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Undeclared","Digital, Data and Technology","60","60","37400","34530"
"New entrant CS","2022","Male","Undeclared","Economics","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Undeclared","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Undeclared","Intelligence Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Undeclared","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Undeclared","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Undeclared","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Undeclared","Medicine","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Undeclared","Operational Delivery","390","370","27510","26130"
"New entrant CS","2022","Male","Undeclared","Operational Research","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Undeclared","Other","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Undeclared","Planning Inspectors","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Undeclared","Policy","90","90","35150","33210"
"New entrant CS","2022","Male","Undeclared","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Undeclared","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Undeclared","Science and Engineering","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Undeclared","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Undeclared","Statistics","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Undeclared","Tax","30","30","[c]","[c]"
"New entrant CS","2022","Male","Undeclared","Unknown","90","90","31470","27830"
"New entrant CS","2022","Male","Undeclared","Veterinarian","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Unknown","Commercial","160","130","33990","30420"
"New entrant CS","2022","Male","Unknown","Communications","110","90","34490","31680"
"New entrant CS","2022","Male","Unknown","Corporate Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Unknown","Counter Fraud","30","30","[c]","[c]"
"New entrant CS","2022","Male","Unknown","Digital, Data and Technology","700","670","39830","36050"
"New entrant CS","2022","Male","Unknown","Economics","80","80","33130","31800"
"New entrant CS","2022","Male","Unknown","Finance","260","240","35050","30820"
"New entrant CS","2022","Male","Unknown","Geography","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Unknown","Human Resources","140","130","35890","29520"
"New entrant CS","2022","Male","Unknown","Intelligence Analysis","60","60","29190","28700"
"New entrant CS","2022","Male","Unknown","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Unknown","International Trade","40","40","[c]","[c]"
"New entrant CS","2022","Male","Unknown","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Unknown","Legal","80","80","35710","34260"
"New entrant CS","2022","Male","Unknown","Medicine","50","30","[c]","[c]"
"New entrant CS","2022","Male","Unknown","Operational Delivery","5530","5280","26920","24880"
"New entrant CS","2022","Male","Unknown","Operational Research","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Unknown","Other","450","450","26100","21260"
"New entrant CS","2022","Male","Unknown","Planning","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Unknown","Planning Inspectors","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Unknown","Policy","520","500","37030","34020"
"New entrant CS","2022","Male","Unknown","Project Delivery","190","190","40170","37920"
"New entrant CS","2022","Male","Unknown","Property","190","190","35330","30450"
"New entrant CS","2022","Male","Unknown","Psychology","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Unknown","Science and Engineering","210","210","31530","30180"
"New entrant CS","2022","Male","Unknown","Security","280","280","27520","25000"
"New entrant CS","2022","Male","Unknown","Social Research","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Unknown","Statistics","70","60","30400","28310"
"New entrant CS","2022","Male","Unknown","Tax","430","430","27360","26590"
"New entrant CS","2022","Male","Unknown","Unknown","1700","1660","34490","28000"
"New entrant CS","2022","Male","Unknown","Veterinarian","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","Declared non-disabled","Statistics","[c]","[c]","[c]","[c]"
"Notes","Summary figures are suppressed when information relates to less than 30 civil servants for FTE or Headcount, and less than 50 civil servants for median and mean salary (shown as [c]). Additionally, zero responses have been suppressed for GPDR protected characteristics. Figures are rounded to the nearest 10, or £10 as appropriate.","","","","","","",""
"Data source","All figures are aggregated from the Cabinet Office Annual Civil Service Employment Survey collection. https://www.gov.uk/government/collections/civil-service-statistics","","","","","","",""
"Version","Generated on 2022-07-26, with GIT 03ee02c.","","","","","","",""
"Data column","Description","","","","","","",""
"Status","Employment status of the civil servants.","","","","","","",""
"","In post - includes staff that were in post on the reference date (31 March).","","","","","","",""
"","New entrant CS - includes new entrants to the Civil Service over the year (1 April to 31 March).","","","","","","",""
"","Leaver CS - includes leavers from the Civil Service over the year (1 April to 31 March). This includes employees who have an Unknown leaving cause.","","","","","","",""
"","Leaver Dept. - includes leavers from the department over the year (1 April to 31 March), who did not leave the Civil Service.","","","","","","",""
"","Organisation specific notes on status: In late June 2021 around 7,000 employees from Community Rehabilitation Companies were transferred in from the private sector to HM Prison and Probation Service, counting as entrants. The Defence Electronics and Components Agency does not record the date in which their employees first enter the Civil Service and so entrants data is not available. HM Land Registry do not record where their departing employees transfer to and so are unable to identify those that transfer to another Civil Service department.","","","","","","",""
"Year","Year of data collection (as at March 31st).","","","","","","",""
"Profession_of_post","Professions relate to the post occupied by the person and are not dependent on qualifications the individual may have.","","","","","","",""
"","Cabinet Office (excl agencies) reported profession information for only 60 out of a total 9,930 employees.","","","","","","",""
"","Of the 20 bodies under the Scottish Government, 16 did not report any professions information for their employees.","","","","","","",""
"Sex","Self reported sex.","","","","","","",""
"","""Unknown"" accounts for employees who were recorded with an unknown sex.","","","","","","",""
"Disability","Self reported disability.","","","","","","",""
"","""Undeclared"" accounts for employees who have actively declared that they do not want to disclose their disability status and ""Unknown"" accounts for employees who have not made an active declaration about their disability status.","","","","","","",""
"Headcount","Total number of civil servants (rounded to nearest 10).","","","","","","",""
"FTE","Total full-time equivalent employment numbers (rounded to nearest 10).","","","","","","",""
"Mean_salary","Average salary (mean, rounded to nearest £10). For part-time employees, salaries represent the full-time equivalent earnings, while for full-time employees they are the actual annual gross salaries.","","","","","","",""
"Median_salary","Median salary (rounded to nearest £10). For part-time employees, salaries represent the full-time equivalent earnings, while for full-time employees they are the actual annual gross salaries.","","","","","","",""
