"Status","Year","Organisation","Responsibility_level","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","HM Revenue and Customs (excl. agencies)","G6/G7","Security","60","50","57560","52770"
"In post","2021","HM Revenue and Customs (excl. agencies)","G6/G7","Social Research","40","30","[c]","[c]"
"In post","2021","HM Revenue and Customs (excl. agencies)","G6/G7","Statistics","90","90","56610","59160"
"In post","2021","HM Revenue and Customs (excl. agencies)","G6/G7","Tax","2680","2560","56870","52580"
"In post","2021","HM Revenue and Customs (excl. agencies)","G6/G7","Unknown","580","560","58930","59160"
"In post","2021","HM Revenue and Customs (excl. agencies)","SCS","Communications","[c]","[c]","[c]","[c]"
"In post","2021","HM Revenue and Customs (excl. agencies)","SCS","Digital, Data and Technology","40","30","[c]","[c]"
"In post","2021","HM Revenue and Customs (excl. agencies)","SCS","Economics","[c]","[c]","[c]","[c]"
"In post","2021","HM Revenue and Customs (excl. agencies)","SCS","Finance","[c]","[c]","[c]","[c]"
"In post","2021","HM Revenue and Customs (excl. agencies)","SCS","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","HM Revenue and Customs (excl. agencies)","SCS","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","HM Revenue and Customs (excl. agencies)","SCS","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","HM Revenue and Customs (excl. agencies)","SCS","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","HM Revenue and Customs (excl. agencies)","SCS","Legal","[c]","[c]","[c]","[c]"
"In post","2021","HM Revenue and Customs (excl. agencies)","SCS","Operational Delivery","50","50","[c]","[c]"
"In post","2021","HM Revenue and Customs (excl. agencies)","SCS","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","HM Revenue and Customs (excl. agencies)","SCS","Other","[c]","[c]","[c]","[c]"
"In post","2021","HM Revenue and Customs (excl. agencies)","SCS","Policy","60","60","85180","78420"
"In post","2021","HM Revenue and Customs (excl. agencies)","SCS","Project Delivery","60","60","82050","78000"
"In post","2021","HM Revenue and Customs (excl. agencies)","SCS","Property","[c]","[c]","[c]","[c]"
"In post","2021","HM Revenue and Customs (excl. agencies)","SCS","Security","[c]","[c]","[c]","[c]"
"In post","2021","HM Revenue and Customs (excl. agencies)","SCS","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","HM Revenue and Customs (excl. agencies)","SCS","Tax","70","70","80660","78420"
"In post","2021","HM Revenue and Customs (excl. agencies)","SCS","Unknown","100","100","94050","87000"
"In post","2021","HM Revenue and Customs (excl. agencies)","SEO/HEO","Commercial","50","40","[c]","[c]"
"In post","2021","HM Revenue and Customs (excl. agencies)","SEO/HEO","Communications","120","120","37410","38630"
"In post","2021","HM Revenue and Customs (excl. agencies)","SEO/HEO","Digital, Data and Technology","1140","1080","35260","35000"
"In post","2021","HM Revenue and Customs (excl. agencies)","SEO/HEO","Economics","50","50","35210","36160"
"In post","2021","HM Revenue and Customs (excl. agencies)","SEO/HEO","Finance","470","450","35970","36160"
"In post","2021","HM Revenue and Customs (excl. agencies)","SEO/HEO","Human Resources","310","290","35320","35000"
"In post","2021","HM Revenue and Customs (excl. agencies)","SEO/HEO","Intelligence Analysis","120","120","35230","36160"
"In post","2021","HM Revenue and Customs (excl. agencies)","SEO/HEO","Internal Audit","50","50","39310","40480"
"In post","2021","HM Revenue and Customs (excl. agencies)","SEO/HEO","International Trade","110","110","34100","31810"
"In post","2021","HM Revenue and Customs (excl. agencies)","SEO/HEO","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","HM Revenue and Customs (excl. agencies)","SEO/HEO","Legal","1490","1440","35190","35000"
"In post","2021","HM Revenue and Customs (excl. agencies)","SEO/HEO","Operational Delivery","4900","4660","33660","31810"
"In post","2021","HM Revenue and Customs (excl. agencies)","SEO/HEO","Operational Research","70","70","36530","36160"
"In post","2021","HM Revenue and Customs (excl. agencies)","SEO/HEO","Other","190","180","35630","35000"
"In post","2021","HM Revenue and Customs (excl. agencies)","SEO/HEO","Policy","410","380","38040","38630"
"In post","2021","HM Revenue and Customs (excl. agencies)","SEO/HEO","Project Delivery","1380","1310","36000","38630"
"In post","2021","HM Revenue and Customs (excl. agencies)","SEO/HEO","Property","120","120","35670","36160"
"In post","2021","HM Revenue and Customs (excl. agencies)","SEO/HEO","Security","90","80","36880","38630"
"In post","2021","HM Revenue and Customs (excl. agencies)","SEO/HEO","Social Research","40","40","[c]","[c]"
"In post","2021","HM Revenue and Customs (excl. agencies)","SEO/HEO","Statistics","160","160","36540","36160"
"In post","2021","HM Revenue and Customs (excl. agencies)","SEO/HEO","Tax","7130","6760","34590","31870"
"In post","2021","HM Revenue and Customs (excl. agencies)","SEO/HEO","Unknown","1290","1260","34200","31810"
"In post","2021","HM Treasury (excl. agencies)","AA/AO","Economics","[c]","[c]","[c]","[c]"
"In post","2021","HM Treasury (excl. agencies)","AA/AO","Finance","[c]","[c]","[c]","[c]"
"In post","2021","HM Treasury (excl. agencies)","AA/AO","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","HM Treasury (excl. agencies)","AA/AO","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","HM Treasury (excl. agencies)","AA/AO","Policy","[c]","[c]","[c]","[c]"
"In post","2021","HM Treasury (excl. agencies)","EO","Communications","[c]","[c]","[c]","[c]"
"In post","2021","HM Treasury (excl. agencies)","EO","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","HM Treasury (excl. agencies)","EO","Economics","[c]","[c]","[c]","[c]"
"In post","2021","HM Treasury (excl. agencies)","EO","Finance","[c]","[c]","[c]","[c]"
"In post","2021","HM Treasury (excl. agencies)","EO","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","HM Treasury (excl. agencies)","EO","Operational Delivery","100","100","27890","26950"
"In post","2021","HM Treasury (excl. agencies)","EO","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","HM Treasury (excl. agencies)","EO","Policy","60","60","26300","24300"
"In post","2021","HM Treasury (excl. agencies)","EO","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","HM Treasury (excl. agencies)","EO","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","HM Treasury (excl. agencies)","G6/G7","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","HM Treasury (excl. agencies)","G6/G7","Communications","[c]","[c]","[c]","[c]"
"In post","2021","HM Treasury (excl. agencies)","G6/G7","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","HM Treasury (excl. agencies)","G6/G7","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","HM Treasury (excl. agencies)","G6/G7","Economics","60","50","58110","55840"
"In post","2021","HM Treasury (excl. agencies)","G6/G7","Finance","40","40","[c]","[c]"
"In post","2021","HM Treasury (excl. agencies)","G6/G7","Human Resources","40","30","[c]","[c]"
"In post","2021","HM Treasury (excl. agencies)","G6/G7","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","HM Treasury (excl. agencies)","G6/G7","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","HM Treasury (excl. agencies)","G6/G7","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","HM Treasury (excl. agencies)","G6/G7","Policy","640","630","57980","55080"
"In post","2021","HM Treasury (excl. agencies)","G6/G7","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","HM Treasury (excl. agencies)","G6/G7","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","HM Treasury (excl. agencies)","G6/G7","Tax","[c]","[c]","[c]","[c]"
"In post","2021","HM Treasury (excl. agencies)","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","HM Treasury (excl. agencies)","SCS","Communications","[c]","[c]","[c]","[c]"
"In post","2021","HM Treasury (excl. agencies)","SCS","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","HM Treasury (excl. agencies)","SCS","Economics","[c]","[c]","[c]","[c]"
"In post","2021","HM Treasury (excl. agencies)","SCS","Finance","[c]","[c]","[c]","[c]"
"In post","2021","HM Treasury (excl. agencies)","SCS","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","HM Treasury (excl. agencies)","SCS","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","HM Treasury (excl. agencies)","SCS","Policy","120","110","83300","77000"
"In post","2021","HM Treasury (excl. agencies)","SCS","Tax","[c]","[c]","[c]","[c]"
"In post","2021","HM Treasury (excl. agencies)","SEO/HEO","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","HM Treasury (excl. agencies)","SEO/HEO","Communications","[c]","[c]","[c]","[c]"
"In post","2021","HM Treasury (excl. agencies)","SEO/HEO","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","HM Treasury (excl. agencies)","SEO/HEO","Economics","70","70","32540","32320"
"In post","2021","HM Treasury (excl. agencies)","SEO/HEO","Finance","[c]","[c]","[c]","[c]"
"In post","2021","HM Treasury (excl. agencies)","SEO/HEO","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","HM Treasury (excl. agencies)","SEO/HEO","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","HM Treasury (excl. agencies)","SEO/HEO","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","HM Treasury (excl. agencies)","SEO/HEO","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","HM Treasury (excl. agencies)","SEO/HEO","Policy","530","530","33720","32320"
"In post","2021","HM Treasury (excl. agencies)","SEO/HEO","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","HM Treasury (excl. agencies)","SEO/HEO","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","HM Treasury (excl. agencies)","SEO/HEO","Tax","[c]","[c]","[c]","[c]"
"In post","2021","Home Office (incl. agencies)","AA/AO","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Home Office (incl. agencies)","AA/AO","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Home Office (incl. agencies)","AA/AO","Counter Fraud","40","40","[c]","[c]"
"In post","2021","Home Office (incl. agencies)","AA/AO","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Home Office (incl. agencies)","AA/AO","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Home Office (incl. agencies)","AA/AO","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Home Office (incl. agencies)","AA/AO","Intelligence Analysis","80","70","23090","21430"
"In post","2021","Home Office (incl. agencies)","AA/AO","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Home Office (incl. agencies)","AA/AO","Operational Delivery","7640","6740","21960","21430"
"In post","2021","Home Office (incl. agencies)","AA/AO","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Home Office (incl. agencies)","AA/AO","Other","330","310","22270","21430"
"In post","2021","Home Office (incl. agencies)","AA/AO","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Home Office (incl. agencies)","AA/AO","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Home Office (incl. agencies)","AA/AO","Property","[c]","[c]","[c]","[c]"
"In post","2021","Home Office (incl. agencies)","AA/AO","Security","150","150","22320","22210"
"In post","2021","Home Office (incl. agencies)","AA/AO","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Home Office (incl. agencies)","AA/AO","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Home Office (incl. agencies)","EO","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Home Office (incl. agencies)","EO","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Home Office (incl. agencies)","EO","Counter Fraud","100","90","25990","25310"
"In post","2021","Home Office (incl. agencies)","EO","Digital, Data and Technology","80","70","27110","25310"
"In post","2021","Home Office (incl. agencies)","EO","Finance","40","40","[c]","[c]"
"In post","2021","Home Office (incl. agencies)","EO","Human Resources","110","100","29070","29020"
"In post","2021","Home Office (incl. agencies)","EO","Intelligence Analysis","900","840","26990","27250"
"In post","2021","Home Office (incl. agencies)","EO","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Home Office (incl. agencies)","EO","Operational Delivery","12020","11010","26790","25670"
"In post","2021","Home Office (incl. agencies)","EO","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Home Office (incl. agencies)","EO","Other","610","540","28410","28670"
"In post","2021","Home Office (incl. agencies)","EO","Policy","210","200","28440","28670"
"In post","2021","Home Office (incl. agencies)","EO","Project Delivery","140","130","27580","28650"
"In post","2021","Home Office (incl. agencies)","EO","Property","[c]","[c]","[c]","[c]"
"In post","2021","Home Office (incl. agencies)","EO","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Home Office (incl. agencies)","EO","Security","70","60","28380","28850"
"In post","2021","Home Office (incl. agencies)","EO","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Home Office (incl. agencies)","EO","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Home Office (incl. agencies)","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Home Office (incl. agencies)","G6/G7","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Home Office (incl. agencies)","G6/G7","Communications","60","60","60230","57570"
"In post","2021","Home Office (incl. agencies)","G6/G7","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Home Office (incl. agencies)","G6/G7","Digital, Data and Technology","490","490","63080","61740"
"In post","2021","Home Office (incl. agencies)","G6/G7","Economics","40","40","[c]","[c]"
"In post","2021","Home Office (incl. agencies)","G6/G7","Finance","80","80","61960","58290"
"In post","2021","Home Office (incl. agencies)","G6/G7","Human Resources","150","140","60670","57680"
"In post","2021","Home Office (incl. agencies)","G6/G7","Intelligence Analysis","40","40","[c]","[c]"
"In post","2021","Home Office (incl. agencies)","G6/G7","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Home Office (incl. agencies)","G6/G7","Operational Delivery","680","670","58470","57460"
"In post","2021","Home Office (incl. agencies)","G6/G7","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Home Office (incl. agencies)","G6/G7","Other","250","240","61430","57680"
"In post","2021","Home Office (incl. agencies)","G6/G7","Policy","910","880","60860","57680"
"In post","2021","Home Office (incl. agencies)","G6/G7","Project Delivery","450","440","60330","57680"
"In post","2021","Home Office (incl. agencies)","G6/G7","Property","[c]","[c]","[c]","[c]"
"In post","2021","Home Office (incl. agencies)","G6/G7","Science and Engineering","40","40","[c]","[c]"
"In post","2021","Home Office (incl. agencies)","G6/G7","Security","30","30","[c]","[c]"
"In post","2021","Home Office (incl. agencies)","G6/G7","Social Research","40","40","[c]","[c]"
