"Status","Year","Sexual_orientation","Profession_of_post","Age","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2021","Heterosexual / straight","Knowledge and Information Management","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Legal","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Legal","30-39","50","40","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Legal","40-49","40","30","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Legal","50-59","60","50","56770","55610"
"Leaver CS","2021","Heterosexual / straight","Legal","60-64","50","40","57720","55610"
"Leaver CS","2021","Heterosexual / straight","Legal","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Medicine","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Medicine","30-39","40","30","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Medicine","40-49","40","40","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Medicine","50-59","40","30","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Medicine","60-64","30","20","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Medicine","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Operational Delivery","16-19","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Operational Delivery","20-29","1040","1020","23490","21950"
"Leaver CS","2021","Heterosexual / straight","Operational Delivery","30-39","800","740","28290","24110"
"Leaver CS","2021","Heterosexual / straight","Operational Delivery","40-49","540","500","30130","25630"
"Leaver CS","2021","Heterosexual / straight","Operational Delivery","50-59","880","800","31450","26380"
"Leaver CS","2021","Heterosexual / straight","Operational Delivery","60-64","650","530","31380","26380"
"Leaver CS","2021","Heterosexual / straight","Operational Delivery","65+","650","470","24470","21430"
"Leaver CS","2021","Heterosexual / straight","Operational Delivery","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Operational Research","16-19","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Operational Research","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Operational Research","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Operational Research","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Operational Research","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Operational Research","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Operational Research","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Other","16-19","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Other","20-29","90","90","25160","23320"
"Leaver CS","2021","Heterosexual / straight","Other","30-39","110","100","29380","27180"
"Leaver CS","2021","Heterosexual / straight","Other","40-49","120","110","32100","29930"
"Leaver CS","2021","Heterosexual / straight","Other","50-59","200","200","31130","26930"
"Leaver CS","2021","Heterosexual / straight","Other","60-64","200","190","30920","26930"
"Leaver CS","2021","Heterosexual / straight","Other","65+","180","160","25940","21580"
"Leaver CS","2021","Heterosexual / straight","Other","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Planning","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Planning","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Planning","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Planning","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Planning","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Planning Inspectors","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Planning Inspectors","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Planning Inspectors","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Planning Inspectors","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Policy","20-29","80","80","34260","33300"
"Leaver CS","2021","Heterosexual / straight","Policy","30-39","100","100","44450","40510"
"Leaver CS","2021","Heterosexual / straight","Policy","40-49","80","80","55640","53760"
"Leaver CS","2021","Heterosexual / straight","Policy","50-59","70","60","48740","44780"
"Leaver CS","2021","Heterosexual / straight","Policy","60-64","50","50","50430","42130"
"Leaver CS","2021","Heterosexual / straight","Policy","65+","30","20","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Policy","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Project Delivery","16-19","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Project Delivery","20-29","60","50","28670","26490"
"Leaver CS","2021","Heterosexual / straight","Project Delivery","30-39","50","40","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Project Delivery","40-49","40","40","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Project Delivery","50-59","70","70","49540","40580"
"Leaver CS","2021","Heterosexual / straight","Project Delivery","60-64","50","50","48520","41060"
"Leaver CS","2021","Heterosexual / straight","Project Delivery","65+","50","40","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Property","16-19","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Property","20-29","30","30","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Property","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Property","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Property","50-59","60","60","35380","32110"
"Leaver CS","2021","Heterosexual / straight","Property","60-64","60","50","37400","33300"
"Leaver CS","2021","Heterosexual / straight","Property","65+","50","50","31000","32430"
"Leaver CS","2021","Heterosexual / straight","Psychology","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Psychology","30-39","30","30","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Psychology","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Psychology","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Psychology","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Science and Engineering","16-19","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Science and Engineering","20-29","170","160","23440","23180"
"Leaver CS","2021","Heterosexual / straight","Science and Engineering","30-39","90","80","34890","35690"
"Leaver CS","2021","Heterosexual / straight","Science and Engineering","40-49","60","60","38630","39400"
"Leaver CS","2021","Heterosexual / straight","Science and Engineering","50-59","70","70","41990","41400"
"Leaver CS","2021","Heterosexual / straight","Science and Engineering","60-64","50","50","38100","35550"
"Leaver CS","2021","Heterosexual / straight","Science and Engineering","65+","50","40","33890","31310"
"Leaver CS","2021","Heterosexual / straight","Security","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Security","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Security","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Security","50-59","80","70","33820","38120"
"Leaver CS","2021","Heterosexual / straight","Security","60-64","60","60","31620","34040"
"Leaver CS","2021","Heterosexual / straight","Security","65+","40","40","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Social Research","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Social Research","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Social Research","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Social Research","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Social Research","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Statistics","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Statistics","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Statistics","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Statistics","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Statistics","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Statistics","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Unknown","16-19","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Unknown","20-29","590","570","24980","21770"
"Leaver CS","2021","Heterosexual / straight","Unknown","30-39","430","400","30370","27570"
"Leaver CS","2021","Heterosexual / straight","Unknown","40-49","390","350","31260","26890"
"Leaver CS","2021","Heterosexual / straight","Unknown","50-59","780","690","31700","27570"
"Leaver CS","2021","Heterosexual / straight","Unknown","60-64","680","550","31250","27570"
"Leaver CS","2021","Heterosexual / straight","Unknown","65+","550","380","26450","25970"
"Leaver CS","2021","Heterosexual / straight","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Veterinarian","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Veterinarian","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Veterinarian","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Veterinarian","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Veterinarian","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Commercial","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Commercial","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Commercial","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Commercial","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Commercial","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Commercial","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Communications","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Communications","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Communications","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Communications","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Communications","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Communications","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Corporate Finance","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Corporate Finance","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Corporate Finance","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Corporate Finance","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Counter Fraud","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Counter Fraud","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Counter Fraud","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Counter Fraud","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Counter Fraud","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Counter Fraud","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Digital, Data and Technology","16-19","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Digital, Data and Technology","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Digital, Data and Technology","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Digital, Data and Technology","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Digital, Data and Technology","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Digital, Data and Technology","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Digital, Data and Technology","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Economics","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Economics","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Economics","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Economics","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Economics","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Finance","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Finance","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Finance","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Finance","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Finance","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Finance","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Human Resources","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Human Resources","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Human Resources","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Human Resources","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Human Resources","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Human Resources","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Inspector of Education and Training","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Inspector of Education and Training","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Inspector of Education and Training","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Inspector of Education and Training","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Inspector of Education and Training","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Inspector of Education and Training","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Intelligence Analysis","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Intelligence Analysis","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Intelligence Analysis","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Intelligence Analysis","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Intelligence Analysis","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Intelligence Analysis","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Internal Audit","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Internal Audit","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Internal Audit","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Internal Audit","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Internal Audit","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","International Trade","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","International Trade","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","International Trade","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","International Trade","50-59","[c]","[c]","[c]","[c]"
