"Status","Year","Profession_of_post","Disability","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Planning Inspectors","Declared non-disabled","No function","270","240","56300","58810"
"In post","2022","Planning Inspectors","Undeclared","No function","[c]","[c]","[c]","[c]"
"In post","2022","Planning Inspectors","Unknown","No function","70","60","56070","58810"
"In post","2022","Policy","Declared disabled","Analysis","50","40","[c]","[c]"
"In post","2022","Policy","Declared disabled","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Policy","Declared disabled","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Policy","Declared disabled","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","Policy","Declared disabled","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Policy","Declared disabled","Grants Management","[c]","[c]","[c]","[c]"
"In post","2022","Policy","Declared disabled","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Policy","Declared disabled","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Policy","Declared disabled","No function","2260","2200","44590","40050"
"In post","2022","Policy","Declared disabled","Project Delivery","220","200","50510","51500"
"In post","2022","Policy","Declared disabled","Property","[c]","[c]","[c]","[c]"
"In post","2022","Policy","Declared disabled","Security","[c]","[c]","[c]","[c]"
"In post","2022","Policy","Declared disabled","Unknown","500","480","45440","41950"
"In post","2022","Policy","Declared non-disabled","Analysis","340","320","48340","49860"
"In post","2022","Policy","Declared non-disabled","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Policy","Declared non-disabled","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Policy","Declared non-disabled","Digital, Data & Technology","140","140","45860","40720"
"In post","2022","Policy","Declared non-disabled","Finance","30","30","[c]","[c]"
"In post","2022","Policy","Declared non-disabled","Grants Management","[c]","[c]","[c]","[c]"
"In post","2022","Policy","Declared non-disabled","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Policy","Declared non-disabled","Legal","60","60","47200","42360"
"In post","2022","Policy","Declared non-disabled","No function","16010","15560","47830","44540"
"In post","2022","Policy","Declared non-disabled","Project Delivery","1270","1220","54840","55210"
"In post","2022","Policy","Declared non-disabled","Property","[c]","[c]","[c]","[c]"
"In post","2022","Policy","Declared non-disabled","Security","[c]","[c]","[c]","[c]"
"In post","2022","Policy","Declared non-disabled","Unknown","4440","4280","47360","42550"
"In post","2022","Policy","Undeclared","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Policy","Undeclared","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Policy","Undeclared","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","Policy","Undeclared","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Policy","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Policy","Undeclared","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Policy","Undeclared","No function","1290","1270","46540","42470"
"In post","2022","Policy","Undeclared","Project Delivery","90","90","55680","55210"
"In post","2022","Policy","Undeclared","Property","[c]","[c]","[c]","[c]"
"In post","2022","Policy","Undeclared","Unknown","270","260","44660","41950"
"In post","2022","Policy","Unknown","Analysis","170","160","52020","53360"
"In post","2022","Policy","Unknown","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Policy","Unknown","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Policy","Unknown","Digital, Data & Technology","70","70","42810","40230"
"In post","2022","Policy","Unknown","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Policy","Unknown","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Policy","Unknown","No function","3990","3910","44380","40050"
"In post","2022","Policy","Unknown","Project Delivery","580","560","52420","53000"
"In post","2022","Policy","Unknown","Property","[c]","[c]","[c]","[c]"
"In post","2022","Policy","Unknown","Security","[c]","[c]","[c]","[c]"
"In post","2022","Policy","Unknown","Unknown","900","890","45320","41950"
"In post","2022","Project Delivery","Declared disabled","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Declared disabled","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Declared disabled","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Declared disabled","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Declared disabled","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Declared disabled","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Declared disabled","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Declared disabled","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Declared disabled","No function","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Declared disabled","Project Delivery","1270","1200","40520","38600"
"In post","2022","Project Delivery","Declared disabled","Property","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Declared disabled","Security","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Declared disabled","Unknown","170","160","42800","38160"
"In post","2022","Project Delivery","Declared non-disabled","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Declared non-disabled","Commercial","80","70","44840","40050"
"In post","2022","Project Delivery","Declared non-disabled","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Declared non-disabled","Digital, Data & Technology","150","140","40760","36490"
"In post","2022","Project Delivery","Declared non-disabled","Finance","40","40","[c]","[c]"
"In post","2022","Project Delivery","Declared non-disabled","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Declared non-disabled","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Declared non-disabled","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Declared non-disabled","No function","380","370","45520","41830"
"In post","2022","Project Delivery","Declared non-disabled","Project Delivery","9350","8960","43500","40520"
"In post","2022","Project Delivery","Declared non-disabled","Property","50","50","47870","43010"
"In post","2022","Project Delivery","Declared non-disabled","Security","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Declared non-disabled","Unknown","1380","1330","44870","41950"
"In post","2022","Project Delivery","Undeclared","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Undeclared","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Undeclared","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Undeclared","No function","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Undeclared","Project Delivery","640","620","43080","40580"
"In post","2022","Project Delivery","Undeclared","Property","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Undeclared","Unknown","80","70","47900","42420"
"In post","2022","Project Delivery","Unknown","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Unknown","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Unknown","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Unknown","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Unknown","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Unknown","No function","60","60","45040","50820"
"In post","2022","Project Delivery","Unknown","Project Delivery","1710","1650","44540","40520"
"In post","2022","Project Delivery","Unknown","Property","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Unknown","Unknown","330","320","41390","37450"
"In post","2022","Property","Declared disabled","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Property","Declared disabled","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","Property","Declared disabled","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Property","Declared disabled","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Property","Declared disabled","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Property","Declared disabled","No function","[c]","[c]","[c]","[c]"
"In post","2022","Property","Declared disabled","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Property","Declared disabled","Property","580","550","37310","33300"
"In post","2022","Property","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Property","Declared non-disabled","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Property","Declared non-disabled","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","Property","Declared non-disabled","Finance","30","30","[c]","[c]"
"In post","2022","Property","Declared non-disabled","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Property","Declared non-disabled","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Property","Declared non-disabled","No function","[c]","[c]","[c]","[c]"
"In post","2022","Property","Declared non-disabled","Project Delivery","50","50","[c]","[c]"
"In post","2022","Property","Declared non-disabled","Property","5040","4820","38780","34000"
"In post","2022","Property","Declared non-disabled","Unknown","70","70","40780","38160"
"In post","2022","Property","Undeclared","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Property","Undeclared","No function","[c]","[c]","[c]","[c]"
"In post","2022","Property","Undeclared","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Property","Undeclared","Property","530","500","38600","34320"
"In post","2022","Property","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Property","Unknown","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Property","Unknown","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Property","Unknown","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Property","Unknown","No function","[c]","[c]","[c]","[c]"
"In post","2022","Property","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Property","Unknown","Property","1210","1170","34430","31000"
"In post","2022","Property","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Psychology","Declared disabled","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Psychology","Declared disabled","No function","120","120","32490","29750"
"In post","2022","Psychology","Declared disabled","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Psychology","Declared non-disabled","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Psychology","Declared non-disabled","No function","1110","1070","36300","31180"
"In post","2022","Psychology","Declared non-disabled","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Psychology","Undeclared","No function","130","120","37050","31180"
"In post","2022","Psychology","Unknown","No function","160","150","32780","29750"
"In post","2022","Science and Engineering","Declared disabled","Analysis","40","40","[c]","[c]"
"In post","2022","Science and Engineering","Declared disabled","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Science and Engineering","Declared disabled","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Science and Engineering","Declared disabled","Digital, Data & Technology","50","50","34770","34030"
"In post","2022","Science and Engineering","Declared disabled","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Science and Engineering","Declared disabled","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Science and Engineering","Declared disabled","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Science and Engineering","Declared disabled","No function","430","410","36260","32670"
"In post","2022","Science and Engineering","Declared disabled","Project Delivery","340","330","38640","38500"
