"Status","Year","Profession_of_post","Function_of_post","Age","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","International Trade","No function","20-29","510","510","38390","38160"
"In post","2022","International Trade","No function","30-39","520","520","49710","51730"
"In post","2022","International Trade","No function","40-49","270","270","53030","51970"
"In post","2022","International Trade","No function","50-59","270","260","52040","48220"
"In post","2022","International Trade","No function","60-64","50","50","[c]","[c]"
"In post","2022","International Trade","No function","65+","[c]","[c]","[c]","[c]"
"In post","2022","International Trade","Project Delivery","20-29","[c]","[c]","[c]","[c]"
"In post","2022","International Trade","Project Delivery","30-39","[c]","[c]","[c]","[c]"
"In post","2022","International Trade","Project Delivery","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Knowledge and Information Management","Analysis","20-29","[c]","[c]","[c]","[c]"
"In post","2022","Knowledge and Information Management","Analysis","30-39","[c]","[c]","[c]","[c]"
"In post","2022","Knowledge and Information Management","Analysis","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Knowledge and Information Management","Analysis","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Knowledge and Information Management","Analysis","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Knowledge and Information Management","Commercial","30-39","[c]","[c]","[c]","[c]"
"In post","2022","Knowledge and Information Management","Commercial","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Knowledge and Information Management","Communications","20-29","[c]","[c]","[c]","[c]"
"In post","2022","Knowledge and Information Management","Communications","30-39","[c]","[c]","[c]","[c]"
"In post","2022","Knowledge and Information Management","Communications","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Knowledge and Information Management","Communications","50-59","30","30","[c]","[c]"
"In post","2022","Knowledge and Information Management","Communications","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Knowledge and Information Management","Communications","65+","[c]","[c]","[c]","[c]"
"In post","2022","Knowledge and Information Management","Counter Fraud","20-29","[c]","[c]","[c]","[c]"
"In post","2022","Knowledge and Information Management","Counter Fraud","30-39","[c]","[c]","[c]","[c]"
"In post","2022","Knowledge and Information Management","Counter Fraud","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Knowledge and Information Management","Counter Fraud","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Knowledge and Information Management","Counter Fraud","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Knowledge and Information Management","Counter Fraud","65+","[c]","[c]","[c]","[c]"
"In post","2022","Knowledge and Information Management","Digital, Data & Technology","20-29","100","100","27700","26670"
"In post","2022","Knowledge and Information Management","Digital, Data & Technology","30-39","160","150","33510","33000"
"In post","2022","Knowledge and Information Management","Digital, Data & Technology","40-49","210","210","34050","32250"
"In post","2022","Knowledge and Information Management","Digital, Data & Technology","50-59","310","310","33760","30750"
"In post","2022","Knowledge and Information Management","Digital, Data & Technology","60-64","90","90","32200","28260"
"In post","2022","Knowledge and Information Management","Digital, Data & Technology","65+","30","30","[c]","[c]"
"In post","2022","Knowledge and Information Management","Finance","30-39","[c]","[c]","[c]","[c]"
"In post","2022","Knowledge and Information Management","Finance","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Knowledge and Information Management","Human Resources","20-29","[c]","[c]","[c]","[c]"
"In post","2022","Knowledge and Information Management","Human Resources","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Knowledge and Information Management","Human Resources","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Knowledge and Information Management","Legal","20-29","[c]","[c]","[c]","[c]"
"In post","2022","Knowledge and Information Management","Legal","30-39","[c]","[c]","[c]","[c]"
"In post","2022","Knowledge and Information Management","Legal","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Knowledge and Information Management","Legal","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Knowledge and Information Management","Legal","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Knowledge and Information Management","Legal","65+","[c]","[c]","[c]","[c]"
"In post","2022","Knowledge and Information Management","No function","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Knowledge and Information Management","No function","20-29","120","120","32570","29260"
"In post","2022","Knowledge and Information Management","No function","30-39","160","160","37050","31990"
"In post","2022","Knowledge and Information Management","No function","40-49","200","190","37060","34260"
"In post","2022","Knowledge and Information Management","No function","50-59","260","250","36400","33170"
"In post","2022","Knowledge and Information Management","No function","60-64","70","60","32590","27570"
"In post","2022","Knowledge and Information Management","No function","65+","[c]","[c]","[c]","[c]"
"In post","2022","Knowledge and Information Management","Project Delivery","20-29","[c]","[c]","[c]","[c]"
"In post","2022","Knowledge and Information Management","Project Delivery","30-39","[c]","[c]","[c]","[c]"
"In post","2022","Knowledge and Information Management","Project Delivery","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Knowledge and Information Management","Project Delivery","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Knowledge and Information Management","Project Delivery","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Knowledge and Information Management","Project Delivery","65+","[c]","[c]","[c]","[c]"
"In post","2022","Knowledge and Information Management","Property","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Knowledge and Information Management","Property","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Knowledge and Information Management","Property","65+","[c]","[c]","[c]","[c]"
"In post","2022","Knowledge and Information Management","Security","20-29","[c]","[c]","[c]","[c]"
"In post","2022","Knowledge and Information Management","Security","30-39","[c]","[c]","[c]","[c]"
"In post","2022","Knowledge and Information Management","Security","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Knowledge and Information Management","Security","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Knowledge and Information Management","Security","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Knowledge and Information Management","Security","65+","[c]","[c]","[c]","[c]"
"In post","2022","Knowledge and Information Management","Unknown","20-29","[c]","[c]","[c]","[c]"
"In post","2022","Knowledge and Information Management","Unknown","30-39","50","40","[c]","[c]"
"In post","2022","Knowledge and Information Management","Unknown","40-49","70","60","39570","38160"
"In post","2022","Knowledge and Information Management","Unknown","50-59","70","60","40850","38160"
"In post","2022","Knowledge and Information Management","Unknown","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Knowledge and Information Management","Unknown","65+","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Counter Fraud","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Counter Fraud","20-29","430","420","29680","26820"
"In post","2022","Legal","Counter Fraud","30-39","770","760","31820","31020"
"In post","2022","Legal","Counter Fraud","40-49","850","820","34820","33370"
"In post","2022","Legal","Counter Fraud","50-59","1070","1040","35910","33440"
"In post","2022","Legal","Counter Fraud","60-64","200","160","34280","33370"
"In post","2022","Legal","Counter Fraud","65+","70","50","32030","28920"
"In post","2022","Legal","Digital, Data & Technology","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Human Resources","30-39","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Human Resources","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Human Resources","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Human Resources","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Legal","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Legal","20-29","740","730","38940","40000"
"In post","2022","Legal","Legal","30-39","2080","1990","52890","51830"
"In post","2022","Legal","Legal","40-49","2340","2140","58830","58040"
"In post","2022","Legal","Legal","50-59","2040","1900","61110","60710"
"In post","2022","Legal","Legal","60-64","410","350","60870","62120"
"In post","2022","Legal","Legal","65+","150","110","60360","61000"
"In post","2022","Legal","No function","20-29","160","160","32410","30450"
"In post","2022","Legal","No function","30-39","230","220","38710","36050"
"In post","2022","Legal","No function","40-49","360","330","45110","43100"
"In post","2022","Legal","No function","50-59","470","420","48260","46400"
"In post","2022","Legal","No function","60-64","90","70","50810","47100"
"In post","2022","Legal","No function","65+","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Project Delivery","30-39","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Project Delivery","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Project Delivery","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Property","30-39","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Unknown","20-29","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Unknown","30-39","50","50","57370","61440"
"In post","2022","Legal","Unknown","40-49","60","50","60550","61440"
"In post","2022","Legal","Unknown","50-59","30","30","[c]","[c]"
"In post","2022","Legal","Unknown","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Unknown","65+","[c]","[c]","[c]","[c]"
"In post","2022","Medicine","Analysis","20-29","[c]","[c]","[c]","[c]"
"In post","2022","Medicine","Analysis","30-39","[c]","[c]","[c]","[c]"
"In post","2022","Medicine","Analysis","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Medicine","Analysis","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Medicine","Digital, Data & Technology","20-29","[c]","[c]","[c]","[c]"
"In post","2022","Medicine","Digital, Data & Technology","30-39","[c]","[c]","[c]","[c]"
"In post","2022","Medicine","Digital, Data & Technology","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Medicine","Digital, Data & Technology","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Medicine","Digital, Data & Technology","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Medicine","No function","20-29","[c]","[c]","[c]","[c]"
"In post","2022","Medicine","No function","30-39","120","110","64770","55860"
"In post","2022","Medicine","No function","40-49","190","170","80520","83800"
"In post","2022","Medicine","No function","50-59","170","160","93590","96510"
"In post","2022","Medicine","No function","60-64","70","60","97020","111670"
"In post","2022","Medicine","No function","65+","[c]","[c]","[c]","[c]"
"In post","2022","Medicine","Project Delivery","20-29","[c]","[c]","[c]","[c]"
"In post","2022","Medicine","Project Delivery","30-39","[c]","[c]","[c]","[c]"
"In post","2022","Medicine","Project Delivery","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Medicine","Project Delivery","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Medicine","Project Delivery","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Medicine","Project Delivery","65+","[c]","[c]","[c]","[c]"
"In post","2022","Medicine","Unknown","20-29","110","100","31190","31530"
"In post","2022","Medicine","Unknown","30-39","460","400","40810","39030"
"In post","2022","Medicine","Unknown","40-49","550","480","49300","40060"
"In post","2022","Medicine","Unknown","50-59","540","480","51620","39780"
"In post","2022","Medicine","Unknown","60-64","140","120","51510","39630"
"In post","2022","Medicine","Unknown","65+","40","40","[c]","[c]"
"In post","2022","Operational Delivery","Analysis","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Operational Delivery","Analysis","20-29","190","180","32050","30210"
"In post","2022","Operational Delivery","Analysis","30-39","230","220","36550","34260"
"In post","2022","Operational Delivery","Analysis","40-49","190","180","37530","36840"
"In post","2022","Operational Delivery","Analysis","50-59","180","170","36220","31700"
"In post","2022","Operational Delivery","Analysis","60-64","40","40","[c]","[c]"
"In post","2022","Operational Delivery","Analysis","65+","[c]","[c]","[c]","[c]"
"In post","2022","Operational Delivery","Commercial","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Operational Delivery","Commercial","20-29","80","80","34130","33000"
"In post","2022","Operational Delivery","Commercial","30-39","80","80","39430","37240"
"In post","2022","Operational Delivery","Commercial","40-49","100","90","45640","40630"
"In post","2022","Operational Delivery","Commercial","50-59","100","100","49540","42830"
"In post","2022","Operational Delivery","Commercial","60-64","40","30","[c]","[c]"
"In post","2022","Operational Delivery","Commercial","65+","[c]","[c]","[c]","[c]"
"In post","2022","Operational Delivery","Communications","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Operational Delivery","Communications","20-29","450","450","28110","26590"
"In post","2022","Operational Delivery","Communications","30-39","580","560","30730","26820"
"In post","2022","Operational Delivery","Communications","40-49","390","370","31450","29050"
"In post","2022","Operational Delivery","Communications","50-59","320","300","31930","26820"
"In post","2022","Operational Delivery","Communications","60-64","70","50","29890","26590"
"In post","2022","Operational Delivery","Communications","65+","[c]","[c]","[c]","[c]"
"In post","2022","Operational Delivery","Counter Fraud","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Operational Delivery","Counter Fraud","20-29","410","410","27280","26590"
"In post","2022","Operational Delivery","Counter Fraud","30-39","740","710","31050","30750"
"In post","2022","Operational Delivery","Counter Fraud","40-49","880","810","31090","27570"
"In post","2022","Operational Delivery","Counter Fraud","50-59","1370","1270","31920","28920"
"In post","2022","Operational Delivery","Counter Fraud","60-64","400","310","29160","27570"
"In post","2022","Operational Delivery","Counter Fraud","65+","90","70","28010","26400"
"In post","2022","Operational Delivery","Debt","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Operational Delivery","Debt","20-29","590","570","22660","21250"
"In post","2022","Operational Delivery","Debt","30-39","590","540","23980","21250"
