"Status","Year","Responsibility_level","Disability","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2021","SEO/HEO","Declared non-disabled","Finance","70","60","39630","39060"
"Leaver CS","2021","SEO/HEO","Declared non-disabled","Grants Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SEO/HEO","Declared non-disabled","Human Resources","70","70","38790","38570"
"Leaver CS","2021","SEO/HEO","Declared non-disabled","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SEO/HEO","Declared non-disabled","Legal","90","70","42310","43160"
"Leaver CS","2021","SEO/HEO","Declared non-disabled","No function","790","710","37460","35910"
"Leaver CS","2021","SEO/HEO","Declared non-disabled","Project Delivery","260","250","36380","36630"
"Leaver CS","2021","SEO/HEO","Declared non-disabled","Property","100","90","38020","36460"
"Leaver CS","2021","SEO/HEO","Declared non-disabled","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SEO/HEO","Declared non-disabled","Unknown","1550","1360","36920","36130"
"Leaver CS","2021","SEO/HEO","Undeclared","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SEO/HEO","Undeclared","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SEO/HEO","Undeclared","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SEO/HEO","Undeclared","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SEO/HEO","Undeclared","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SEO/HEO","Undeclared","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SEO/HEO","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SEO/HEO","Undeclared","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SEO/HEO","Undeclared","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SEO/HEO","Undeclared","No function","130","120","36520","34530"
"Leaver CS","2021","SEO/HEO","Undeclared","Project Delivery","30","30","[c]","[c]"
"Leaver CS","2021","SEO/HEO","Undeclared","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SEO/HEO","Undeclared","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SEO/HEO","Undeclared","Unknown","170","160","34890","35060"
"Leaver CS","2021","SEO/HEO","Unknown","Analysis","40","30","[c]","[c]"
"Leaver CS","2021","SEO/HEO","Unknown","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SEO/HEO","Unknown","Communications","40","40","[c]","[c]"
"Leaver CS","2021","SEO/HEO","Unknown","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SEO/HEO","Unknown","Digital, Data & Technology","60","60","37710","37890"
"Leaver CS","2021","SEO/HEO","Unknown","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SEO/HEO","Unknown","Grants Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SEO/HEO","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SEO/HEO","Unknown","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SEO/HEO","Unknown","Legal","40","40","[c]","[c]"
"Leaver CS","2021","SEO/HEO","Unknown","No function","380","360","36400","35590"
"Leaver CS","2021","SEO/HEO","Unknown","Project Delivery","60","50","36940","36920"
"Leaver CS","2021","SEO/HEO","Unknown","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SEO/HEO","Unknown","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SEO/HEO","Unknown","Unknown","620","540","37100","36960"
"Leaver CS","2021","Unknown","Declared disabled","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared disabled","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared disabled","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared disabled","No function","140","120","[c]","[c]"
"Leaver CS","2021","Unknown","Declared disabled","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared disabled","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared non-disabled","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared non-disabled","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared non-disabled","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared non-disabled","No function","400","340","[c]","[c]"
"Leaver CS","2021","Unknown","Declared non-disabled","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared non-disabled","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared non-disabled","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Undeclared","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Undeclared","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Unknown","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Unknown","No function","100","80","[c]","[c]"
"Leaver CS","2021","Unknown","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Unknown","Unknown","510","490","35200","32400"
"Leaver CS","2022","AA/AO","Declared disabled","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Declared disabled","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Declared disabled","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Declared disabled","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Declared disabled","Debt","30","20","[c]","[c]"
"Leaver CS","2022","AA/AO","Declared disabled","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Declared disabled","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Declared disabled","Grants Management","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Declared disabled","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Declared disabled","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Declared disabled","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Declared disabled","No function","1110","960","21210","21260"
"Leaver CS","2022","AA/AO","Declared disabled","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Declared disabled","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Declared disabled","Security","40","40","[c]","[c]"
"Leaver CS","2022","AA/AO","Declared disabled","Unknown","480","380","21460","21260"
"Leaver CS","2022","AA/AO","Declared non-disabled","Analysis","70","60","[c]","[c]"
"Leaver CS","2022","AA/AO","Declared non-disabled","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Declared non-disabled","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Declared non-disabled","Counter Fraud","70","50","21910","21260"
"Leaver CS","2022","AA/AO","Declared non-disabled","Debt","140","110","21270","21260"
"Leaver CS","2022","AA/AO","Declared non-disabled","Digital, Data & Technology","60","60","20470","20920"
"Leaver CS","2022","AA/AO","Declared non-disabled","Finance","50","50","21820","21490"
"Leaver CS","2022","AA/AO","Declared non-disabled","Grants Management","90","80","21180","21300"
"Leaver CS","2022","AA/AO","Declared non-disabled","Human Resources","80","70","21370","21170"
"Leaver CS","2022","AA/AO","Declared non-disabled","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Declared non-disabled","Legal","70","60","22290","22200"
"Leaver CS","2022","AA/AO","Declared non-disabled","No function","6270","5610","21160","21260"
"Leaver CS","2022","AA/AO","Declared non-disabled","Project Delivery","40","30","[c]","[c]"
"Leaver CS","2022","AA/AO","Declared non-disabled","Property","120","100","20760","20850"
"Leaver CS","2022","AA/AO","Declared non-disabled","Security","280","270","28020","25000"
"Leaver CS","2022","AA/AO","Declared non-disabled","Unknown","2670","2270","21730","21380"
"Leaver CS","2022","AA/AO","Undeclared","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Undeclared","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Undeclared","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Undeclared","Debt","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Undeclared","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Undeclared","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Undeclared","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Undeclared","No function","670","550","21190","21090"
"Leaver CS","2022","AA/AO","Undeclared","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Undeclared","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Undeclared","Security","40","30","[c]","[c]"
"Leaver CS","2022","AA/AO","Undeclared","Unknown","220","190","21190","21260"
"Leaver CS","2022","AA/AO","Unknown","Analysis","40","40","[c]","[c]"
"Leaver CS","2022","AA/AO","Unknown","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Unknown","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Unknown","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Unknown","Debt","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Unknown","Digital, Data & Technology","30","30","[c]","[c]"
"Leaver CS","2022","AA/AO","Unknown","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Unknown","Human Resources","30","30","[c]","[c]"
"Leaver CS","2022","AA/AO","Unknown","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Unknown","Legal","60","50","21830","22200"
"Leaver CS","2022","AA/AO","Unknown","No function","2450","2290","21430","21260"
"Leaver CS","2022","AA/AO","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Unknown","Property","100","100","21030","21100"
"Leaver CS","2022","AA/AO","Unknown","Security","160","160","29100","25190"
"Leaver CS","2022","AA/AO","Unknown","Unknown","1670","1480","22000","21260"
"Leaver CS","2022","EO","Declared disabled","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Declared disabled","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Declared disabled","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Declared disabled","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Declared disabled","Debt","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Declared disabled","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Declared disabled","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Declared disabled","Grants Management","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Declared disabled","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Declared disabled","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Declared disabled","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Declared disabled","No function","850","720","27900","27570"
"Leaver CS","2022","EO","Declared disabled","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Declared disabled","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Declared disabled","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Declared disabled","Unknown","270","230","27520","27570"
"Leaver CS","2022","EO","Declared non-disabled","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Declared non-disabled","Commercial","30","30","[c]","[c]"
"Leaver CS","2022","EO","Declared non-disabled","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Declared non-disabled","Counter Fraud","120","80","27830","27570"
"Leaver CS","2022","EO","Declared non-disabled","Debt","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Declared non-disabled","Digital, Data & Technology","120","110","27400","26900"
"Leaver CS","2022","EO","Declared non-disabled","Finance","50","50","[c]","[c]"
"Leaver CS","2022","EO","Declared non-disabled","Grants Management","40","40","[c]","[c]"
"Leaver CS","2022","EO","Declared non-disabled","Human Resources","90","80","27120","27570"
"Leaver CS","2022","EO","Declared non-disabled","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Declared non-disabled","Legal","80","70","28140","27570"
"Leaver CS","2022","EO","Declared non-disabled","No function","4090","3650","27820","27570"
"Leaver CS","2022","EO","Declared non-disabled","Project Delivery","150","140","23120","23250"
"Leaver CS","2022","EO","Declared non-disabled","Property","60","50","25850","26190"
"Leaver CS","2022","EO","Declared non-disabled","Security","80","70","33100","29250"
"Leaver CS","2022","EO","Declared non-disabled","Unknown","1630","1390","28080","27570"
"Leaver CS","2022","EO","Undeclared","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Undeclared","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Undeclared","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Undeclared","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Undeclared","Debt","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Undeclared","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Undeclared","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Undeclared","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Undeclared","No function","300","270","27360","27570"
"Leaver CS","2022","EO","Undeclared","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Undeclared","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Undeclared","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Undeclared","Unknown","140","120","28710","27570"
"Leaver CS","2022","EO","Unknown","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Unknown","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Unknown","Communications","40","[c]","[c]","[c]"
"Leaver CS","2022","EO","Unknown","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Unknown","Debt","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Unknown","Digital, Data & Technology","70","70","27320","27130"
"Leaver CS","2022","EO","Unknown","Finance","30","[c]","[c]","[c]"
"Leaver CS","2022","EO","Unknown","Human Resources","50","40","[c]","[c]"
"Leaver CS","2022","EO","Unknown","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Unknown","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Unknown","No function","1010","910","28260","27570"
"Leaver CS","2022","EO","Unknown","Project Delivery","50","40","[c]","[c]"
"Leaver CS","2022","EO","Unknown","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Unknown","Security","30","30","[c]","[c]"
"Leaver CS","2022","EO","Unknown","Unknown","850","780","27540","27570"
"Leaver CS","2022","G6/G7","Declared disabled","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Declared disabled","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Declared disabled","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Declared disabled","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Declared disabled","Digital, Data & Technology","30","30","[c]","[c]"
"Leaver CS","2022","G6/G7","Declared disabled","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Declared disabled","Grants Management","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Declared disabled","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Declared disabled","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Declared disabled","Legal","30","30","[c]","[c]"
"Leaver CS","2022","G6/G7","Declared disabled","No function","110","100","58630","56490"
"Leaver CS","2022","G6/G7","Declared disabled","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Declared disabled","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Declared disabled","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Declared disabled","Unknown","70","50","[c]","[c]"
"Leaver CS","2022","G6/G7","Declared non-disabled","Analysis","70","60","60080","57230"
"Leaver CS","2022","G6/G7","Declared non-disabled","Commercial","50","40","[c]","[c]"
"Leaver CS","2022","G6/G7","Declared non-disabled","Communications","40","40","[c]","[c]"
"Leaver CS","2022","G6/G7","Declared non-disabled","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Declared non-disabled","Digital, Data & Technology","240","230","59780","58850"
"Leaver CS","2022","G6/G7","Declared non-disabled","Finance","70","60","58930","57080"
"Leaver CS","2022","G6/G7","Declared non-disabled","Grants Management","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Declared non-disabled","Human Resources","70","70","57200","54700"
"Leaver CS","2022","G6/G7","Declared non-disabled","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Declared non-disabled","Legal","230","200","59770","57540"
"Leaver CS","2022","G6/G7","Declared non-disabled","No function","1140","1060","59300","56100"
"Leaver CS","2022","G6/G7","Declared non-disabled","Project Delivery","170","150","59700","58280"
"Leaver CS","2022","G6/G7","Declared non-disabled","Property","50","50","59500","58250"
