"Status","Year","Sexual_orientation","Function_of_post","Age","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2021","LGBO","Human Resources","16-19","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Human Resources","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Human Resources","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Human Resources","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Human Resources","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Human Resources","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Human Resources","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Internal Audit","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Internal Audit","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Internal Audit","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Internal Audit","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Internal Audit","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Legal","16-19","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Legal","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Legal","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Legal","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Legal","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Legal","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Legal","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","No function","16-19","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","No function","20-29","160","160","22830","20150"
"Leaver CS","2021","LGBO","No function","30-39","70","60","[c]","[c]"
"Leaver CS","2021","LGBO","No function","40-49","40","40","[c]","[c]"
"Leaver CS","2021","LGBO","No function","50-59","40","30","[c]","[c]"
"Leaver CS","2021","LGBO","No function","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","No function","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","No function","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Project Delivery","16-19","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Project Delivery","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Project Delivery","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Project Delivery","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Project Delivery","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Project Delivery","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Project Delivery","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Property","16-19","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Property","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Property","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Property","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Property","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Property","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Property","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Security","16-19","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Security","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Security","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Security","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Security","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Security","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Security","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Unknown","16-19","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Unknown","20-29","90","90","26030","24180"
"Leaver CS","2021","LGBO","Unknown","30-39","60","60","32900","27570"
"Leaver CS","2021","LGBO","Unknown","40-49","30","30","[c]","[c]"
"Leaver CS","2021","LGBO","Unknown","50-59","40","40","[c]","[c]"
"Leaver CS","2021","LGBO","Unknown","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Unknown","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Analysis","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Analysis","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Analysis","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Analysis","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Commercial","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Commercial","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Commercial","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Commercial","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Commercial","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Commercial","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Communications","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Communications","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Communications","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Communications","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Communications","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Communications","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Counter Fraud","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Counter Fraud","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Counter Fraud","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Counter Fraud","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Digital, Data & Technology","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Digital, Data & Technology","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Digital, Data & Technology","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Digital, Data & Technology","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Digital, Data & Technology","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Digital, Data & Technology","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Finance","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Finance","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Finance","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Finance","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Finance","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Finance","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Human Resources","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Human Resources","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Human Resources","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Human Resources","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Human Resources","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Human Resources","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Internal Audit","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Internal Audit","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Legal","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Legal","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Legal","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Legal","50-59","40","30","[c]","[c]"
"Leaver CS","2021","Undeclared","Legal","60-64","30","30","[c]","[c]"
"Leaver CS","2021","Undeclared","Legal","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","No function","16-19","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","No function","20-29","100","100","27520","21570"
"Leaver CS","2021","Undeclared","No function","30-39","130","120","33960","31950"
"Leaver CS","2021","Undeclared","No function","40-49","90","80","[c]","[c]"
"Leaver CS","2021","Undeclared","No function","50-59","160","140","34100","26410"
"Leaver CS","2021","Undeclared","No function","60-64","180","140","35060","27390"
"Leaver CS","2021","Undeclared","No function","65+","150","100","26230","22080"
"Leaver CS","2021","Undeclared","Project Delivery","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Project Delivery","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Project Delivery","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Project Delivery","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Project Delivery","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Project Delivery","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Property","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Property","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Property","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Property","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Property","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Property","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Security","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Security","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Security","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Security","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Security","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Unknown","20-29","60","60","28600","26810"
"Leaver CS","2021","Undeclared","Unknown","30-39","60","60","35070","28420"
"Leaver CS","2021","Undeclared","Unknown","40-49","60","60","31290","26670"
"Leaver CS","2021","Undeclared","Unknown","50-59","190","170","32530","27570"
"Leaver CS","2021","Undeclared","Unknown","60-64","170","150","32150","27570"
"Leaver CS","2021","Undeclared","Unknown","65+","160","120","27570","25630"
"Leaver CS","2021","Undeclared","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Analysis","20-29","70","70","24090","21980"
"Leaver CS","2021","Unknown","Analysis","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Analysis","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Analysis","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Analysis","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Analysis","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Commercial","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Commercial","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Commercial","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Commercial","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Commercial","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Commercial","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Communications","20-29","30","30","[c]","[c]"
"Leaver CS","2021","Unknown","Communications","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Communications","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Communications","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Communications","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Communications","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Counter Fraud","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Counter Fraud","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Counter Fraud","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Counter Fraud","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Counter Fraud","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Debt","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Digital, Data & Technology","20-29","50","50","29080","25910"
"Leaver CS","2021","Unknown","Digital, Data & Technology","30-39","30","30","[c]","[c]"
"Leaver CS","2021","Unknown","Digital, Data & Technology","40-49","30","30","[c]","[c]"
"Leaver CS","2021","Unknown","Digital, Data & Technology","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Digital, Data & Technology","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Digital, Data & Technology","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Finance","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Finance","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Finance","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Finance","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Finance","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Finance","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Grants Management","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Grants Management","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Grants Management","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Grants Management","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Grants Management","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Grants Management","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Human Resources","16-19","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Human Resources","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Human Resources","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Human Resources","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Human Resources","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Human Resources","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Human Resources","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Internal Audit","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Internal Audit","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Internal Audit","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Legal","20-29","30","30","[c]","[c]"
"Leaver CS","2021","Unknown","Legal","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Legal","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Legal","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Legal","60-64","30","30","[c]","[c]"
"Leaver CS","2021","Unknown","Legal","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","No function","16-19","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","No function","20-29","1000","980","23410","21570"
"Leaver CS","2021","Unknown","No function","30-39","540","510","32680","28660"
"Leaver CS","2021","Unknown","No function","40-49","390","350","34920","25890"
"Leaver CS","2021","Unknown","No function","50-59","540","500","36820","31760"
"Leaver CS","2021","Unknown","No function","60-64","270","220","36730","32160"
"Leaver CS","2021","Unknown","No function","65+","280","200","36760","27130"
"Leaver CS","2021","Unknown","No function","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Project Delivery","16-19","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Project Delivery","20-29","60","60","22810","21020"
"Leaver CS","2021","Unknown","Project Delivery","30-39","30","30","[c]","[c]"
"Leaver CS","2021","Unknown","Project Delivery","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Project Delivery","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Project Delivery","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Project Delivery","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Property","16-19","[c]","[c]","[c]","[c]"
