"Status","Year","Sexual_orientation","Organisation","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Undeclared","Registers of Scotland","Scottish Government","70","70","34700","30840"
"In post","2022","Undeclared","Revenue Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Rural Payments Agency","Department for Environment, Food and Rural Affairs","110","100","26200","24920"
"In post","2022","Undeclared","Scottish Courts and Tribunals Service","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Scottish Fiscal Commission","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Scottish Forestry","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Scottish Government (excl. agencies)","Scottish Government","410","400","45290","40810"
"In post","2022","Undeclared","Scottish Housing Regulator","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Scottish Prison Service","Scottish Government","60","60","35490","35000"
"In post","2022","Undeclared","Scottish Public Pensions Agency","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Serious Fraud Office","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Social Security Scotland","Scottish Government","70","70","33170","27940"
"In post","2022","Undeclared","Standards and Testing Agency","Department for Education","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Student Awards Agency for Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Submarine Delivery Agency","Ministry of Defence","200","190","43470","41040"
"In post","2022","Undeclared","Teaching Regulation Agency","Department for Education","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","The Insolvency Service","Department for Business, Energy and Industrial Strategy","60","60","39110","36060"
"In post","2022","Undeclared","The National Archives","The National Archives","60","60","35260","30830"
"In post","2022","Undeclared","Transport Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","UK Export Finance","UK Export Finance","30","30","[c]","[c]"
"In post","2022","Undeclared","UK Health Security Agency","Department of Health and Social Care","610","540","43400","38070"
"In post","2022","Undeclared","UK Hydrographic Office","Ministry of Defence","70","60","36240","33290"
"In post","2022","Undeclared","UK Space Agency","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","UK Statistics Authority","UK Statistics Authority","250","230","33690","30810"
"In post","2022","Undeclared","UK Supreme Court","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Valuation Office Agency","HM Revenue and Customs","350","320","37360","33370"
"In post","2022","Undeclared","Vehicle Certification Agency","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Veterinary Medicines Directorate","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Water Services Regulation Authority","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Welsh Government (excl. agencies)","Welsh Government","700","660","43120","38160"
"In post","2022","Undeclared","Wilton Park","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Accountant in Bankruptcy","Scottish Government","30","30","[c]","[c]"
"In post","2022","Unknown","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","140","130","28150","24250"
"In post","2022","Unknown","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","310","280","29870","25840"
"In post","2022","Unknown","Attorney General's Office","Attorney General's Departments","30","30","[c]","[c]"
"In post","2022","Unknown","Cabinet Office (excl. agencies)","Cabinet Office","4210","4170","46840","34550"
"In post","2022","Unknown","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","350","340","34100","30220"
"In post","2022","Unknown","Charity Commission","Charity Commission","190","180","32890","29160"
"In post","2022","Unknown","Companies House","Department for Business, Energy and Industrial Strategy","230","210","27670","22740"
"In post","2022","Unknown","Competition and Markets Authority","Competition and Markets Authority","30","30","[c]","[c]"
"In post","2022","Unknown","Criminal Injuries Compensation Authority","Ministry of Justice","80","80","25900","25120"
"In post","2022","Unknown","Crown Commercial Service","Cabinet Office","140","140","38770","38330"
"In post","2022","Unknown","Crown Office and Procurator Fiscal Service","Scottish Government","110","100","45080","42570"
"In post","2022","Unknown","Crown Prosecution Service","Attorney General's Departments","1390","1250","43680","48080"
"In post","2022","Unknown","Defence Electronics and Components Agency","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Defence Equipment and Support","Ministry of Defence","720","690","33690","31730"
"In post","2022","Unknown","Defence Science and Technology Laboratory","Ministry of Defence","3510","3370","41070","38110"
"In post","2022","Unknown","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","480","480","46230","40050"
"In post","2022","Unknown","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","160","160","46680","49300"
"In post","2022","Unknown","Department for Education (excl. agencies)","Department for Education","820","790","44040","40230"
"In post","2022","Unknown","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","960","930","41530","37720"
"In post","2022","Unknown","Department for International Trade","Department for International Trade","790","790","45180","39440"
"In post","2022","Unknown","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","360","350","45910","40050"
"In post","2022","Unknown","Department for Transport (excl. agencies)","Department for Transport","680","660","43890","42470"
"In post","2022","Unknown","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","17950","15540","27480","27570"
"In post","2022","Unknown","Disclosure Scotland","Scottish Government","100","90","25670","23230"
"In post","2022","Unknown","Driver and Vehicle Licensing Agency","Department for Transport","750","670","24360","21840"
"In post","2022","Unknown","Driver and Vehicle Standards Agency","Department for Transport","1050","1010","27510","26470"
"In post","2022","Unknown","Education and Skills Funding Agency","Department for Education","340","330","42490","39000"
"In post","2022","Unknown","Education Scotland","Scottish Government","120","110","54580","54340"
"In post","2022","Unknown","Estyn","Estyn","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","FCDO Services","Foreign, Commonwealth and Development Office","120","120","41080","40570"
"In post","2022","Unknown","Food Standards Agency","Food Standards Agency","240","220","32490","27990"
"In post","2022","Unknown","Food Standards Scotland","Scottish Government","110","110","35260","31540"
"In post","2022","Unknown","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","1320","1290","48400","51500"
"In post","2022","Unknown","Forestry and Land Scotland","Scottish Government","650","620","31990","28980"
"In post","2022","Unknown","Government Actuary's Department","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Government Internal Audit Agency","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Government Legal Department","Attorney General's Departments","540","490","58430","63730"
"In post","2022","Unknown","Government Property Agency","Cabinet Office","40","40","[c]","[c]"
"In post","2022","Unknown","Health and Safety Executive","Department for Work and Pensions","230","220","41570","39330"
"In post","2022","Unknown","HM Courts and Tribunals Service","Ministry of Justice","2130","1980","25840","23720"
"In post","2022","Unknown","HM Crown Prosecution Service Inspectorate","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","HM Land Registry","HM Land Registry","1840","1700","28790","27130"
"In post","2022","Unknown","HM Prison and Probation Service","Ministry of Justice","11500","10610","28660","27380"
"In post","2022","Unknown","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","20770","19150","30290","26820"
"In post","2022","Unknown","HM Treasury (excl. agencies)","HM Treasury","60","50","47210","41890"
"In post","2022","Unknown","Home Office","Home Office","4430","4290","32340","27370"
"In post","2022","Unknown","Institute for Apprenticeships and Technical Education","Department for Education","80","70","45120","49960"
"In post","2022","Unknown","Intellectual Property Office","Department for Business, Energy and Industrial Strategy","530","500","37580","30770"
"In post","2022","Unknown","Legal Aid Agency","Ministry of Justice","80","70","25550","20970"
"In post","2022","Unknown","Maritime and Coastguard Agency","Department for Transport","110","110","31820","26840"
"In post","2022","Unknown","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","290","280","50740","44430"
"In post","2022","Unknown","Ministry of Defence (excl. agencies)","Ministry of Defence","3780","3650","33290","29250"
"In post","2022","Unknown","Ministry of Justice (excl. agencies)","Ministry of Justice","1080","1060","41270","36290"
"In post","2022","Unknown","National Crime Agency","National Crime Agency","710","680","41710","39840"
"In post","2022","Unknown","National Records of Scotland","Scottish Government","210","200","33170","27230"
"In post","2022","Unknown","National Savings and Investments","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Northern Ireland Office","Northern Ireland Office","60","60","45090","39230"
"In post","2022","Unknown","Office for Budget Responsibility","HM Treasury","[c]","[c]","[c]","[c]"
