"Status","Year","Ethnicity","Sex","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"New entrant CS","2022","Mixed","Male","Debt","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Mixed","Male","Digital, Data & Technology","30","30","[c]","[c]"
"New entrant CS","2022","Mixed","Male","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Mixed","Male","Grants Management","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Mixed","Male","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Mixed","Male","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Mixed","Male","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Mixed","Male","No function","400","390","29110","27170"
"New entrant CS","2022","Mixed","Male","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Mixed","Male","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Mixed","Male","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Mixed","Male","Unknown","40","40","[c]","[c]"
"New entrant CS","2022","Other ethnicity","Female","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other ethnicity","Female","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other ethnicity","Female","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other ethnicity","Female","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other ethnicity","Female","Debt","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other ethnicity","Female","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other ethnicity","Female","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other ethnicity","Female","Grants Management","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other ethnicity","Female","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other ethnicity","Female","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other ethnicity","Female","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other ethnicity","Female","No function","170","170","28280","27270"
"New entrant CS","2022","Other ethnicity","Female","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other ethnicity","Female","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other ethnicity","Female","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other ethnicity","Female","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other ethnicity","Male","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other ethnicity","Male","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other ethnicity","Male","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other ethnicity","Male","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other ethnicity","Male","Debt","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other ethnicity","Male","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other ethnicity","Male","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other ethnicity","Male","Grants Management","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other ethnicity","Male","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other ethnicity","Male","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other ethnicity","Male","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other ethnicity","Male","No function","120","110","29960","27970"
"New entrant CS","2022","Other ethnicity","Male","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other ethnicity","Male","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other ethnicity","Male","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other ethnicity","Male","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Female","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Female","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Female","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Female","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Female","Debt","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Female","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Female","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Female","Grants Management","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Female","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Female","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Female","No function","300","280","29820","27570"
"New entrant CS","2022","Undeclared","Female","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Female","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Female","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Female","Unknown","30","30","[c]","[c]"
"New entrant CS","2022","Undeclared","Male","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Male","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Male","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Male","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Male","Debt","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Male","Digital, Data & Technology","70","60","40540","37040"
"New entrant CS","2022","Undeclared","Male","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Male","Grants Management","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Male","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Male","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Male","No function","320","300","30830","27570"
"New entrant CS","2022","Undeclared","Male","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Male","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Male","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Male","Unknown","60","60","31270","27230"
"New entrant CS","2022","Unknown","Female","Analysis","120","100","34480","30950"
"New entrant CS","2022","Unknown","Female","Commercial","200","170","52170","53360"
"New entrant CS","2022","Unknown","Female","Communications","270","240","30610","26820"
"New entrant CS","2022","Unknown","Female","Counter Fraud","170","160","27100","26590"
"New entrant CS","2022","Unknown","Female","Debt","160","150","21450","21250"
"New entrant CS","2022","Unknown","Female","Digital, Data & Technology","260","240","36720","33370"
"New entrant CS","2022","Unknown","Female","Finance","180","140","35560","32790"
"New entrant CS","2022","Unknown","Female","Grants Management","190","180","21510","21300"
"New entrant CS","2022","Unknown","Female","Human Resources","170","150","31840","27670"
"New entrant CS","2022","Unknown","Female","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","Female","Legal","70","60","38870","37230"
"New entrant CS","2022","Unknown","Female","No function","7240","6800","26940","24800"
"New entrant CS","2022","Unknown","Female","Project Delivery","170","160","33790","31620"
"New entrant CS","2022","Unknown","Female","Property","200","190","27870","24120"
"New entrant CS","2022","Unknown","Female","Security","70","70","27940","25540"
"New entrant CS","2022","Unknown","Female","Unknown","2450","2330","29240","27230"
"New entrant CS","2022","Unknown","Male","Analysis","140","120","35490","30710"
"New entrant CS","2022","Unknown","Male","Commercial","210","180","61460","65000"
"New entrant CS","2022","Unknown","Male","Communications","270","250","29120","26590"
"New entrant CS","2022","Unknown","Male","Counter Fraud","150","150","28760","26590"
"New entrant CS","2022","Unknown","Male","Debt","120","120","21390","21250"
"New entrant CS","2022","Unknown","Male","Digital, Data & Technology","430","410","37220","33290"
"New entrant CS","2022","Unknown","Male","Finance","150","130","33790","30450"
"New entrant CS","2022","Unknown","Male","Grants Management","140","140","21630","21300"
"New entrant CS","2022","Unknown","Male","Human Resources","110","100","36870","29830"
"New entrant CS","2022","Unknown","Male","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","Male","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","Male","No function","5010","4820","27760","25710"
"New entrant CS","2022","Unknown","Male","Project Delivery","260","250","32050","30730"
"New entrant CS","2022","Unknown","Male","Property","220","210","32490","26240"
"New entrant CS","2022","Unknown","Male","Security","270","270","27220","25000"
"New entrant CS","2022","Unknown","Male","Unknown","2200","2110","30230","27230"
"New entrant CS","2022","Unknown","Unknown","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2022","White","Female","Analysis","480","460","32770","30710"
"New entrant CS","2022","White","Female","Commercial","270","260","33140","31000"
"New entrant CS","2022","White","Female","Communications","400","390","33020","27960"
"New entrant CS","2022","White","Female","Counter Fraud","510","490","26390","26590"
"New entrant CS","2022","White","Female","Debt","320","310","21720","21250"
"New entrant CS","2022","White","Female","Digital, Data & Technology","610","590","35950","33080"
"New entrant CS","2022","White","Female","Finance","350","330","33240","29360"
"New entrant CS","2022","White","Female","Grants Management","90","90","21540","21300"
"New entrant CS","2022","White","Female","Human Resources","600","570","32220","28000"
"New entrant CS","2022","White","Female","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2022","White","Female","Legal","560","540","35340","28280"
"New entrant CS","2022","White","Female","No function","13830","13210","27970","25000"
"New entrant CS","2022","White","Female","Project Delivery","570","550","33430","30250"
"New entrant CS","2022","White","Female","Property","270","260","30820","26030"
"New entrant CS","2022","White","Female","Security","140","140","28360","26350"
"New entrant CS","2022","White","Female","Unknown","2400","2310","30670","27230"
"New entrant CS","2022","White","Male","Analysis","490","480","34530","31000"
"New entrant CS","2022","White","Male","Commercial","190","190","34400","32000"
"New entrant CS","2022","White","Male","Communications","280","270","31850","26820"
"New entrant CS","2022","White","Male","Counter Fraud","460","460","27400","26590"
"New entrant CS","2022","White","Male","Debt","190","190","22010","21250"
"New entrant CS","2022","White","Male","Digital, Data & Technology","980","970","38470","35300"
"New entrant CS","2022","White","Male","Finance","260","250","33530","29360"
"New entrant CS","2022","White","Male","Grants Management","80","80","22480","21300"
"New entrant CS","2022","White","Male","Human Resources","230","220","33650","29920"
"New entrant CS","2022","White","Male","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2022","White","Male","Legal","260","250","39230","38000"
"New entrant CS","2022","White","Male","No function","8860","8700","28740","26310"
"New entrant CS","2022","White","Male","Project Delivery","740","730","37630","33840"
"New entrant CS","2022","White","Male","Property","320","320","35570","33000"
"New entrant CS","2022","White","Male","Security","340","330","29890","25540"
"New entrant CS","2022","White","Male","Unknown","1860","1820","31470","27230"
"Notes","Summary figures are suppressed when information relates to less than 30 civil servants for FTE or Headcount, and less than 50 civil servants for median and mean salary (shown as [c]). Additionally, zero responses have been suppressed for GPDR protected characteristics. Figures are rounded to the nearest 10, or £10 as appropriate.","","","","","","",""
"Data source","All figures are aggregated from the Cabinet Office Annual Civil Service Employment Survey collection. https://www.gov.uk/government/collections/civil-service-statistics","","","","","","",""
"Version","Generated on 2022-07-26, with GIT 03ee02c.","","","","","","",""
"Data column","Description","","","","","","",""
"Status","Employment status of the civil servants.","","","","","","",""
"","In post - includes staff that were in post on the reference date (31 March).","","","","","","",""
"","New entrant CS - includes new entrants to the Civil Service over the year (1 April to 31 March).","","","","","","",""
"","Leaver CS - includes leavers from the Civil Service over the year (1 April to 31 March). This includes employees who have an Unknown leaving cause.","","","","","","",""
"","Leaver Dept. - includes leavers from the department over the year (1 April to 31 March), who did not leave the Civil Service.","","","","","","",""
"","Organisation specific notes on status: In late June 2021 around 7,000 employees from Community Rehabilitation Companies were transferred in from the private sector to HM Prison and Probation Service, counting as entrants. The Defence Electronics and Components Agency does not record the date in which their employees first enter the Civil Service and so entrants data is not available. HM Land Registry do not record where their departing employees transfer to and so are unable to identify those that transfer to another Civil Service department.","","","","","","",""
"Year","Year of data collection (as at March 31st).","","","","","","",""
"Function_of_post","Functions relate to the post occupied by the person and are not dependent on qualifications the individual may have.","","","","","","",""
"","Home Office, Welsh Government and Royal Fleet Auxiliary did not report any functions information for their employees.","","","","","","",""
"","Of the 20 bodies under the Scottish Government, 16 did not report any functions information for their employees.","","","","","","",""
"Sex","Self reported sex.","","","","","","",""
"","""Unknown"" accounts for employees who were recorded with an unknown sex.","","","","","","",""
"Ethnicity","Self reported ethnicity. For consistency with Civil Service Statistics, 'Chinese' is shown separately in the 2021 figures, but counted within 'Asian' for 2022.","","","","","","",""
"","""Undeclared"" accounts for employees who have actively declared that they do not want to disclose their ethnicity and ""Unknown"" accounts for employees who have not made an active declaration about their ethnicity.","","","","","","",""
"Headcount","Total number of civil servants (rounded to nearest 10).","","","","","","",""
"FTE","Total full-time equivalent employment numbers (rounded to nearest 10).","","","","","","",""
"Mean_salary","Average salary (mean, rounded to nearest £10). For part-time employees, salaries represent the full-time equivalent earnings, while for full-time employees they are the actual annual gross salaries.","","","","","","",""
"Median_salary","Median salary (rounded to nearest £10). For part-time employees, salaries represent the full-time equivalent earnings, while for full-time employees they are the actual annual gross salaries.","","","","","","",""
