"Status","Year","Function_of_post","Parent_department","Responsibility_level","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Project Delivery","Competition and Markets Authority","EO","40","40","[c]","[c]"
"In post","2022","Project Delivery","Competition and Markets Authority","G6/G7","180","170","66280","62980"
"In post","2022","Project Delivery","Competition and Markets Authority","SCS","70","60","108750","99920"
"In post","2022","Project Delivery","Competition and Markets Authority","SEO/HEO","90","80","36140","34870"
"In post","2022","Project Delivery","Department for Business, Energy and Industrial Strategy","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Department for Business, Energy and Industrial Strategy","EO","70","70","25810","24650"
"In post","2022","Project Delivery","Department for Business, Energy and Industrial Strategy","G6/G7","310","300","53860","52930"
"In post","2022","Project Delivery","Department for Business, Energy and Industrial Strategy","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Department for Business, Energy and Industrial Strategy","SEO/HEO","450","440","37800","39580"
"In post","2022","Project Delivery","Department for Digital, Culture, Media and Sport","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Department for Digital, Culture, Media and Sport","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Department for Digital, Culture, Media and Sport","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Department for Education","EO","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Department for Education","G6/G7","40","40","[c]","[c]"
"In post","2022","Project Delivery","Department for Education","SEO/HEO","40","40","[c]","[c]"
"In post","2022","Project Delivery","Department for Environment, Food and Rural Affairs","AA/AO","50","50","21230","21300"
"In post","2022","Project Delivery","Department for Environment, Food and Rural Affairs","EO","70","60","25230","24920"
"In post","2022","Project Delivery","Department for Environment, Food and Rural Affairs","G6/G7","60","50","51530","49350"
"In post","2022","Project Delivery","Department for Environment, Food and Rural Affairs","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Department for Environment, Food and Rural Affairs","SEO/HEO","150","140","33290","35900"
"In post","2022","Project Delivery","Department for International Trade","EO","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Department for International Trade","G6/G7","30","30","[c]","[c]"
"In post","2022","Project Delivery","Department for International Trade","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Department for International Trade","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Department for Levelling Up, Housing and Communities","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Department for Levelling Up, Housing and Communities","EO","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Department for Levelling Up, Housing and Communities","G6/G7","90","80","54170","53130"
"In post","2022","Project Delivery","Department for Levelling Up, Housing and Communities","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Department for Levelling Up, Housing and Communities","SEO/HEO","90","80","35920","35960"
"In post","2022","Project Delivery","Department for Transport","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Department for Transport","EO","80","70","26910","26470"
"In post","2022","Project Delivery","Department for Transport","G6/G7","220","220","58530","54760"
"In post","2022","Project Delivery","Department for Transport","SCS","40","40","[c]","[c]"
"In post","2022","Project Delivery","Department for Transport","SEO/HEO","250","250","37240","35980"
"In post","2022","Project Delivery","Department for Work and Pensions","AA/AO","360","300","21900","21260"
"In post","2022","Project Delivery","Department for Work and Pensions","EO","220","190","28180","27570"
"In post","2022","Project Delivery","Department for Work and Pensions","G6/G7","240","230","54750","53360"
"In post","2022","Project Delivery","Department for Work and Pensions","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Department for Work and Pensions","SEO/HEO","640","580","35180","34340"
"In post","2022","Project Delivery","Department of Health and Social Care","EO","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Department of Health and Social Care","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Department of Health and Social Care","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Estyn","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Estyn","EO","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Estyn","G6/G7","70","70","74040","75480"
"In post","2022","Project Delivery","Estyn","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Estyn","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Food Standards Agency","EO","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Food Standards Agency","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Food Standards Agency","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Foreign, Commonwealth and Development Office","AA/AO","40","30","[c]","[c]"
"In post","2022","Project Delivery","Foreign, Commonwealth and Development Office","EO","110","110","27970","26120"
"In post","2022","Project Delivery","Foreign, Commonwealth and Development Office","G6/G7","1210","1180","58480","56220"
"In post","2022","Project Delivery","Foreign, Commonwealth and Development Office","SCS","80","80","82050","77650"
"In post","2022","Project Delivery","Foreign, Commonwealth and Development Office","SEO/HEO","450","440","37560","38600"
"In post","2022","Project Delivery","HM Land Registry","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","HM Land Registry","EO","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","HM Land Registry","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","HM Land Registry","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","HM Land Registry","SEO/HEO","110","100","38710","38550"
"In post","2022","Project Delivery","HM Revenue and Customs","AA/AO","70","60","22720","22080"
"In post","2022","Project Delivery","HM Revenue and Customs","EO","510","460","28320","26820"
"In post","2022","Project Delivery","HM Revenue and Customs","G6/G7","1730","1680","60800","58600"
"In post","2022","Project Delivery","HM Revenue and Customs","SCS","140","140","84420","78420"
"In post","2022","Project Delivery","HM Revenue and Customs","SEO/HEO","2620","2480","38050","40180"
"In post","2022","Project Delivery","HM Treasury","EO","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","HM Treasury","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","HM Treasury","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","HM Treasury","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Ministry of Defence","AA/AO","50","50","20680","21170"
"In post","2022","Project Delivery","Ministry of Defence","EO","2170","2080","23200","23250"
"In post","2022","Project Delivery","Ministry of Defence","G6/G7","2630","2570","56390","54800"
"In post","2022","Project Delivery","Ministry of Defence","SCS","130","130","94840","86820"
"In post","2022","Project Delivery","Ministry of Defence","SEO/HEO","7590","7320","36270","36640"
"In post","2022","Project Delivery","Ministry of Defence","Unknown","1610","1570","41060","39850"
"In post","2022","Project Delivery","Ministry of Justice","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Ministry of Justice","EO","30","30","[c]","[c]"
"In post","2022","Project Delivery","Ministry of Justice","G6/G7","80","80","56440","55200"
"In post","2022","Project Delivery","Ministry of Justice","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Ministry of Justice","SEO/HEO","170","170","37030","36050"
"In post","2022","Project Delivery","National Crime Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","National Crime Agency","EO","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","National Crime Agency","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","National Crime Agency","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","National Crime Agency","SEO/HEO","60","60","43050","44910"
"In post","2022","Project Delivery","Northern Ireland Office","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Northern Ireland Office","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Office for Standards in Education, Children's Services and Skills","EO","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Office for Standards in Education, Children's Services and Skills","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Office for Standards in Education, Children's Services and Skills","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Office for Standards in Education, Children's Services and Skills","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Office of Gas and Electricity Markets","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Office of Gas and Electricity Markets","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Office of Gas and Electricity Markets","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Office of Rail and Road","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Scottish Government","EO","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Scottish Government","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Scottish Government","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","UK Export Finance","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","UK Export Finance","EO","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","UK Export Finance","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","UK Export Finance","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","UK Export Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","UK Statistics Authority","EO","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","UK Statistics Authority","G6/G7","90","90","53370","50210"
"In post","2022","Project Delivery","UK Statistics Authority","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","UK Statistics Authority","SEO/HEO","140","130","34100","36840"
"In post","2022","Project Delivery","Water Services Regulation Authority","EO","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Water Services Regulation Authority","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Water Services Regulation Authority","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Welsh Government","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Welsh Government","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Property","Attorney General's Departments","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Property","Attorney General's Departments","EO","[c]","[c]","[c]","[c]"
"In post","2022","Property","Attorney General's Departments","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Property","Attorney General's Departments","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Property","Cabinet Office","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Property","Cabinet Office","EO","30","30","[c]","[c]"
"In post","2022","Property","Cabinet Office","G6/G7","200","200","58410","56520"
"In post","2022","Property","Cabinet Office","SCS","30","30","[c]","[c]"
"In post","2022","Property","Cabinet Office","SEO/HEO","150","150","36370","36700"
"In post","2022","Property","Chancellor's other departments","EO","[c]","[c]","[c]","[c]"
"In post","2022","Property","Chancellor's other departments","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Property","Chancellor's other departments","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Property","Charity Commission","EO","[c]","[c]","[c]","[c]"
"In post","2022","Property","Competition and Markets Authority","EO","[c]","[c]","[c]","[c]"
"In post","2022","Property","Competition and Markets Authority","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Property","Competition and Markets Authority","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Property","Competition and Markets Authority","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Property","Department for Business, Energy and Industrial Strategy","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Property","Department for Business, Energy and Industrial Strategy","EO","[c]","[c]","[c]","[c]"
"In post","2022","Property","Department for Business, Energy and Industrial Strategy","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Property","Department for Business, Energy and Industrial Strategy","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Property","Department for Business, Energy and Industrial Strategy","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Property","Department for Digital, Culture, Media and Sport","EO","[c]","[c]","[c]","[c]"
"In post","2022","Property","Department for Digital, Culture, Media and Sport","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Property","Department for Digital, Culture, Media and Sport","SEO/HEO","[c]","[c]","[c]","[c]"
