"Status","Year","Sex","Organisation","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Male","Medicines and Healthcare Products Regulatory Agency","Digital, Data and Technology","40","40","[c]","[c]"
"In post","2021","Male","Medicines and Healthcare Products Regulatory Agency","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Male","Medicines and Healthcare Products Regulatory Agency","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Male","Medicines and Healthcare Products Regulatory Agency","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Male","Medicines and Healthcare Products Regulatory Agency","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Male","Medicines and Healthcare Products Regulatory Agency","Medicine","60","60","68140","68210"
"In post","2021","Male","Medicines and Healthcare Products Regulatory Agency","Operational Delivery","70","60","38790","34150"
"In post","2021","Male","Medicines and Healthcare Products Regulatory Agency","Other","140","140","50440","42340"
"In post","2021","Male","Medicines and Healthcare Products Regulatory Agency","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Male","Medicines and Healthcare Products Regulatory Agency","Property","[c]","[c]","[c]","[c]"
"In post","2021","Male","Medicines and Healthcare Products Regulatory Agency","Science and Engineering","100","100","55380","53830"
"In post","2021","Male","Medicines and Healthcare Products Regulatory Agency","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Male","Medicines and Healthcare Products Regulatory Agency","Unknown","70","70","39670","32960"
"In post","2021","Male","Met Office","Commercial","90","90","44490","46100"
"In post","2021","Male","Met Office","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Male","Met Office","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Male","Met Office","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Male","Met Office","Digital, Data and Technology","260","260","38020","34620"
"In post","2021","Male","Met Office","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Male","Met Office","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Male","Met Office","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Male","Met Office","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Male","Met Office","Operational Delivery","150","150","42070","39890"
"In post","2021","Male","Met Office","Other","[c]","[c]","[c]","[c]"
"In post","2021","Male","Met Office","Project Delivery","100","100","41830","39750"
"In post","2021","Male","Met Office","Property","[c]","[c]","[c]","[c]"
"In post","2021","Male","Met Office","Science and Engineering","620","600","41600","40140"
"In post","2021","Male","Ministry of Defence (excl. agencies)","Commercial","380","370","37350","35000"
"In post","2021","Male","Ministry of Defence (excl. agencies)","Communications","270","270","33790","29200"
"In post","2021","Male","Ministry of Defence (excl. agencies)","Digital, Data and Technology","420","420","33760","33000"
"In post","2021","Male","Ministry of Defence (excl. agencies)","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Male","Ministry of Defence (excl. agencies)","Finance","640","630","41370","37000"
"In post","2021","Male","Ministry of Defence (excl. agencies)","Human Resources","510","500","32730","27720"
"In post","2021","Male","Ministry of Defence (excl. agencies)","Intelligence Analysis","600","590","37770","36140"
"In post","2021","Male","Ministry of Defence (excl. agencies)","Internal Audit","70","70","39990","35720"
"In post","2021","Male","Ministry of Defence (excl. agencies)","Knowledge and Information Management","350","350","36170","33300"
"In post","2021","Male","Ministry of Defence (excl. agencies)","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Male","Ministry of Defence (excl. agencies)","Medicine","440","410","54710","43110"
"In post","2021","Male","Ministry of Defence (excl. agencies)","Operational Delivery","180","180","29810","27680"
"In post","2021","Male","Ministry of Defence (excl. agencies)","Operational Research","70","70","45530","43970"
"In post","2021","Male","Ministry of Defence (excl. agencies)","Other","5060","4980","26840","22920"
"In post","2021","Male","Ministry of Defence (excl. agencies)","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Male","Ministry of Defence (excl. agencies)","Policy","520","520","47720","45200"
"In post","2021","Male","Ministry of Defence (excl. agencies)","Project Delivery","2260","2230","42450","40580"
"In post","2021","Male","Ministry of Defence (excl. agencies)","Property","1540","1510","32150","33300"
"In post","2021","Male","Ministry of Defence (excl. agencies)","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Male","Ministry of Defence (excl. agencies)","Science and Engineering","1600","1570","32450","27370"
"In post","2021","Male","Ministry of Defence (excl. agencies)","Security","5140","5050","29320","25540"
"In post","2021","Male","Ministry of Defence (excl. agencies)","Statistics","80","80","39240","36300"
"In post","2021","Male","Ministry of Defence (excl. agencies)","Unknown","990","980","35250","33300"
"In post","2021","Male","Ministry of Housing, Communities and Local Government (excl. agencies)","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Male","Ministry of Housing, Communities and Local Government (excl. agencies)","Communications","50","50","41910","37250"
"In post","2021","Male","Ministry of Housing, Communities and Local Government (excl. agencies)","Digital, Data and Technology","40","40","[c]","[c]"
"In post","2021","Male","Ministry of Housing, Communities and Local Government (excl. agencies)","Economics","50","50","45100","35060"
"In post","2021","Male","Ministry of Housing, Communities and Local Government (excl. agencies)","Finance","40","40","[c]","[c]"
"In post","2021","Male","Ministry of Housing, Communities and Local Government (excl. agencies)","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Male","Ministry of Housing, Communities and Local Government (excl. agencies)","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Male","Ministry of Housing, Communities and Local Government (excl. agencies)","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Male","Ministry of Housing, Communities and Local Government (excl. agencies)","Operational Delivery","200","190","38100","34070"
"In post","2021","Male","Ministry of Housing, Communities and Local Government (excl. agencies)","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Male","Ministry of Housing, Communities and Local Government (excl. agencies)","Planning","50","50","[c]","[c]"
"In post","2021","Male","Ministry of Housing, Communities and Local Government (excl. agencies)","Policy","620","610","49320","53130"
"In post","2021","Male","Ministry of Housing, Communities and Local Government (excl. agencies)","Project Delivery","40","40","[c]","[c]"
"In post","2021","Male","Ministry of Housing, Communities and Local Government (excl. agencies)","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Male","Ministry of Housing, Communities and Local Government (excl. agencies)","Security","[c]","[c]","[c]","[c]"
"In post","2021","Male","Ministry of Housing, Communities and Local Government (excl. agencies)","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Male","Ministry of Housing, Communities and Local Government (excl. agencies)","Statistics","60","60","48710","48200"
"In post","2021","Male","Ministry of Justice (excl. agencies)","Commercial","50","50","[c]","[c]"
"In post","2021","Male","Ministry of Justice (excl. agencies)","Communications","40","40","[c]","[c]"
"In post","2021","Male","Ministry of Justice (excl. agencies)","Digital, Data and Technology","540","540","49200","47590"
"In post","2021","Male","Ministry of Justice (excl. agencies)","Economics","30","30","[c]","[c]"
"In post","2021","Male","Ministry of Justice (excl. agencies)","Finance","260","250","47730","45100"
"In post","2021","Male","Ministry of Justice (excl. agencies)","Human Resources","210","200","42080","37170"
"In post","2021","Male","Ministry of Justice (excl. agencies)","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Male","Ministry of Justice (excl. agencies)","Legal","30","30","[c]","[c]"
"In post","2021","Male","Ministry of Justice (excl. agencies)","Operational Delivery","490","490","35880","31730"
"In post","2021","Male","Ministry of Justice (excl. agencies)","Operational Research","60","60","47950","46550"
"In post","2021","Male","Ministry of Justice (excl. agencies)","Other","[c]","[c]","[c]","[c]"
"In post","2021","Male","Ministry of Justice (excl. agencies)","Policy","240","240","45830","38480"
"In post","2021","Male","Ministry of Justice (excl. agencies)","Project Delivery","100","100","43930","39530"
"In post","2021","Male","Ministry of Justice (excl. agencies)","Property","80","80","43560","36270"
"In post","2021","Male","Ministry of Justice (excl. agencies)","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Male","Ministry of Justice (excl. agencies)","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Male","Ministry of Justice (excl. agencies)","Statistics","50","50","44370","40480"
"In post","2021","Male","Ministry of Justice (excl. agencies)","Unknown","60","60","39560","39870"
"In post","2021","Male","National Crime Agency","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Male","National Crime Agency","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Male","National Crime Agency","Digital, Data and Technology","150","150","43230","40810"
"In post","2021","Male","National Crime Agency","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Male","National Crime Agency","Human Resources","70","70","40030","38730"
"In post","2021","Male","National Crime Agency","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Male","National Crime Agency","Operational Delivery","2680","2660","41940","40170"
"In post","2021","Male","National Crime Agency","Project Delivery","40","40","[c]","[c]"
"In post","2021","Male","National Crime Agency","Property","[c]","[c]","[c]","[c]"
"In post","2021","Male","National Crime Agency","Security","[c]","[c]","[c]","[c]"
"In post","2021","Male","National Infrastructure Commission","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Male","National Infrastructure Commission","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Male","National Infrastructure Commission","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Male","National Infrastructure Commission","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Male","National Records of Scotland","Unknown","200","190","34260","31150"
"In post","2021","Male","National Savings and Investments","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Male","National Savings and Investments","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Male","National Savings and Investments","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Male","National Savings and Investments","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Male","National Savings and Investments","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Male","National Savings and Investments","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Male","National Savings and Investments","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Male","National Savings and Investments","Other","40","40","[c]","[c]"
"In post","2021","Male","National Savings and Investments","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Male","National Savings and Investments","Property","[c]","[c]","[c]","[c]"
"In post","2021","Male","National Savings and Investments","Security","[c]","[c]","[c]","[c]"
"In post","2021","Male","National Savings and Investments","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Male","Northern Ireland Office","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Male","Northern Ireland Office","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Male","Northern Ireland Office","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Male","Northern Ireland Office","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Male","Northern Ireland Office","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Male","Northern Ireland Office","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Male","Northern Ireland Office","Other","[c]","[c]","[c]","[c]"
"In post","2021","Male","Northern Ireland Office","Policy","50","50","[c]","[c]"
"In post","2021","Male","Northern Ireland Office","Property","[c]","[c]","[c]","[c]"
"In post","2021","Male","Northern Ireland Office","Security","[c]","[c]","[c]","[c]"
"In post","2021","Male","Office for Budget Responsibility","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Male","Office for Budget Responsibility","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Male","Office for Standards in Education, Children's Services and Skills","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Male","Office for Standards in Education, Children's Services and Skills","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Male","Office for Standards in Education, Children's Services and Skills","Digital, Data and Technology","50","50","45020","39850"
