"Status","Year","Sexual_orientation","Function_of_post","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Undeclared","Project Delivery","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Project Delivery","Wilton Park","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Property","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Property","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Property","Defence Equipment and Support","30","30","[c]","[c]"
"In post","2022","Undeclared","Property","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Property","Department for Education (excl. agencies)","50","50","[c]","[c]"
"In post","2022","Undeclared","Property","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Property","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Property","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Property","Department for Work and Pensions (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Property","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Property","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Property","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Property","FCDO Services","40","40","[c]","[c]"
"In post","2022","Undeclared","Property","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Property","Government Property Agency","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Property","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Property","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Property","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Property","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Property","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Property","Met Office","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Property","Ministry of Defence (excl. agencies)","200","190","33900","33300"
"In post","2022","Undeclared","Property","Ministry of Justice (excl. agencies)","40","40","[c]","[c]"
"In post","2022","Undeclared","Property","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Property","National Savings and Investments","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Property","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Property","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Property","Scottish Prison Service","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Property","The National Archives","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Property","Valuation Office Agency","320","300","36950","33370"
"In post","2022","Undeclared","Property","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Property","Wilton Park","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Security","Cabinet Office (excl. agencies)","70","70","37500","33300"
"In post","2022","Undeclared","Security","Companies House","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Security","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Security","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Security","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Security","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Security","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Security","Department for Levelling Up, Housing and Communities (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Security","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Security","Department for Work and Pensions (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Security","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Security","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Security","FCDO Services","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Security","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Security","Foreign, Commonwealth and Development Office (excl. agencies)","40","40","[c]","[c]"
"In post","2022","Undeclared","Security","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Security","HM Prison and Probation Service","80","80","43270","41020"
"In post","2022","Undeclared","Security","HM Revenue and Customs (excl. agencies)","30","30","[c]","[c]"
"In post","2022","Undeclared","Security","Ministry of Defence (excl. agencies)","770","750","33980","37210"
"In post","2022","Undeclared","Security","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Security","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Security","Registers of Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Security","Serious Fraud Office","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Security","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Security","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Security","UK Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Unknown","Accountant in Bankruptcy","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Unknown","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Unknown","Department for Work and Pensions (excl. agencies)","110","100","36880","35310"
"In post","2022","Undeclared","Unknown","Department of Health and Social Care (excl. agencies)","80","80","43700","40650"
"In post","2022","Undeclared","Unknown","Disclosure Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Unknown","Education Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Unknown","FCDO Services","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Unknown","Food Standards Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Unknown","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Unknown","Forestry and Land Scotland","40","30","[c]","[c]"
"In post","2022","Undeclared","Unknown","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Unknown","Home Office","3910","3590","33220","28850"
"In post","2022","Undeclared","Unknown","Met Office","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Unknown","Ministry of Defence (excl. agencies)","1880","1810","32110","26670"
"In post","2022","Undeclared","Unknown","National Records of Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Unknown","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Unknown","Revenue Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Unknown","Scottish Fiscal Commission","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Unknown","Scottish Forestry","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Unknown","Scottish Government (excl. agencies)","410","400","45290","40810"
"In post","2022","Undeclared","Unknown","Scottish Housing Regulator","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Unknown","Scottish Prison Service","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Unknown","Scottish Public Pensions Agency","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Unknown","Social Security Scotland","70","70","33170","27940"
"In post","2022","Undeclared","Unknown","Student Awards Agency for Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Unknown","Transport Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Unknown","Veterinary Medicines Directorate","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Unknown","Welsh Government (excl. agencies)","700","660","43120","38160"
"In post","2022","Unknown","Analysis","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Analysis","Centre for Environment, Fisheries and Aquaculture Science","270","250","34510","30220"
"In post","2022","Unknown","Analysis","Companies House","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Analysis","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Analysis","Defence Science and Technology Laboratory","370","360","41430","38700"
"In post","2022","Unknown","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Analysis","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Analysis","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Analysis","Department for International Trade","50","50","41150","32730"
"In post","2022","Unknown","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Analysis","Department for Transport (excl. agencies)","60","60","43290","38410"
"In post","2022","Unknown","Analysis","Department for Work and Pensions (excl. agencies)","80","80","42500","40140"
"In post","2022","Unknown","Analysis","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Analysis","Estyn","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Analysis","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Analysis","Government Actuary's Department","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Analysis","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Analysis","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Analysis","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Analysis","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Analysis","HM Revenue and Customs (excl. agencies)","100","90","40780","37930"
"In post","2022","Unknown","Analysis","Intellectual Property Office","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Analysis","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Analysis","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Analysis","Ministry of Justice (excl. agencies)","100","90","43060","37280"
"In post","2022","Unknown","Analysis","Office for Budget Responsibility","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Analysis","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Analysis","Office of Gas and Electricity Markets","50","40","[c]","[c]"
"In post","2022","Unknown","Analysis","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Analysis","Office of the Public Guardian","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Analysis","Registers of Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Analysis","Rural Payments Agency","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Analysis","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Analysis","The Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Analysis","UK Debt Management Office","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Analysis","UK Space Agency","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Analysis","UK Statistics Authority","420","400","38320","36840"
"In post","2022","Unknown","Analysis","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Analysis","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Analysis","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Commercial","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Commercial","Cabinet Office (excl. agencies)","1300","1280","69810","64500"
"In post","2022","Unknown","Commercial","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Commercial","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Commercial","Crown Commercial Service","70","70","35520","33180"
"In post","2022","Unknown","Commercial","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Commercial","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
