"Status","Year","Parent_department","Sex","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","HM Land Registry","Female","Property","[c]","[c]","[c]","[c]"
"In post","2022","HM Land Registry","Male","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","HM Land Registry","Male","Communications","[c]","[c]","[c]","[c]"
"In post","2022","HM Land Registry","Male","Digital, Data and Technology","450","440","38060","38450"
"In post","2022","HM Land Registry","Male","Finance","40","40","[c]","[c]"
"In post","2022","HM Land Registry","Male","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","HM Land Registry","Male","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","HM Land Registry","Male","Legal","90","90","52050","57000"
"In post","2022","HM Land Registry","Male","Operational Delivery","1900","1780","29220","27130"
"In post","2022","HM Land Registry","Male","Other","[c]","[c]","[c]","[c]"
"In post","2022","HM Land Registry","Male","Project Delivery","70","70","40230","38550"
"In post","2022","HM Land Registry","Male","Property","[c]","[c]","[c]","[c]"
"In post","2022","HM Revenue and Customs","Female","Commercial","50","50","38100","40520"
"In post","2022","HM Revenue and Customs","Female","Communications","150","140","45890","41510"
"In post","2022","HM Revenue and Customs","Female","Digital, Data and Technology","780","750","41590","40180"
"In post","2022","HM Revenue and Customs","Female","Economics","40","40","[c]","[c]"
"In post","2022","HM Revenue and Customs","Female","Finance","600","540","40690","37930"
"In post","2022","HM Revenue and Customs","Female","Human Resources","530","490","42990","40520"
"In post","2022","HM Revenue and Customs","Female","Intelligence Analysis","120","110","37650","33370"
"In post","2022","HM Revenue and Customs","Female","Internal Audit","40","40","[c]","[c]"
"In post","2022","HM Revenue and Customs","Female","International Trade","60","60","37650","33370"
"In post","2022","HM Revenue and Customs","Female","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","HM Revenue and Customs","Female","Legal","1710","1590","35090","33080"
"In post","2022","HM Revenue and Customs","Female","Operational Delivery","17610","15070","27030","22080"
"In post","2022","HM Revenue and Customs","Female","Operational Research","60","50","43340","40180"
"In post","2022","HM Revenue and Customs","Female","Other","250","220","43830","40520"
"In post","2022","HM Revenue and Customs","Female","Policy","560","520","53620","55210"
"In post","2022","HM Revenue and Customs","Female","Project Delivery","1500","1430","45060","40520"
"In post","2022","HM Revenue and Customs","Female","Property","1120","1000","35020","31670"
"In post","2022","HM Revenue and Customs","Female","Security","80","70","39640","40520"
"In post","2022","HM Revenue and Customs","Female","Social Research","80","70","46630","43430"
"In post","2022","HM Revenue and Customs","Female","Statistics","140","140","45750","40520"
"In post","2022","HM Revenue and Customs","Female","Tax","9260","8610","33950","33080"
"In post","2022","HM Revenue and Customs","Female","Unknown","2580","2470","35750","33080"
"In post","2022","HM Revenue and Customs","Male","Commercial","30","30","[c]","[c]"
"In post","2022","HM Revenue and Customs","Male","Communications","90","90","46770","40910"
"In post","2022","HM Revenue and Customs","Male","Digital, Data and Technology","1380","1340","42050","40180"
"In post","2022","HM Revenue and Customs","Male","Economics","100","90","48860","40520"
"In post","2022","HM Revenue and Customs","Male","Finance","550","530","42840","40520"
"In post","2022","HM Revenue and Customs","Male","Human Resources","270","260","41190","37930"
"In post","2022","HM Revenue and Customs","Male","Intelligence Analysis","140","130","39560","37930"
"In post","2022","HM Revenue and Customs","Male","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","HM Revenue and Customs","Male","International Trade","70","70","35370","33370"
"In post","2022","HM Revenue and Customs","Male","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","HM Revenue and Customs","Male","Legal","2120","2070","36320","33370"
"In post","2022","HM Revenue and Customs","Male","Operational Delivery","12270","11720","27720","26590"
"In post","2022","HM Revenue and Customs","Male","Operational Research","90","90","46570","40520"
"In post","2022","HM Revenue and Customs","Male","Other","220","210","46950","41100"
"In post","2022","HM Revenue and Customs","Male","Policy","580","550","56610","58600"
"In post","2022","HM Revenue and Customs","Male","Project Delivery","1290","1260","46770","40520"
"In post","2022","HM Revenue and Customs","Male","Property","1430","1370","38350","33810"
"In post","2022","HM Revenue and Customs","Male","Security","120","120","46130","40520"
"In post","2022","HM Revenue and Customs","Male","Social Research","40","30","[c]","[c]"
"In post","2022","HM Revenue and Customs","Male","Statistics","210","200","45550","40520"
"In post","2022","HM Revenue and Customs","Male","Tax","10280","9960","36150","33370"
"In post","2022","HM Revenue and Customs","Male","Unknown","2700","2670","35590","33080"
"In post","2022","HM Treasury","Female","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","HM Treasury","Female","Communications","30","30","[c]","[c]"
"In post","2022","HM Treasury","Female","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2022","HM Treasury","Female","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","HM Treasury","Female","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","HM Treasury","Female","Economics","80","80","45190","39980"
"In post","2022","HM Treasury","Female","Finance","60","50","46910","44450"
"In post","2022","HM Treasury","Female","Human Resources","80","70","44320","42580"
"In post","2022","HM Treasury","Female","Internal Audit","160","150","48160","44380"
"In post","2022","HM Treasury","Female","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","HM Treasury","Female","Legal","[c]","[c]","[c]","[c]"
"In post","2022","HM Treasury","Female","Operational Delivery","140","140","31790","29150"
"In post","2022","HM Treasury","Female","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","HM Treasury","Female","Other","[c]","[c]","[c]","[c]"
"In post","2022","HM Treasury","Female","Policy","690","670","48840","52500"
"In post","2022","HM Treasury","Female","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","HM Treasury","Female","Security","[c]","[c]","[c]","[c]"
"In post","2022","HM Treasury","Female","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","HM Treasury","Female","Tax","[c]","[c]","[c]","[c]"
"In post","2022","HM Treasury","Male","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","HM Treasury","Male","Communications","[c]","[c]","[c]","[c]"
"In post","2022","HM Treasury","Male","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2022","HM Treasury","Male","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","HM Treasury","Male","Digital, Data and Technology","50","50","[c]","[c]"
"In post","2022","HM Treasury","Male","Economics","140","140","46530","37900"
"In post","2022","HM Treasury","Male","Finance","60","60","51130","55760"
"In post","2022","HM Treasury","Male","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","HM Treasury","Male","Internal Audit","180","170","53090","49750"
"In post","2022","HM Treasury","Male","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","HM Treasury","Male","Legal","[c]","[c]","[c]","[c]"
"In post","2022","HM Treasury","Male","Operational Delivery","60","60","48470","36480"
"In post","2022","HM Treasury","Male","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","HM Treasury","Male","Other","[c]","[c]","[c]","[c]"
"In post","2022","HM Treasury","Male","Policy","790","780","50400","52500"
"In post","2022","HM Treasury","Male","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","HM Treasury","Male","Security","[c]","[c]","[c]","[c]"
"In post","2022","HM Treasury","Male","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","HM Treasury","Male","Tax","[c]","[c]","[c]","[c]"
"In post","2022","Home Office","Female","Commercial","50","50","39810","41950"
"In post","2022","Home Office","Female","Communications","120","110","48550","45750"
"In post","2022","Home Office","Female","Counter Fraud","120","110","25810","25040"
"In post","2022","Home Office","Female","Digital, Data and Technology","510","500","48880","44950"
"In post","2022","Home Office","Female","Economics","40","40","[c]","[c]"
"In post","2022","Home Office","Female","Finance","170","160","45540","42120"
"In post","2022","Home Office","Female","Human Resources","430","410","42650","37450"
"In post","2022","Home Office","Female","Intelligence Analysis","680","630","29250","27370"
"In post","2022","Home Office","Female","Knowledge and Information Management","50","50","40250","37720"
"In post","2022","Home Office","Female","Operational Delivery","13070","11680","27760","25410"
"In post","2022","Home Office","Female","Operational Research","40","30","[c]","[c]"
"In post","2022","Home Office","Female","Other","1010","960","35080","30830"
"In post","2022","Home Office","Female","Policy","1320","1270","49660","43970"
"In post","2022","Home Office","Female","Project Delivery","880","850","44030","41950"
"In post","2022","Home Office","Female","Property","[c]","[c]","[c]","[c]"
"In post","2022","Home Office","Female","Science and Engineering","70","60","47670","41960"
"In post","2022","Home Office","Female","Security","130","120","33980","30820"
"In post","2022","Home Office","Female","Social Research","110","110","45170","43560"
"In post","2022","Home Office","Female","Statistics","70","60","34660","30130"
"In post","2022","Home Office","Male","Commercial","50","50","39940","41530"
"In post","2022","Home Office","Male","Communications","60","60","49420","45750"
