"Status","Year","Sexual_orientation","Function_of_post","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Undeclared","Unknown","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Unknown","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Unknown","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Unknown","Department for Education","50","40","[c]","[c]"
"In post","2021","Undeclared","Unknown","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Unknown","Department for Work and Pensions","7190","6390","27080","27570"
"In post","2021","Undeclared","Unknown","Department of Health and Social Care","130","130","51370","46460"
"In post","2021","Undeclared","Unknown","Foreign, Commonwealth and Development Office","40","40","[c]","[c]"
"In post","2021","Undeclared","Unknown","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Unknown","Home Office","4230","3880","32750","28650"
"In post","2021","Undeclared","Unknown","Ministry of Defence","2100","2020","31340","26670"
"In post","2021","Undeclared","Unknown","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Unknown","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Unknown","Scottish Government","440","430","43030","38540"
"In post","2021","Undeclared","Unknown","Welsh Government","680","650","42710","37410"
"In post","2021","Unknown","Analysis","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Analysis","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Analysis","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Analysis","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Analysis","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Analysis","Department for Business, Energy and Industrial Strategy","50","50","36650","35640"
"In post","2021","Unknown","Analysis","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Analysis","Department for Education","70","60","47960","49860"
"In post","2021","Unknown","Analysis","Department for Environment, Food and Rural Affairs","290","270","34330","29750"
"In post","2021","Unknown","Analysis","Department for International Trade","60","60","39670","31800"
"In post","2021","Unknown","Analysis","Department for Transport","80","80","40820","36610"
"In post","2021","Unknown","Analysis","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Analysis","Department of Health and Social Care","140","140","52890","53360"
"In post","2021","Unknown","Analysis","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Analysis","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Analysis","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Analysis","HM Revenue and Customs","150","150","39690","36160"
"In post","2021","Unknown","Analysis","HM Treasury","30","30","[c]","[c]"
"In post","2021","Unknown","Analysis","Ministry of Defence","70","70","42180","41250"
"In post","2021","Unknown","Analysis","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Analysis","Ministry of Justice","60","60","41800","40480"
"In post","2021","Unknown","Analysis","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Analysis","Office of Gas and Electricity Markets","30","30","[c]","[c]"
"In post","2021","Unknown","Analysis","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Analysis","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Analysis","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Analysis","United Kingdom Statistics Authority","480","460","35740","32040"
"In post","2021","Unknown","Analysis","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Analysis","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Commercial","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Commercial","Cabinet Office","1070","1060","70560","64500"
"In post","2021","Unknown","Commercial","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Commercial","Department for Business, Energy and Industrial Strategy","200","190","43040","40140"
"In post","2021","Unknown","Commercial","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Commercial","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Commercial","Department for Environment, Food and Rural Affairs","40","30","[c]","[c]"
"In post","2021","Unknown","Commercial","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Commercial","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Commercial","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Commercial","Department of Health and Social Care","130","120","48690","40650"
"In post","2021","Unknown","Commercial","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Commercial","Foreign, Commonwealth and Development Office","30","30","[c]","[c]"
"In post","2021","Unknown","Commercial","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Commercial","HM Revenue and Customs","50","50","36650","35000"
"In post","2021","Unknown","Commercial","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Commercial","Ministry of Defence","140","140","35840","33280"
"In post","2021","Unknown","Commercial","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Commercial","Ministry of Justice","90","90","40740","37920"
"In post","2021","Unknown","Commercial","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Commercial","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Commercial","Other Cabinet Office Agencies","90","90","31730","30150"
"In post","2021","Unknown","Commercial","Scottish Government","50","50","27820","25870"
"In post","2021","Unknown","Commercial","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Commercial","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Commercial","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Commercial","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Communications","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Communications","Cabinet Office","120","120","47830","42320"
"In post","2021","Unknown","Communications","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Communications","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Communications","Department for Business, Energy and Industrial Strategy","80","80","41580","39650"
"In post","2021","Unknown","Communications","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Communications","Department for Education","80","80","38610","36660"
"In post","2021","Unknown","Communications","Department for Environment, Food and Rural Affairs","100","100","35840","33510"
"In post","2021","Unknown","Communications","Department for International Trade","40","40","[c]","[c]"
"In post","2021","Unknown","Communications","Department for Transport","70","70","40800","35430"
"In post","2021","Unknown","Communications","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Communications","Department of Health and Social Care","120","120","45150","40650"
"In post","2021","Unknown","Communications","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Communications","Foreign, Commonwealth and Development Office","40","40","[c]","[c]"
"In post","2021","Unknown","Communications","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Communications","HM Revenue and Customs","1600","1550","28200","25560"
"In post","2021","Unknown","Communications","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Communications","Ministry of Defence","100","100","37440","33300"
"In post","2021","Unknown","Communications","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Communications","Ministry of Justice","40","30","[c]","[c]"
"In post","2021","Unknown","Communications","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Communications","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Communications","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Communications","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Communications","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Communications","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Communications","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Communications","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Communications","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Communications","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Communications","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Communications","United Kingdom Statistics Authority","40","30","[c]","[c]"
"In post","2021","Unknown","Communications","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Communications","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Communications","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Counter Fraud","Attorney General's Departments","60","60","46380","40270"
"In post","2021","Unknown","Counter Fraud","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Counter Fraud","Department for Business, Energy and Industrial Strategy","120","110","39210","39170"
"In post","2021","Unknown","Counter Fraud","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Counter Fraud","HM Revenue and Customs","2320","2180","30970","29570"
"In post","2021","Unknown","Debt","HM Revenue and Customs","2030","1860","22170","20140"
"In post","2021","Unknown","Debt","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Digital, Data & Technology","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Digital, Data & Technology","Cabinet Office","130","130","49140","49700"
"In post","2021","Unknown","Digital, Data & Technology","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Digital, Data & Technology","Department for Business, Energy and Industrial Strategy","1040","990","40090","39650"
"In post","2021","Unknown","Digital, Data & Technology","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Digital, Data & Technology","Department for Education","160","160","40970","37100"
"In post","2021","Unknown","Digital, Data & Technology","Department for Environment, Food and Rural Affairs","120","120","40350","37720"
"In post","2021","Unknown","Digital, Data & Technology","Department for International Trade","40","40","[c]","[c]"
"In post","2021","Unknown","Digital, Data & Technology","Department for Transport","180","180","36360","31630"
"In post","2021","Unknown","Digital, Data & Technology","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Digital, Data & Technology","Department of Health and Social Care","140","140","44680","40650"
"In post","2021","Unknown","Digital, Data & Technology","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Digital, Data & Technology","Foreign, Commonwealth and Development Office","100","100","40580","39190"
"In post","2021","Unknown","Digital, Data & Technology","HM Land Registry","220","210","35620","33840"
"In post","2021","Unknown","Digital, Data & Technology","HM Revenue and Customs","910","880","38650","33060"
"In post","2021","Unknown","Digital, Data & Technology","HM Treasury","30","30","[c]","[c]"
"In post","2021","Unknown","Digital, Data & Technology","Ministry of Defence","90","90","35210","33300"
"In post","2021","Unknown","Digital, Data & Technology","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Digital, Data & Technology","Ministry of Justice","220","220","50910","52850"
"In post","2021","Unknown","Digital, Data & Technology","National Crime Agency","40","40","[c]","[c]"
"In post","2021","Unknown","Digital, Data & Technology","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Digital, Data & Technology","Office of Gas and Electricity Markets","30","30","[c]","[c]"
