"Status","Year","Sexual_orientation","Profession_of_post","Disability","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2021","Undeclared","Security","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Security","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Security","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Security","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Social Research","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Social Research","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Statistics","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Statistics","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Unknown","Declared disabled","90","70","27370","26890"
"Leaver CS","2021","Undeclared","Unknown","Declared non-disabled","280","230","30850","27240"
"Leaver CS","2021","Undeclared","Unknown","Undeclared","70","60","29990","27570"
"Leaver CS","2021","Undeclared","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Commercial","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Commercial","Unknown","30","30","[c]","[c]"
"Leaver CS","2021","Unknown","Communications","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Communications","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Communications","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Communications","Unknown","70","60","35470","32940"
"Leaver CS","2021","Unknown","Corporate Finance","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Corporate Finance","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Counter Fraud","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Counter Fraud","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Digital, Data and Technology","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Digital, Data and Technology","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Digital, Data and Technology","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Digital, Data and Technology","Unknown","140","140","41720","38220"
"Leaver CS","2021","Unknown","Economics","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Economics","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Economics","Unknown","40","40","[c]","[c]"
"Leaver CS","2021","Unknown","Finance","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Finance","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Finance","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Finance","Unknown","30","30","[c]","[c]"
"Leaver CS","2021","Unknown","Human Resources","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Human Resources","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Human Resources","Unknown","40","40","[c]","[c]"
"Leaver CS","2021","Unknown","Inspector of Education and Training","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Inspector of Education and Training","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Intelligence Analysis","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Intelligence Analysis","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Intelligence Analysis","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Intelligence Analysis","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","International Trade","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","International Trade","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Knowledge and Information Management","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Knowledge and Information Management","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Legal","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Legal","Declared non-disabled","50","40","53820","55610"
"Leaver CS","2021","Unknown","Legal","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Legal","Unknown","60","50","52880","55000"
"Leaver CS","2021","Unknown","Medicine","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Medicine","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Medicine","Unknown","50","40","51370","37890"
"Leaver CS","2021","Unknown","Operational Delivery","Declared disabled","50","40","[c]","[c]"
"Leaver CS","2021","Unknown","Operational Delivery","Declared non-disabled","410","330","30560","23940"
"Leaver CS","2021","Unknown","Operational Delivery","Undeclared","220","170","[c]","[c]"
"Leaver CS","2021","Unknown","Operational Delivery","Unknown","1890","1770","26120","21870"
"Leaver CS","2021","Unknown","Operational Research","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Operational Research","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Other","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Other","Declared non-disabled","50","50","[c]","[c]"
"Leaver CS","2021","Unknown","Other","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Other","Unknown","360","350","32530","29930"
"Leaver CS","2021","Unknown","Planning","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Planning Inspectors","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Planning Inspectors","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Policy","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Policy","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Policy","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Policy","Unknown","270","260","40110","33510"
"Leaver CS","2021","Unknown","Project Delivery","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Project Delivery","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Project Delivery","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Project Delivery","Unknown","60","60","[c]","[c]"
"Leaver CS","2021","Unknown","Property","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Property","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Property","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Property","Unknown","100","80","28060","24800"
"Leaver CS","2021","Unknown","Psychology","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Psychology","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Psychology","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Science and Engineering","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Science and Engineering","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Science and Engineering","Undeclared","40","30","[c]","[c]"
"Leaver CS","2021","Unknown","Science and Engineering","Unknown","140","130","32980","28620"
"Leaver CS","2021","Unknown","Security","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Security","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Security","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Security","Unknown","70","70","26810","24610"
"Leaver CS","2021","Unknown","Social Research","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Social Research","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Statistics","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Statistics","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Unknown","Declared disabled","740","590","25640","26890"
"Leaver CS","2021","Unknown","Unknown","Declared non-disabled","3830","3070","28530","26600"
"Leaver CS","2021","Unknown","Unknown","Undeclared","430","370","33950","29190"
"Leaver CS","2021","Unknown","Unknown","Unknown","3140","2670","33070","27570"
"Leaver CS","2021","Unknown","Veterinarian","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","Commercial","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","Commercial","Declared non-disabled","180","170","39170","36780"
"Leaver CS","2022","Heterosexual / straight","Commercial","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","Commercial","Unknown","50","40","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","Communications","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","Communications","Declared non-disabled","150","140","39970","37420"
"Leaver CS","2022","Heterosexual / straight","Communications","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","Communications","Unknown","30","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","Corporate Finance","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","Corporate Finance","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","Counter Fraud","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","Counter Fraud","Declared non-disabled","120","100","29440","27570"
"Leaver CS","2022","Heterosexual / straight","Counter Fraud","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","Digital, Data and Technology","Declared disabled","70","60","38390","34390"
"Leaver CS","2022","Heterosexual / straight","Digital, Data and Technology","Declared non-disabled","590","570","42680","40000"
"Leaver CS","2022","Heterosexual / straight","Digital, Data and Technology","Undeclared","30","30","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","Digital, Data and Technology","Unknown","100","90","41390","38150"
"Leaver CS","2022","Heterosexual / straight","Economics","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","Economics","Declared non-disabled","80","80","38270","34870"
"Leaver CS","2022","Heterosexual / straight","Economics","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","Economics","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","Finance","Declared disabled","40","40","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","Finance","Declared non-disabled","340","310","39330","33300"
"Leaver CS","2022","Heterosexual / straight","Finance","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","Finance","Unknown","50","30","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","Geography","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","Geography","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","Geography","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","Geography","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","Human Resources","Declared disabled","60","50","36110","33300"
"Leaver CS","2022","Heterosexual / straight","Human Resources","Declared non-disabled","310","290","39480","34640"
"Leaver CS","2022","Heterosexual / straight","Human Resources","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","Human Resources","Unknown","50","40","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","Inspector of Education and Training","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","Inspector of Education and Training","Declared non-disabled","90","80","66220","75500"
"Leaver CS","2022","Heterosexual / straight","Inspector of Education and Training","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","Intelligence Analysis","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","Intelligence Analysis","Declared non-disabled","80","70","31940","29250"
"Leaver CS","2022","Heterosexual / straight","Intelligence Analysis","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","Intelligence Analysis","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","Internal Audit","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","Internal Audit","Declared non-disabled","40","40","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","International Trade","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","International Trade","Declared non-disabled","30","30","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","International Trade","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","International Trade","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","Knowledge and Information Management","Declared disabled","30","30","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","Knowledge and Information Management","Declared non-disabled","230","220","35210","31400"
"Leaver CS","2022","Heterosexual / straight","Knowledge and Information Management","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","Knowledge and Information Management","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","Legal","Declared disabled","30","30","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","Legal","Declared non-disabled","240","220","55910","55000"
"Leaver CS","2022","Heterosexual / straight","Legal","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","Legal","Unknown","50","50","48660","53050"
"Leaver CS","2022","Heterosexual / straight","Medicine","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","Medicine","Declared non-disabled","220","190","59440","42120"
"Leaver CS","2022","Heterosexual / straight","Medicine","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","Medicine","Unknown","60","50","56720","40470"
"Leaver CS","2022","Heterosexual / straight","Operational Delivery","Declared disabled","1800","1550","26980","26130"
"Leaver CS","2022","Heterosexual / straight","Operational Delivery","Declared non-disabled","10600","9550","28470","27530"
"Leaver CS","2022","Heterosexual / straight","Operational Delivery","Undeclared","540","470","27020","24600"
"Leaver CS","2022","Heterosexual / straight","Operational Delivery","Unknown","590","520","31930","27610"
"Leaver CS","2022","Heterosexual / straight","Operational Research","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","Operational Research","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","Operational Research","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","Operational Research","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","Other","Declared disabled","210","190","26030","21920"
"Leaver CS","2022","Heterosexual / straight","Other","Declared non-disabled","1370","1290","28660","23760"
"Leaver CS","2022","Heterosexual / straight","Other","Undeclared","80","80","25580","21830"
"Leaver CS","2022","Heterosexual / straight","Other","Unknown","140","130","29650","26340"
"Leaver CS","2022","Heterosexual / straight","Planning","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","Planning","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","Planning","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","Planning Inspectors","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","Planning Inspectors","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","Planning Inspectors","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","Planning Inspectors","Unknown","[c]","[c]","[c]","[c]"
