"Status","Year","Ethnicity","Sexual_orientation","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2021","Chinese","Undeclared","Operational Research","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Undeclared","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Unknown","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Unknown","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Unknown","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Unknown","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Unknown","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Unknown","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Heterosexual / straight","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Heterosexual / straight","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Heterosexual / straight","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Heterosexual / straight","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Heterosexual / straight","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Heterosexual / straight","Economics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Heterosexual / straight","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Heterosexual / straight","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Heterosexual / straight","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Heterosexual / straight","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Heterosexual / straight","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Heterosexual / straight","International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Heterosexual / straight","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Heterosexual / straight","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Heterosexual / straight","Medicine","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Heterosexual / straight","Operational Delivery","90","90","[c]","[c]"
"Leaver CS","2021","Mixed","Heterosexual / straight","Operational Research","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Heterosexual / straight","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Heterosexual / straight","Planning","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Heterosexual / straight","Planning Inspectors","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Heterosexual / straight","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Heterosexual / straight","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Heterosexual / straight","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Heterosexual / straight","Psychology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Heterosexual / straight","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Heterosexual / straight","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Heterosexual / straight","Social Research","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Heterosexual / straight","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Heterosexual / straight","Unknown","80","70","27620","25120"
"Leaver CS","2021","Mixed","Heterosexual / straight","Veterinarian","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","LGBO","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","LGBO","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","LGBO","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","LGBO","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","LGBO","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","LGBO","Economics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","LGBO","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","LGBO","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","LGBO","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","LGBO","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","LGBO","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","LGBO","International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","LGBO","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","LGBO","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","LGBO","Medicine","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","LGBO","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","LGBO","Operational Research","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","LGBO","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","LGBO","Planning","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","LGBO","Planning Inspectors","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","LGBO","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","LGBO","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","LGBO","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","LGBO","Psychology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","LGBO","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","LGBO","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","LGBO","Social Research","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","LGBO","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","LGBO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","LGBO","Veterinarian","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Undeclared","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Undeclared","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Undeclared","Medicine","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Undeclared","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Undeclared","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Undeclared","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Undeclared","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Unknown","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Unknown","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Unknown","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Unknown","Medicine","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Unknown","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Unknown","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Unknown","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Unknown","Unknown","60","50","[c]","[c]"
"Leaver CS","2021","Other ethnicity","Heterosexual / straight","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","Heterosexual / straight","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","Heterosexual / straight","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","Heterosexual / straight","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","Heterosexual / straight","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","Heterosexual / straight","Economics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","Heterosexual / straight","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","Heterosexual / straight","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","Heterosexual / straight","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","Heterosexual / straight","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","Heterosexual / straight","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","Heterosexual / straight","International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","Heterosexual / straight","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","Heterosexual / straight","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","Heterosexual / straight","Medicine","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","Heterosexual / straight","Operational Delivery","30","30","[c]","[c]"
"Leaver CS","2021","Other ethnicity","Heterosexual / straight","Operational Research","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","Heterosexual / straight","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","Heterosexual / straight","Planning","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","Heterosexual / straight","Planning Inspectors","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","Heterosexual / straight","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","Heterosexual / straight","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","Heterosexual / straight","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","Heterosexual / straight","Psychology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","Heterosexual / straight","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","Heterosexual / straight","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","Heterosexual / straight","Social Research","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","Heterosexual / straight","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","Heterosexual / straight","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","Heterosexual / straight","Veterinarian","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","LGBO","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","LGBO","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","LGBO","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","LGBO","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","LGBO","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","LGBO","Economics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","LGBO","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","LGBO","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","LGBO","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","LGBO","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","LGBO","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","LGBO","International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","LGBO","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","LGBO","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","LGBO","Medicine","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","LGBO","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","LGBO","Operational Research","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","LGBO","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","LGBO","Planning","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","LGBO","Planning Inspectors","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","LGBO","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","LGBO","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","LGBO","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","LGBO","Psychology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","LGBO","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","LGBO","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","LGBO","Social Research","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","LGBO","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","LGBO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","LGBO","Veterinarian","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","Undeclared","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","Undeclared","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","Undeclared","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","Undeclared","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","Undeclared","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","Undeclared","Psychology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","Undeclared","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","Unknown","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","Unknown","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","Unknown","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Heterosexual / straight","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Heterosexual / straight","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Heterosexual / straight","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Heterosexual / straight","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Heterosexual / straight","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Heterosexual / straight","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Heterosexual / straight","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Heterosexual / straight","Operational Delivery","40","40","[c]","[c]"
"Leaver CS","2021","Undeclared","Heterosexual / straight","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Heterosexual / straight","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Heterosexual / straight","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Heterosexual / straight","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Heterosexual / straight","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Heterosexual / straight","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Heterosexual / straight","Unknown","30","30","[c]","[c]"
"Leaver CS","2021","Undeclared","LGBO","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","LGBO","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","LGBO","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","LGBO","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","LGBO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Undeclared","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Undeclared","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Undeclared","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Undeclared","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Undeclared","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Undeclared","Knowledge and Information Management","[c]","[c]","[c]","[c]"
