"Status","Year","Sexual_orientation","Function_of_post","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Undeclared","Debt","Tax","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Debt","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Digital, Data & Technology","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Digital, Data & Technology","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Digital, Data & Technology","Digital, Data and Technology","1750","1710","41010","38000"
"In post","2022","Undeclared","Digital, Data & Technology","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Digital, Data & Technology","Knowledge and Information Management","140","140","34010","32410"
"In post","2022","Undeclared","Digital, Data & Technology","Operational Delivery","40","40","[c]","[c]"
"In post","2022","Undeclared","Digital, Data & Technology","Other","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Digital, Data & Technology","Policy","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Digital, Data & Technology","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Digital, Data & Technology","Science and Engineering","190","170","39750","39650"
"In post","2022","Undeclared","Digital, Data & Technology","Security","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Digital, Data & Technology","Tax","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Digital, Data & Technology","Unknown","130","130","50500","54700"
"In post","2022","Undeclared","Finance","Commercial","60","60","37070","33730"
"In post","2022","Undeclared","Finance","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Finance","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Finance","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Finance","Economics","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Finance","Finance","920","880","41220","37590"
"In post","2022","Undeclared","Finance","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Finance","Operational Delivery","150","120","27370","22080"
"In post","2022","Undeclared","Finance","Other","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Finance","Policy","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Finance","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Finance","Property","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Finance","Security","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Finance","Tax","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Grants Management","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Grants Management","Operational Delivery","90","80","24910","21300"
"In post","2022","Undeclared","Grants Management","Policy","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Human Resources","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Human Resources","Human Resources","620","590","36140","33290"
"In post","2022","Undeclared","Human Resources","Operational Delivery","110","100","28900","27570"
"In post","2022","Undeclared","Human Resources","Other","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Human Resources","Policy","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Human Resources","Tax","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Human Resources","Unknown","60","60","41720","37300"
"In post","2022","Undeclared","Internal Audit","Internal Audit","90","80","47200","43200"
"In post","2022","Undeclared","Internal Audit","Other","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Internal Audit","Security","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Legal","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Legal","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Legal","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Legal","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Legal","Legal","430","400","58150","58590"
"In post","2022","Undeclared","Legal","Operational Delivery","120","120","26130","25480"
"In post","2022","Undeclared","Legal","Other","40","30","[c]","[c]"
"In post","2022","Undeclared","Legal","Policy","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Legal","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Legal","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Legal","Tax","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","No function","Commercial","50","40","[c]","[c]"
"In post","2022","Undeclared","No function","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","No function","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","No function","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","No function","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","No function","Economics","40","40","[c]","[c]"
"In post","2022","Undeclared","No function","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","No function","Geography","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","No function","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","No function","Inspector of Education and Training","40","40","[c]","[c]"
"In post","2022","Undeclared","No function","Intelligence Analysis","40","40","[c]","[c]"
"In post","2022","Undeclared","No function","International Trade","90","90","47560","51710"
"In post","2022","Undeclared","No function","Knowledge and Information Management","70","60","35780","33260"
"In post","2022","Undeclared","No function","Legal","200","180","46920","45960"
"In post","2022","Undeclared","No function","Medicine","110","100","82310","86360"
"In post","2022","Undeclared","No function","Operational Delivery","16830","15120","28940","27570"
"In post","2022","Undeclared","No function","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","No function","Other","570","540","32520","27570"
"In post","2022","Undeclared","No function","Planning","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","No function","Planning Inspectors","30","30","[c]","[c]"
"In post","2022","Undeclared","No function","Policy","2240","2190","46650","42470"
"In post","2022","Undeclared","No function","Project Delivery","40","40","[c]","[c]"
"In post","2022","Undeclared","No function","Property","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","No function","Psychology","80","80","34750","31180"
"In post","2022","Undeclared","No function","Science and Engineering","650","610","38880","34450"
"In post","2022","Undeclared","No function","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","No function","Tax","930","870","39720","35980"
"In post","2022","Undeclared","No function","Unknown","350","340","44080","37000"
"In post","2022","Undeclared","No function","Veterinarian","70","70","46290","47550"
"In post","2022","Undeclared","Project Delivery","Commercial","80","80","43330","39650"
"In post","2022","Undeclared","Project Delivery","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Project Delivery","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Project Delivery","Economics","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Project Delivery","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Project Delivery","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Project Delivery","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Project Delivery","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Project Delivery","Medicine","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Project Delivery","Operational Delivery","140","130","39510","37420"
"In post","2022","Undeclared","Project Delivery","Other","310","300","33560","31730"
"In post","2022","Undeclared","Project Delivery","Policy","150","140","53420","52580"
"In post","2022","Undeclared","Project Delivery","Project Delivery","1100","1040","44040","40580"
"In post","2022","Undeclared","Project Delivery","Property","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Project Delivery","Science and Engineering","430","410","41400","41230"
"In post","2022","Undeclared","Project Delivery","Security","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Project Delivery","Tax","60","50","34760","33430"
"In post","2022","Undeclared","Project Delivery","Unknown","30","30","[c]","[c]"
"In post","2022","Undeclared","Property","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Property","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Property","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Property","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Property","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Property","Operational Delivery","80","70","30960","22930"
"In post","2022","Undeclared","Property","Other","30","30","[c]","[c]"
"In post","2022","Undeclared","Property","Policy","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Property","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Property","Property","690","650","38970","34770"
"In post","2022","Undeclared","Property","Security","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Security","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Security","Intelligence Analysis","140","140","40040","37000"
"In post","2022","Undeclared","Security","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Security","Other","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Security","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Security","Security","880","850","35100","38180"
"In post","2022","Undeclared","Security","Unknown","70","70","37500","33300"
"In post","2022","Undeclared","Unknown","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Unknown","Communications","40","30","[c]","[c]"
"In post","2022","Undeclared","Unknown","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Unknown","Digital, Data and Technology","180","170","49460","47470"
"In post","2022","Undeclared","Unknown","Economics","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Unknown","Finance","320","310","37280","33300"
"In post","2022","Undeclared","Unknown","Human Resources","80","80","39060","37030"
"In post","2022","Undeclared","Unknown","Intelligence Analysis","200","180","30630","28650"
"In post","2022","Undeclared","Unknown","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Unknown","Knowledge and Information Management","40","40","[c]","[c]"
"In post","2022","Undeclared","Unknown","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Unknown","Medicine","130","110","53140","45840"
"In post","2022","Undeclared","Unknown","Operational Delivery","3000","2710","29990","27370"
"In post","2022","Undeclared","Unknown","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Unknown","Other","1420","1370","28760","25640"
"In post","2022","Undeclared","Unknown","Planning","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Unknown","Policy","620","600","47190","42410"
"In post","2022","Undeclared","Unknown","Project Delivery","190","180","47130","42170"
"In post","2022","Undeclared","Unknown","Property","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Unknown","Science and Engineering","230","230","38590","34200"
"In post","2022","Undeclared","Unknown","Security","40","40","[c]","[c]"
"In post","2022","Undeclared","Unknown","Social Research","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Unknown","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Unknown","Unknown","720","700","43010","39660"
"In post","2022","Undeclared","Unknown","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Analysis","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Analysis","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Analysis","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Analysis","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Analysis","Economics","220","210","44500","37610"
"In post","2022","Unknown","Analysis","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Analysis","Geography","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Analysis","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Analysis","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Analysis","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Analysis","Operational Delivery","220","210","34900","30810"
"In post","2022","Unknown","Analysis","Operational Research","260","250","43320","47010"
"In post","2022","Unknown","Analysis","Other","50","50","44350","35680"
"In post","2022","Unknown","Analysis","Policy","70","60","50770","50070"
"In post","2022","Unknown","Analysis","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Analysis","Science and Engineering","410","390","36510","35900"
"In post","2022","Unknown","Analysis","Social Research","140","140","41430","38340"
"In post","2022","Unknown","Analysis","Statistics","280","270","42350","38340"
"In post","2022","Unknown","Analysis","Tax","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Commercial","Commercial","590","570","37400","34900"
"In post","2022","Unknown","Commercial","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Commercial","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Commercial","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Commercial","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Commercial","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Commercial","Operational Delivery","60","50","42970","34360"
"In post","2022","Unknown","Commercial","Other","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Commercial","Policy","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Commercial","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Commercial","Property","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Commercial","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Commercial","Tax","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Commercial","Unknown","1300","1280","69720","64500"
"In post","2022","Unknown","Commercial","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Communications","Communications","600","590","42860","38930"
"In post","2022","Unknown","Communications","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Communications","Finance","[c]","[c]","[c]","[c]"
