"Status","Year","Function_of_post","Responsibility_level","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Legal","SCS","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Legal","SCS","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Legal","SCS","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Legal","SCS","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Legal","SCS","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Legal","SCS","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Legal","SEO/HEO","Attorney General's Departments","920","890","36770","38000"
"In post","2021","Legal","SEO/HEO","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Legal","SEO/HEO","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Legal","SEO/HEO","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Legal","SEO/HEO","Department for Business, Energy and Industrial Strategy","30","30","[c]","[c]"
"In post","2021","Legal","SEO/HEO","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","Legal","SEO/HEO","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Legal","SEO/HEO","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Legal","SEO/HEO","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Legal","SEO/HEO","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Legal","SEO/HEO","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","Legal","SEO/HEO","HM Land Registry","60","50","36760","33840"
"In post","2021","Legal","SEO/HEO","HM Revenue and Customs","540","520","34590","31810"
"In post","2021","Legal","SEO/HEO","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Legal","SEO/HEO","Ministry of Justice","1010","910","38830","40760"
"In post","2021","Legal","SEO/HEO","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Legal","SEO/HEO","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","Legal","SEO/HEO","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Legal","SEO/HEO","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Legal","SEO/HEO","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Legal","SEO/HEO","Scottish Government","670","630","43910","43530"
"In post","2021","Legal","SEO/HEO","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Legal","SEO/HEO","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Legal","SEO/HEO","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","Legal","SEO/HEO","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Unknown","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Unknown","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","No function","AA/AO","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","No function","AA/AO","Cabinet Office","110","110","24160","24490"
"In post","2021","No function","AA/AO","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","No function","AA/AO","Department for Business, Energy and Industrial Strategy","1340","1230","21570","20880"
"In post","2021","No function","AA/AO","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","No function","AA/AO","Department for Education","60","50","22120","21000"
"In post","2021","No function","AA/AO","Department for Environment, Food and Rural Affairs","840","790","22050","21050"
"In post","2021","No function","AA/AO","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","No function","AA/AO","Department for Transport","5360","4640","21780","21590"
"In post","2021","No function","AA/AO","Department for Work and Pensions","240","210","22150","22160"
"In post","2021","No function","AA/AO","Department of Health and Social Care","880","770","21170","20230"
"In post","2021","No function","AA/AO","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","No function","AA/AO","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","No function","AA/AO","Foreign, Commonwealth and Development Office","300","290","26240","24750"
"In post","2021","No function","AA/AO","HM Land Registry","1770","1670","22490","22350"
"In post","2021","No function","AA/AO","HM Revenue and Customs","14690","12660","20630","20140"
"In post","2021","No function","AA/AO","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","No function","AA/AO","Ministry of Defence","160","160","19250","20170"
"In post","2021","No function","AA/AO","Ministry of Housing, Communities and Local Government","190","180","22230","22560"
"In post","2021","No function","AA/AO","Ministry of Justice","40270","37350","24440","23240"
"In post","2021","No function","AA/AO","National Crime Agency","250","230","23950","24220"
"In post","2021","No function","AA/AO","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","No function","AA/AO","Office for Standards in Education","200","180","21240","21160"
"In post","2021","No function","AA/AO","Office of Gas and Electricity Markets","50","50","[c]","[c]"
"In post","2021","No function","AA/AO","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","No function","AA/AO","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","No function","AA/AO","Scottish Government","2250","2100","23110","22220"
"In post","2021","No function","AA/AO","The National Archives","60","60","20970","20650"
"In post","2021","No function","AA/AO","United Kingdom Statistics Authority","1380","960","19640","19520"
"In post","2021","No function","AA/AO","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","No function","AA/AO","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","No function","EO","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","No function","EO","Cabinet Office","340","330","27940","27500"
"In post","2021","No function","EO","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","No function","EO","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","No function","EO","Department for Business, Energy and Industrial Strategy","1390","1310","26100","26290"
"In post","2021","No function","EO","Department for Digital, Culture, Media and Sport","120","120","27680","26180"
"In post","2021","No function","EO","Department for Education","470","450","26650","26000"
"In post","2021","No function","EO","Department for Environment, Food and Rural Affairs","1010","960","26730","26390"
"In post","2021","No function","EO","Department for International Trade","160","160","27180","26510"
"In post","2021","No function","EO","Department for Transport","3400","3180","28210","26780"
"In post","2021","No function","EO","Department for Work and Pensions","380","360","28020","27740"
"In post","2021","No function","EO","Department of Health and Social Care","1100","1020","26170","26880"
"In post","2021","No function","EO","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","No function","EO","Food Standards Agency","400","380","27260","26750"
"In post","2021","No function","EO","Foreign, Commonwealth and Development Office","400","390","30890","30430"
"In post","2021","No function","EO","HM Land Registry","1860","1610","27250","27130"
"In post","2021","No function","EO","HM Revenue and Customs","5990","5420","26230","25560"
"In post","2021","No function","EO","HM Treasury","160","160","27270","26780"
"In post","2021","No function","EO","Ministry of Defence","280","260","26250","26740"
"In post","2021","No function","EO","Ministry of Housing, Communities and Local Government","280","270","27980","27850"
"In post","2021","No function","EO","Ministry of Justice","9480","9020","28450","27380"
"In post","2021","No function","EO","National Crime Agency","2290","2240","33640","34140"
"In post","2021","No function","EO","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","No function","EO","Office for Standards in Education","140","130","26380","25880"
"In post","2021","No function","EO","Office of Gas and Electricity Markets","230","230","25450","24650"
"In post","2021","No function","EO","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","No function","EO","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","No function","EO","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","No function","EO","Scottish Government","2640","2490","31840","33650"
"In post","2021","No function","EO","The National Archives","50","50","[c]","[c]"
"In post","2021","No function","EO","United Kingdom Statistics Authority","420","390","23910","23050"
"In post","2021","No function","EO","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","No function","EO","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","No function","G6/G7","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","No function","G6/G7","Cabinet Office","950","930","58240","54700"
"In post","2021","No function","G6/G7","Chancellor's other departments","40","40","[c]","[c]"
"In post","2021","No function","G6/G7","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","No function","G6/G7","Department for Business, Energy and Industrial Strategy","2340","2270","58500","56830"
"In post","2021","No function","G6/G7","Department for Digital, Culture, Media and Sport","530","520","57320","53000"
"In post","2021","No function","G6/G7","Department for Education","1500","1440","56140","53760"
"In post","2021","No function","G6/G7","Department for Environment, Food and Rural Affairs","1190","1140","55310","53870"
"In post","2021","No function","G6/G7","Department for International Trade","750","740","55390","52450"
"In post","2021","No function","G6/G7","Department for Transport","980","950","61800","57070"
"In post","2021","No function","G6/G7","Department for Work and Pensions","410","390","61720","59150"
"In post","2021","No function","G6/G7","Department of Health and Social Care","2500","2380","58040","54230"
"In post","2021","No function","G6/G7","ESTYN","70","60","74270","74730"
"In post","2021","No function","G6/G7","Food Standards Agency","120","120","55980","56130"
"In post","2021","No function","G6/G7","Foreign, Commonwealth and Development Office","1200","1180","60070","58470"
"In post","2021","No function","G6/G7","HM Land Registry","40","40","[c]","[c]"
"In post","2021","No function","G6/G7","HM Revenue and Customs","2590","2480","56870","52580"
"In post","2021","No function","G6/G7","HM Treasury","690","670","57900","55430"
"In post","2021","No function","G6/G7","Ministry of Defence","1220","1170","51180","46720"
"In post","2021","No function","G6/G7","Ministry of Housing, Communities and Local Government","1100","1040","57190","54700"
"In post","2021","No function","G6/G7","Ministry of Justice","1200","1160","63720","60300"
"In post","2021","No function","G6/G7","National Crime Agency","230","230","65600","64410"
"In post","2021","No function","G6/G7","Northern Ireland Office","40","40","[c]","[c]"
"In post","2021","No function","G6/G7","Office for Standards in Education","490","480","74680","75500"
"In post","2021","No function","G6/G7","Office of Gas and Electricity Markets","270","260","59290","56940"
"In post","2021","No function","G6/G7","Office of Qualifications and Examinations Regulation","80","70","52740","48350"
"In post","2021","No function","G6/G7","Office of Rail and Road","130","130","62230","61880"
"In post","2021","No function","G6/G7","Other Cabinet Office Agencies","70","70","54720","55000"
"In post","2021","No function","G6/G7","Scottish Government","120","120","62800","60630"
"In post","2021","No function","G6/G7","The National Archives","40","40","[c]","[c]"
"In post","2021","No function","G6/G7","United Kingdom Statistics Authority","160","150","52400","50090"
"In post","2021","No function","G6/G7","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","No function","G6/G7","Water Services Regulation Authority","30","30","[c]","[c]"
"In post","2021","No function","SCS","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","No function","SCS","Cabinet Office","250","250","86750","77000"
"In post","2021","No function","SCS","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","No function","SCS","Department for Business, Energy and Industrial Strategy","300","290","82790","74860"
"In post","2021","No function","SCS","Department for Digital, Culture, Media and Sport","80","80","85550","75500"
"In post","2021","No function","SCS","Department for Education","140","130","79540","74100"
"In post","2021","No function","SCS","Department for Environment, Food and Rural Affairs","150","140","83430","76920"
"In post","2021","No function","SCS","Department for International Trade","140","140","86470","75570"
"In post","2021","No function","SCS","Department for Transport","140","130","88350","79860"
"In post","2021","No function","SCS","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","No function","SCS","Department of Health and Social Care","630","560","103880","98480"
"In post","2021","No function","SCS","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","No function","SCS","Foreign, Commonwealth and Development Office","350","350","87410","78010"
"In post","2021","No function","SCS","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","No function","SCS","HM Revenue and Customs","130","120","83370","78000"
"In post","2021","No function","SCS","HM Treasury","140","130","84780","77000"
"In post","2021","No function","SCS","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","No function","SCS","Ministry of Housing, Communities and Local Government","100","100","86030","76700"
"In post","2021","No function","SCS","Ministry of Justice","180","170","89320","83000"
"In post","2021","No function","SCS","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","No function","SCS","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","No function","SCS","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","No function","SCS","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","No function","SCS","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","No function","SCS","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","No function","SCS","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","No function","SCS","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","No function","SCS","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","No function","SCS","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","No function","SCS","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","No function","SCS","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
