"Status","Year","Function_of_post","Disability","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"Leaver Dept.","2021","Commercial","Declared non-disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","Declared non-disabled","Department for International Development","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","Declared non-disabled","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","Declared non-disabled","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","Declared non-disabled","FCDO Services","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","Declared non-disabled","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","Declared non-disabled","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","Declared non-disabled","Insolvency Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","Declared non-disabled","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","Declared non-disabled","Legal Aid Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","Declared non-disabled","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","Declared non-disabled","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","Declared non-disabled","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","Declared non-disabled","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","Declared non-disabled","Public Health England","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","Declared non-disabled","Serious Fraud Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","Declared non-disabled","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","Declared non-disabled","The National Archives","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","Declared non-disabled","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","Declared non-disabled","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","Undeclared","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","Undeclared","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","Undeclared","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","Unknown","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","Unknown","Crown Commercial Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","Unknown","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","Unknown","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","Unknown","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","Unknown","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","Unknown","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","Unknown","FCDO Services","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","Unknown","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","Unknown","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","Unknown","Insolvency Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","Unknown","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","Unknown","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","Unknown","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Declared disabled","Attorney General's Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Declared disabled","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Declared disabled","Companies House","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Declared disabled","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Declared disabled","Criminal Injuries Compensation Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Declared disabled","Crown Commercial Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Declared disabled","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Declared disabled","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Declared disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Declared disabled","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Declared disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Declared disabled","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Declared disabled","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Declared disabled","ESTYN","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Declared disabled","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Declared disabled","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Declared disabled","Government Legal Department","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Declared disabled","Health and Safety Executive","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Declared disabled","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Declared disabled","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Declared disabled","Insolvency Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Declared disabled","Legal Aid Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Declared disabled","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Declared disabled","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Declared disabled","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Declared disabled","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Declared disabled","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Declared disabled","Northern Ireland Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Declared disabled","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Declared disabled","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Declared disabled","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Declared disabled","Public Health England","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Declared disabled","Rural Payments Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Declared disabled","Scotland Office (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Declared disabled","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Declared disabled","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Declared disabled","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Declared disabled","Valuation Office Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Declared disabled","Wales Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Declared disabled","Wilton Park","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Declared non-disabled","Attorney General's Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Declared non-disabled","Cabinet Office (excl. agencies)","30","30","[c]","[c]"
"Leaver Dept.","2021","Communications","Declared non-disabled","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Declared non-disabled","Companies House","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Declared non-disabled","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Declared non-disabled","Criminal Injuries Compensation Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Declared non-disabled","Crown Commercial Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Declared non-disabled","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Declared non-disabled","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Declared non-disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Declared non-disabled","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Declared non-disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Declared non-disabled","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Declared non-disabled","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Declared non-disabled","ESTYN","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Declared non-disabled","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Declared non-disabled","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Declared non-disabled","Government Legal Department","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Declared non-disabled","Health and Safety Executive","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Declared non-disabled","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Declared non-disabled","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Declared non-disabled","Insolvency Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Declared non-disabled","Legal Aid Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Declared non-disabled","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Declared non-disabled","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Declared non-disabled","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Declared non-disabled","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Declared non-disabled","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Declared non-disabled","Northern Ireland Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Declared non-disabled","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Declared non-disabled","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Declared non-disabled","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Declared non-disabled","Public Health England","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Declared non-disabled","Rural Payments Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Declared non-disabled","Scotland Office (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Declared non-disabled","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Declared non-disabled","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Declared non-disabled","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Declared non-disabled","Valuation Office Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Declared non-disabled","Wales Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Declared non-disabled","Wilton Park","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Undeclared","Attorney General's Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Undeclared","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Undeclared","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Undeclared","Government Legal Department","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Undeclared","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Undeclared","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Undeclared","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Unknown","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Unknown","Crown Commercial Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Unknown","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Unknown","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Unknown","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Unknown","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Unknown","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Unknown","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Unknown","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Unknown","Government Legal Department","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Unknown","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Unknown","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Unknown","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Unknown","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
