"Status","Year","Disability","Sex","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"New entrant CS","2021","Unknown","Male","Other","270","270","30060","26350"
"New entrant CS","2021","Unknown","Male","Planning","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Male","Planning Inspectors","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Male","Policy","630","630","40290","33730"
"New entrant CS","2021","Unknown","Male","Project Delivery","180","180","38360","36740"
"New entrant CS","2021","Unknown","Male","Property","100","100","37120","30000"
"New entrant CS","2021","Unknown","Male","Psychology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Male","Science and Engineering","140","140","26740","22960"
"New entrant CS","2021","Unknown","Male","Security","240","240","29070","25540"
"New entrant CS","2021","Unknown","Male","Social Research","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Male","Statistics","60","60","31610","29830"
"New entrant CS","2021","Unknown","Male","Tax","1080","1070","22550","20140"
"New entrant CS","2021","Unknown","Male","Unknown","1880","1860","34410","28000"
"New entrant CS","2021","Unknown","Male","Veterinarian","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Unknown","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Unknown","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Unknown","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Unknown","Economics","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Unknown","Operational Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Unknown","Operational Research","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Unknown","Policy","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Unknown","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Unknown","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Unknown","Social Research","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Unknown","Statistics","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Unknown","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Female","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Female","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Female","Corporate Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Female","Counter Fraud","50","50","26910","27570"
"New entrant CS","2022","Declared disabled","Female","Digital, Data and Technology","70","70","36170","33520"
"New entrant CS","2022","Declared disabled","Female","Economics","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Female","Finance","30","30","[c]","[c]"
"New entrant CS","2022","Declared disabled","Female","Geography","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Female","Human Resources","60","60","32210","29600"
"New entrant CS","2022","Declared disabled","Female","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Female","Intelligence Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Female","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Female","International Trade","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Female","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Female","Legal","50","50","42720","41750"
"New entrant CS","2022","Declared disabled","Female","Medicine","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Female","Operational Delivery","1980","1870","26980","24920"
"New entrant CS","2022","Declared disabled","Female","Operational Research","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Female","Other","120","110","25580","21260"
"New entrant CS","2022","Declared disabled","Female","Planning","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Female","Planning Inspectors","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Female","Policy","210","200","35580","32790"
"New entrant CS","2022","Declared disabled","Female","Project Delivery","50","50","[c]","[c]"
"New entrant CS","2022","Declared disabled","Female","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Female","Psychology","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Female","Science and Engineering","70","60","30170","28590"
"New entrant CS","2022","Declared disabled","Female","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Female","Social Research","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Female","Statistics","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Female","Tax","70","60","28260","26590"
"New entrant CS","2022","Declared disabled","Female","Unknown","280","270","29680","27500"
"New entrant CS","2022","Declared disabled","Female","Veterinarian","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Male","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Male","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Male","Corporate Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Male","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Male","Digital, Data and Technology","100","100","37380","33080"
"New entrant CS","2022","Declared disabled","Male","Economics","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Male","Finance","30","30","[c]","[c]"
"New entrant CS","2022","Declared disabled","Male","Geography","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Male","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Male","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Male","Intelligence Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Male","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Male","International Trade","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Male","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Male","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Male","Medicine","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Male","Operational Delivery","1070","1040","26630","24800"
"New entrant CS","2022","Declared disabled","Male","Operational Research","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Male","Other","90","90","28050","22230"
"New entrant CS","2022","Declared disabled","Male","Planning","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Male","Planning Inspectors","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Male","Policy","130","120","34970","32560"
"New entrant CS","2022","Declared disabled","Male","Project Delivery","40","40","[c]","[c]"
"New entrant CS","2022","Declared disabled","Male","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Male","Psychology","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Male","Science and Engineering","50","50","31560","31500"
"New entrant CS","2022","Declared disabled","Male","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Male","Social Research","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Male","Statistics","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Male","Tax","80","80","27310","26590"
"New entrant CS","2022","Declared disabled","Male","Unknown","210","210","31280","27230"
"New entrant CS","2022","Declared disabled","Male","Veterinarian","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Female","Commercial","210","210","30870","29180"
"New entrant CS","2022","Declared non-disabled","Female","Communications","170","160","37300","33150"
"New entrant CS","2022","Declared non-disabled","Female","Corporate Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Female","Counter Fraud","310","290","25840","27570"
"New entrant CS","2022","Declared non-disabled","Female","Digital, Data and Technology","500","490","36080","33370"
"New entrant CS","2022","Declared non-disabled","Female","Economics","90","90","32720","30990"
"New entrant CS","2022","Declared non-disabled","Female","Finance","310","300","34470","31080"
"New entrant CS","2022","Declared non-disabled","Female","Geography","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Female","Human Resources","460","440","32990","29480"
"New entrant CS","2022","Declared non-disabled","Female","Inspector of Education and Training","120","120","56290","46360"
"New entrant CS","2022","Declared non-disabled","Female","Intelligence Analysis","40","40","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Female","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Female","International Trade","50","50","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Female","Knowledge and Information Management","100","90","30850","28590"
"New entrant CS","2022","Declared non-disabled","Female","Legal","420","400","42860","43920"
"New entrant CS","2022","Declared non-disabled","Female","Medicine","110","90","48890","39030"
"New entrant CS","2022","Declared non-disabled","Female","Operational Delivery","12000","11470","25840","23170"
"New entrant CS","2022","Declared non-disabled","Female","Operational Research","50","40","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Female","Other","800","780","26780","23570"
"New entrant CS","2022","Declared non-disabled","Female","Planning","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Female","Planning Inspectors","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Female","Policy","1190","1180","36920","34020"
"New entrant CS","2022","Declared non-disabled","Female","Project Delivery","360","350","35130","33000"
"New entrant CS","2022","Declared non-disabled","Female","Property","160","150","33150","28500"
"New entrant CS","2022","Declared non-disabled","Female","Psychology","120","120","26940","27700"
"New entrant CS","2022","Declared non-disabled","Female","Science and Engineering","540","510","31500","29180"
"New entrant CS","2022","Declared non-disabled","Female","Security","70","70","28610","25000"
"New entrant CS","2022","Declared non-disabled","Female","Social Research","130","130","34680","30710"
"New entrant CS","2022","Declared non-disabled","Female","Statistics","80","80","31460","30710"
"New entrant CS","2022","Declared non-disabled","Female","Tax","740","720","27250","26590"
"New entrant CS","2022","Declared non-disabled","Female","Unknown","1980","1920","31640","27570"
"New entrant CS","2022","Declared non-disabled","Female","Veterinarian","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Male","Commercial","160","160","32170","29960"
"New entrant CS","2022","Declared non-disabled","Male","Communications","100","100","36720","33080"
"New entrant CS","2022","Declared non-disabled","Male","Corporate Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Male","Counter Fraud","230","220","26760","27570"
"New entrant CS","2022","Declared non-disabled","Male","Digital, Data and Technology","930","930","38720","35900"
"New entrant CS","2022","Declared non-disabled","Male","Economics","140","140","36210","31800"
"New entrant CS","2022","Declared non-disabled","Male","Finance","260","260","35670","33000"
"New entrant CS","2022","Declared non-disabled","Male","Geography","30","30","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Male","Human Resources","140","140","34200","30450"
"New entrant CS","2022","Declared non-disabled","Male","Inspector of Education and Training","40","40","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Male","Intelligence Analysis","60","60","30810","28700"
"New entrant CS","2022","Declared non-disabled","Male","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Male","International Trade","50","50","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Male","Knowledge and Information Management","60","60","32020","29200"
"New entrant CS","2022","Declared non-disabled","Male","Legal","220","210","45550","43920"
"New entrant CS","2022","Declared non-disabled","Male","Medicine","50","50","57860","45840"
"New entrant CS","2022","Declared non-disabled","Male","Operational Delivery","7610","7450","26390","24430"
"New entrant CS","2022","Declared non-disabled","Male","Operational Research","40","40","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Male","Other","710","710","29240","25050"
"New entrant CS","2022","Declared non-disabled","Male","Planning","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Male","Planning Inspectors","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Male","Policy","940","930","37290","34020"
"New entrant CS","2022","Declared non-disabled","Male","Project Delivery","350","350","38490","36900"
"New entrant CS","2022","Declared non-disabled","Male","Property","220","220","37010","33000"
"New entrant CS","2022","Declared non-disabled","Male","Psychology","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Male","Science and Engineering","700","690","32500","29230"
"New entrant CS","2022","Declared non-disabled","Male","Security","200","200","29610","25470"
"New entrant CS","2022","Declared non-disabled","Male","Social Research","50","50","34910","31210"
"New entrant CS","2022","Declared non-disabled","Male","Statistics","120","110","34310","31990"
"New entrant CS","2022","Declared non-disabled","Male","Tax","770","770","27950","26590"
"New entrant CS","2022","Declared non-disabled","Male","Unknown","1470","1460","33330","27570"
"New entrant CS","2022","Declared non-disabled","Male","Veterinarian","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Unknown","Statistics","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Female","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Female","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Female","Corporate Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Female","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Female","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Female","Economics","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Female","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Female","Geography","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Female","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Female","Intelligence Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Female","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Female","International Trade","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Female","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Female","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Female","Medicine","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Female","Operational Delivery","580","550","26680","24900"
"New entrant CS","2022","Undeclared","Female","Operational Research","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Female","Other","40","40","[c]","[c]"
"New entrant CS","2022","Undeclared","Female","Planning","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Female","Planning Inspectors","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Female","Policy","90","90","34690","33790"
"New entrant CS","2022","Undeclared","Female","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Female","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Female","Psychology","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Female","Science and Engineering","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Female","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Female","Social Research","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Female","Statistics","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Female","Tax","30","30","[c]","[c]"
"New entrant CS","2022","Undeclared","Female","Unknown","80","80","30850","29970"
"New entrant CS","2022","Undeclared","Female","Veterinarian","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Male","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Male","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Male","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Male","Digital, Data and Technology","60","60","37400","34530"
"New entrant CS","2022","Undeclared","Male","Economics","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Male","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Male","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Male","Intelligence Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Male","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Male","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Male","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Male","Medicine","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Male","Operational Delivery","390","370","27510","26130"
"New entrant CS","2022","Undeclared","Male","Operational Research","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Male","Other","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Male","Planning Inspectors","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Male","Policy","90","90","35150","33210"
"New entrant CS","2022","Undeclared","Male","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Male","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Male","Science and Engineering","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Male","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Male","Statistics","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Male","Tax","30","30","[c]","[c]"
"New entrant CS","2022","Undeclared","Male","Unknown","90","90","31470","27830"
"New entrant CS","2022","Undeclared","Male","Veterinarian","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","Female","Commercial","220","190","34670","32790"
"New entrant CS","2022","Unknown","Female","Communications","190","170","35290","33500"
"New entrant CS","2022","Unknown","Female","Corporate Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","Female","Counter Fraud","40","40","[c]","[c]"
"New entrant CS","2022","Unknown","Female","Digital, Data and Technology","410","390","37960","35050"
"New entrant CS","2022","Unknown","Female","Economics","50","40","[c]","[c]"
"New entrant CS","2022","Unknown","Female","Finance","290","250","35130","32790"
"New entrant CS","2022","Unknown","Female","Geography","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","Female","Human Resources","270","260","33400","28650"
"New entrant CS","2022","Unknown","Female","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","Female","Intelligence Analysis","40","40","[c]","[c]"
"New entrant CS","2022","Unknown","Female","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","Female","International Trade","60","60","[c]","[c]"
"New entrant CS","2022","Unknown","Female","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","Female","Legal","130","120","39090","34260"
"New entrant CS","2022","Unknown","Female","Medicine","120","100","45160","39030"
"New entrant CS","2022","Unknown","Female","Operational Delivery","7670","7190","26050","24090"
"New entrant CS","2022","Unknown","Female","Operational Research","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","Female","Other","400","380","25760","21640"
"New entrant CS","2022","Unknown","Female","Planning","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","Female","Planning Inspectors","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","Female","Policy","740","700","35360","32790"
"New entrant CS","2022","Unknown","Female","Project Delivery","200","200","37220","35050"
"New entrant CS","2022","Unknown","Female","Property","150","150","32240","26350"
"New entrant CS","2022","Unknown","Female","Psychology","40","40","[c]","[c]"
"New entrant CS","2022","Unknown","Female","Science and Engineering","80","70","35190","30380"
"New entrant CS","2022","Unknown","Female","Security","60","60","27400","24470"
"New entrant CS","2022","Unknown","Female","Social Research","60","60","33780","33650"
"New entrant CS","2022","Unknown","Female","Statistics","60","60","29090","28080"
"New entrant CS","2022","Unknown","Female","Tax","390","370","26340","26590"
"New entrant CS","2022","Unknown","Female","Unknown","2250","2150","32050","28000"
"New entrant CS","2022","Unknown","Female","Veterinarian","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","Male","Commercial","160","130","33990","30420"
"New entrant CS","2022","Unknown","Male","Communications","110","90","34490","31680"
"New entrant CS","2022","Unknown","Male","Corporate Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","Male","Counter Fraud","30","30","[c]","[c]"
"New entrant CS","2022","Unknown","Male","Digital, Data and Technology","700","670","39830","36050"
"New entrant CS","2022","Unknown","Male","Economics","80","80","33130","31800"
"New entrant CS","2022","Unknown","Male","Finance","260","240","35050","30820"
"New entrant CS","2022","Unknown","Male","Geography","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","Male","Human Resources","140","130","35890","29520"
"New entrant CS","2022","Unknown","Male","Intelligence Analysis","60","60","29190","28700"
"New entrant CS","2022","Unknown","Male","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","Male","International Trade","40","40","[c]","[c]"
"New entrant CS","2022","Unknown","Male","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","Male","Legal","80","80","35710","34260"
"New entrant CS","2022","Unknown","Male","Medicine","50","30","[c]","[c]"
"New entrant CS","2022","Unknown","Male","Operational Delivery","5530","5280","26920","24880"
"New entrant CS","2022","Unknown","Male","Operational Research","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","Male","Other","450","450","26100","21260"
"New entrant CS","2022","Unknown","Male","Planning","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","Male","Planning Inspectors","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","Male","Policy","520","500","37030","34020"
"New entrant CS","2022","Unknown","Male","Project Delivery","190","190","40170","37920"
"New entrant CS","2022","Unknown","Male","Property","190","190","35330","30450"
"New entrant CS","2022","Unknown","Male","Psychology","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","Male","Science and Engineering","210","210","31530","30180"
"New entrant CS","2022","Unknown","Male","Security","280","280","27520","25000"
"New entrant CS","2022","Unknown","Male","Social Research","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","Male","Statistics","70","60","30400","28310"
"New entrant CS","2022","Unknown","Male","Tax","430","430","27360","26590"
"New entrant CS","2022","Unknown","Male","Unknown","1700","1660","34490","28000"
"New entrant CS","2022","Unknown","Male","Veterinarian","[c]","[c]","[c]","[c]"
"Notes","Summary figures are suppressed when information relates to less than 30 civil servants for FTE or Headcount, and less than 50 civil servants for median and mean salary (shown as [c]). Additionally, zero responses have been suppressed for GPDR protected characteristics. Figures are rounded to the nearest 10, or £10 as appropriate.","","","","","","",""
"Data source","All figures are aggregated from the Cabinet Office Annual Civil Service Employment Survey collection. https://www.gov.uk/government/collections/civil-service-statistics","","","","","","",""
"Version","Generated on 2022-07-26, with GIT 03ee02c.","","","","","","",""
"Data column","Description","","","","","","",""
"Status","Employment status of the civil servants.","","","","","","",""
"","In post - includes staff that were in post on the reference date (31 March).","","","","","","",""
"","New entrant CS - includes new entrants to the Civil Service over the year (1 April to 31 March).","","","","","","",""
"","Leaver CS - includes leavers from the Civil Service over the year (1 April to 31 March). This includes employees who have an Unknown leaving cause.","","","","","","",""
"","Leaver Dept. - includes leavers from the department over the year (1 April to 31 March), who did not leave the Civil Service.","","","","","","",""
"","Organisation specific notes on status: In late June 2021 around 7,000 employees from Community Rehabilitation Companies were transferred in from the private sector to HM Prison and Probation Service, counting as entrants. The Defence Electronics and Components Agency does not record the date in which their employees first enter the Civil Service and so entrants data is not available. HM Land Registry do not record where their departing employees transfer to and so are unable to identify those that transfer to another Civil Service department.","","","","","","",""
"Year","Year of data collection (as at March 31st).","","","","","","",""
"Profession_of_post","Professions relate to the post occupied by the person and are not dependent on qualifications the individual may have.","","","","","","",""
"","Cabinet Office (excl agencies) reported profession information for only 60 out of a total 9,930 employees.","","","","","","",""
"","Of the 20 bodies under the Scottish Government, 16 did not report any professions information for their employees.","","","","","","",""
"Sex","Self reported sex.","","","","","","",""
"","""Unknown"" accounts for employees who were recorded with an unknown sex.","","","","","","",""
"Disability","Self reported disability.","","","","","","",""
"","""Undeclared"" accounts for employees who have actively declared that they do not want to disclose their disability status and ""Unknown"" accounts for employees who have not made an active declaration about their disability status.","","","","","","",""
"Headcount","Total number of civil servants (rounded to nearest 10).","","","","","","",""
"FTE","Total full-time equivalent employment numbers (rounded to nearest 10).","","","","","","",""
"Mean_salary","Average salary (mean, rounded to nearest £10). For part-time employees, salaries represent the full-time equivalent earnings, while for full-time employees they are the actual annual gross salaries.","","","","","","",""
"Median_salary","Median salary (rounded to nearest £10). For part-time employees, salaries represent the full-time equivalent earnings, while for full-time employees they are the actual annual gross salaries.","","","","","","",""
