"Status","Year","Profession_of_post","Function_of_post","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2022","Internal Audit","Internal Audit","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Internal Audit","Internal Audit","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Internal Audit","Internal Audit","UK Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Internal Audit","No function","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Internal Audit","No function","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver CS","2022","International Trade","No function","Department for International Trade","100","100","[c]","[c]"
"Leaver CS","2022","Knowledge and Information Management","Analysis","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Knowledge and Information Management","Analysis","Estyn","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Knowledge and Information Management","Analysis","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Knowledge and Information Management","Commercial","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Knowledge and Information Management","Communications","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Knowledge and Information Management","Digital, Data & Technology","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Knowledge and Information Management","Digital, Data & Technology","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Knowledge and Information Management","Digital, Data & Technology","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Knowledge and Information Management","Digital, Data & Technology","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Knowledge and Information Management","Digital, Data & Technology","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Knowledge and Information Management","Digital, Data & Technology","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Knowledge and Information Management","Digital, Data & Technology","Northern Ireland Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Knowledge and Information Management","Human Resources","HM Treasury","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Knowledge and Information Management","Legal","Attorney General's Departments","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Knowledge and Information Management","Legal","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Knowledge and Information Management","Legal","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Knowledge and Information Management","No function","Charity Commission","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Knowledge and Information Management","No function","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Knowledge and Information Management","No function","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Knowledge and Information Management","No function","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Knowledge and Information Management","No function","Department of Health and Social Care","330","300","34950","30760"
"Leaver CS","2022","Knowledge and Information Management","No function","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Knowledge and Information Management","No function","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Knowledge and Information Management","No function","The National Archives","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Knowledge and Information Management","No function","UK Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Knowledge and Information Management","Project Delivery","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Knowledge and Information Management","Project Delivery","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Knowledge and Information Management","Property","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Knowledge and Information Management","Security","Chancellor's other departments","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Knowledge and Information Management","Security","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Knowledge and Information Management","Security","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Knowledge and Information Management","Unknown","Home Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Knowledge and Information Management","Unknown","Welsh Government","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Legal","Counter Fraud","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Legal","Legal","Attorney General's Departments","350","310","56680","55000"
"Leaver CS","2022","Legal","Legal","Charity Commission","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Legal","Legal","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Legal","Legal","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Legal","Legal","Department for Education","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Legal","Legal","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Legal","Legal","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Legal","Legal","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Legal","Legal","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Legal","Legal","HM Land Registry","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Legal","Legal","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Legal","Legal","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Legal","Legal","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Legal","Legal","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Legal","Legal","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Legal","Legal","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Legal","Legal","Scottish Government","30","30","[c]","[c]"
"Leaver CS","2022","Legal","Legal","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Legal","Legal","UK Supreme Court","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Legal","Legal","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Legal","Unknown","Welsh Government","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Medicine","Legal","UK Supreme Court","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Medicine","No function","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Medicine","No function","Department of Health and Social Care","150","130","89180","95140"
"Leaver CS","2022","Medicine","Project Delivery","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Medicine","Unknown","Ministry of Defence","270","230","41480","37280"
"Leaver CS","2022","Medicine","Unknown","Welsh Government","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","Analysis","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","Analysis","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","Analysis","HM Treasury","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","Analysis","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","Analysis","UK Statistics Authority","30","30","[c]","[c]"
"Leaver CS","2022","Operational Delivery","Commercial","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","Commercial","Department for Education","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","Commercial","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","Commercial","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","Commercial","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","Communications","Attorney General's Departments","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","Communications","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","Communications","HM Treasury","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","Communications","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","Counter Fraud","Department for Work and Pensions","40","30","[c]","[c]"
"Leaver CS","2022","Operational Delivery","Counter Fraud","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","Debt","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","Debt","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","Digital, Data & Technology","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","Digital, Data & Technology","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","Finance","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","Finance","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","Finance","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","Grants Management","Department for Environment, Food and Rural Affairs","160","140","24210","21300"
"Leaver CS","2022","Operational Delivery","Human Resources","Cabinet Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","Human Resources","Department for Work and Pensions","70","60","28960","27570"
"Leaver CS","2022","Operational Delivery","Human Resources","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","Human Resources","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","Legal","Attorney General's Departments","180","170","24560","22790"
"Leaver CS","2022","Operational Delivery","Legal","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","Legal","UK Supreme Court","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","No function","Cabinet Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","No function","Chancellor's other departments","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","No function","Charity Commission","30","30","[c]","[c]"
"Leaver CS","2022","Operational Delivery","No function","Department for Business, Energy and Industrial Strategy","200","180","29650","24250"
"Leaver CS","2022","Operational Delivery","No function","Department for Education","50","50","45700","38760"
"Leaver CS","2022","Operational Delivery","No function","Department for Environment, Food and Rural Affairs","190","180","27520","24920"
"Leaver CS","2022","Operational Delivery","No function","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","No function","Department for Levelling Up, Housing and Communities","30","30","[c]","[c]"
"Leaver CS","2022","Operational Delivery","No function","Department for Transport","810","700","25480","26130"
"Leaver CS","2022","Operational Delivery","No function","Department for Work and Pensions","6210","5420","26360","27570"
"Leaver CS","2022","Operational Delivery","No function","Department of Health and Social Care","1340","1180","40060","36330"
"Leaver CS","2022","Operational Delivery","No function","Food Standards Agency","40","40","[c]","[c]"
"Leaver CS","2022","Operational Delivery","No function","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","No function","HM Land Registry","260","210","28500","27130"
"Leaver CS","2022","Operational Delivery","No function","HM Revenue and Customs","60","40","26500","22080"
"Leaver CS","2022","Operational Delivery","No function","HM Treasury","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","No function","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","No function","Ministry of Justice","8910","8210","26920","21410"
"Leaver CS","2022","Operational Delivery","No function","National Crime Agency","260","250","41320","39730"
"Leaver CS","2022","Operational Delivery","No function","Northern Ireland Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","No function","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","No function","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","No function","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","No function","Office of the Secretary of State for Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","No function","Scottish Government","480","420","29230","26900"
"Leaver CS","2022","Operational Delivery","No function","The National Archives","30","30","[c]","[c]"
"Leaver CS","2022","Operational Delivery","No function","UK Statistics Authority","290","210","23420","19860"
"Leaver CS","2022","Operational Delivery","No function","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","Project Delivery","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","Project Delivery","Department for Education","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","Project Delivery","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","Project Delivery","Estyn","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","Project Delivery","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
